
[00:00:00.000 --> 00:00:02.240]  頂姐妹主裡平安
[00:00:02.240 --> 00:00:05.240]  來到新年的第一個主日
[00:00:05.240 --> 00:00:07.160]  我們也來同心地
[00:00:07.160 --> 00:00:10.440]  在上主萬物的更新裡
[00:00:10.440 --> 00:00:12.240]  我們也去思想一下
[00:00:12.240 --> 00:00:15.040]  我們自己的屬靈生命的更新
[00:00:15.040 --> 00:00:17.360]  今早很想藉著
[00:00:17.360 --> 00:00:20.080]  仕途保羅在這一段聖經
[00:00:20.080 --> 00:00:24.320]  他自己是如何和主耶穌聯合之後
[00:00:24.320 --> 00:00:27.520]  有一種力量、新的生命
[00:00:27.520 --> 00:00:30.560]  來展現神的恩
[00:00:30.560 --> 00:00:33.120]  在他的生命裡
[00:00:33.120 --> 00:00:36.000]  我們一起簡單祈禱吧
[00:00:36.000 --> 00:00:37.440]  多謝主
[00:00:37.440 --> 00:00:41.520]  我們能夠常常地親近祢
[00:00:41.520 --> 00:00:44.880]  我們知道實體固然重要
[00:00:44.880 --> 00:00:48.480]  我們可以彼此互相的
[00:00:48.480 --> 00:00:52.040]  民安、祝福、禱告
[00:00:52.040 --> 00:00:55.840]  但是我們知道基督的信仰
[00:00:55.840 --> 00:00:59.840]  我們可以用心靈成神
[00:00:59.840 --> 00:01:02.360]  而且在任何的地方
[00:01:02.360 --> 00:01:04.200]  都不會限制
[00:01:04.200 --> 00:01:06.440]  做物主在我們的生命
[00:01:06.440 --> 00:01:09.280]  在我們的心靈裡面的工作
[00:01:09.280 --> 00:01:11.080]  有神的聖靈
[00:01:11.080 --> 00:01:12.760]  已經是住在
[00:01:12.760 --> 00:01:16.600]  我們每一個屬祢的兒女的內心
[00:01:16.600 --> 00:01:18.280]  更加有真理
[00:01:18.280 --> 00:01:20.280]  我們可以去持守
[00:01:20.280 --> 00:01:24.440]  我們可以去見證我們的上主
[00:01:24.440 --> 00:01:26.040]  所以我們很盼望
[00:01:26.040 --> 00:01:29.560]  當我們仍然可以今天來聚會
[00:01:29.560 --> 00:01:31.800]  有這個現場的直播
[00:01:31.800 --> 00:01:35.040]  和現場會友的時候
[00:01:35.040 --> 00:01:38.760]  我們大家真的以虔誠的心靈
[00:01:38.760 --> 00:01:41.320]  等候祢自己的教導
[00:01:41.320 --> 00:01:45.200]  我們知道神的話語是有能力的
[00:01:45.200 --> 00:01:48.240]  能夠讓人的心靈甦醒
[00:01:48.240 --> 00:01:51.880]  我們懇求主賜下祢自己的恩賢
[00:01:51.880 --> 00:01:55.200]  我們這樣仰望、感恩、禱告
[00:01:55.200 --> 00:01:57.800]  奉耶穌基督的名
[00:01:57.800 --> 00:01:59.080]  阿們
[00:01:59.080 --> 00:02:02.720]  這個月我們在配合那個年提
[00:02:02.720 --> 00:02:03.840]  我們都提到
[00:02:03.840 --> 00:02:06.560]  很想透過幾段聖經
[00:02:06.560 --> 00:02:08.000]  迦拉太書
[00:02:08.000 --> 00:02:12.160]  和《馬可福音》的幾段耶穌呼召門徒
[00:02:12.160 --> 00:02:13.840]  來提一提
[00:02:13.840 --> 00:02:16.760]  我們這個屬靈生命的成長
[00:02:16.760 --> 00:02:19.160]  配合我們在年提裡面
[00:02:19.160 --> 00:02:21.440]  我們的生命如何更新
[00:02:21.440 --> 00:02:23.080]  然後下一季
[00:02:23.080 --> 00:02:27.040]  我們會特別強調那個福音的宣講
[00:02:27.040 --> 00:02:31.400]  我們如何將神的福音傳遞
[00:02:31.400 --> 00:02:32.760]  這一節聖經
[00:02:32.760 --> 00:02:36.200]  是整個迦拉太書很重要的心臟
[00:02:36.200 --> 00:02:39.120]  保羅將他自己的生命
[00:02:39.120 --> 00:02:42.720]  完全和耶穌基督聯合
