
[00:00:00.000 --> 00:00:02.000]  好,導演姐妹早安
[00:00:02.000 --> 00:00:04.600]  經常說很高興
[00:00:04.600 --> 00:00:08.200]  其實我覺得我上台說話是高興一點的
[00:00:08.200 --> 00:00:10.200]  我不知道大家聽我說話高不高興
[00:00:10.200 --> 00:00:13.400]  但是我覺得我能夠上台講道給大家聽
[00:00:13.400 --> 00:00:14.920]  是我高興一點的
[00:00:14.920 --> 00:00:18.960]  今天我吩咐了書文他們不用讀經
[00:00:18.960 --> 00:00:21.600]  因為今天講的經文是比較長的
[00:00:21.600 --> 00:00:24.240]  《士司紀》四章,整章都講了
[00:00:24.240 --> 00:00:28.040]  所以我一直跟大家講經文
[00:00:28.040 --> 00:00:31.200]  讓大家一路聽這個故事
[00:00:31.200 --> 00:00:34.560]  今天會講兩男一女的故事
[00:00:34.560 --> 00:00:40.040]  不是兩女一男,兩男一女還有一個「嬲」字
[00:00:40.040 --> 00:00:41.800]  兩女一男的故事
[00:00:41.800 --> 00:00:45.120]  但不是三國戀的故事
[00:00:45.120 --> 00:00:47.000]  強調他們的性別
[00:00:47.000 --> 00:00:51.040]  是因為事實上是在講一種強弱懸殊的情況
[00:00:51.040 --> 00:00:54.120]  在古代來說男性比較強
[00:00:54.120 --> 00:00:56.480]  女性比較弱勢
[00:00:56.480 --> 00:00:59.280]  到底這兩女一男在這個故事裡面
[00:00:59.280 --> 00:01:02.040]  有什麼互動呢?或者發生什麼事呢?
[00:01:02.040 --> 00:01:05.720]  我們一起去看《士司紀》的經文吧
[00:01:05.720 --> 00:01:09.600]  我因為太忙沒時間了
[00:01:09.600 --> 00:01:11.040]  整個PowerPoint都黑白了
[00:01:11.040 --> 00:01:13.880]  我實在沒有空間去整理
[00:01:13.880 --> 00:01:16.200]  但不要緊,看到字就OK了
[00:01:16.200 --> 00:01:19.200]  「已忽死後,以色列人又行
[00:01:19.200 --> 00:01:21.680]  也或說眼中看為惡的事
[00:01:21.680 --> 00:01:25.080]  也或說把他們交在下所作王的
[00:01:25.080 --> 00:01:27.080]  迦南王耶賓手中
[00:01:27.080 --> 00:01:28.960]  他的將軍是西西拉
[00:01:28.960 --> 00:01:32.080]  住在夏羅切哈哥人
[00:01:32.080 --> 00:01:33.880]  以色列人呼求耶和華
[00:01:33.880 --> 00:01:37.040]  因為耶賓王有鐵的戰車九百兩
[00:01:37.040 --> 00:01:40.280]  並且殘酷欺壓以色列人二十年」
[00:01:40.280 --> 00:01:43.360]  已忽是一個士司
[00:01:43.360 --> 00:01:45.720]  士司是什麼呢?
[00:01:45.720 --> 00:01:48.040]  其實在舊約的時代
[00:01:48.040 --> 00:01:50.320]  士司是一種崗位
[00:01:50.320 --> 00:01:53.600]  在以色列人未有皇帝之前
[00:01:53.600 --> 00:01:57.600]  士司是負責帶領人民去打仗的
[00:01:57.600 --> 00:02:00.680]  士司是由上帝選出來的
[00:02:00.680 --> 00:02:02.960]  不是由人選出來的
[00:02:02.960 --> 00:02:04.480]  是由上帝選出來的
[00:02:04.480 --> 00:02:07.280]  在那個時代每逢以色列人
[00:02:07.280 --> 00:02:09.920]  被外族人欺負得很慘的時候
[00:02:09.920 --> 00:02:12.040]  耶和華就會興起一個士司
[00:02:12.040 --> 00:02:13.240]  去拯救他們
[00:02:13.240 --> 00:02:15.840]  就是打仗、趕走敵人
[00:02:15.840 --> 00:02:18.360]  經文說已忽死後
[00:02:18.360 --> 00:02:20.320]  以色列人又行
[00:02:20.320 --> 00:02:22.600]  也或說眼中看為惡的事
[00:02:22.840 --> 00:02:24.440]  用了一個「又」字
[00:02:24.440 --> 00:02:26.160]  即是不是第一次
[00:02:26.160 --> 00:02:29.920]  你會發覺如果你看士司記
[00:02:29.920 --> 00:02:32.120]  是有一個循環在裡面的
[00:02:32.120 --> 00:02:33.960]  那個循環就是
[00:02:33.960 --> 00:02:38.240]  每逢以色列人行耶和華眼中看為惡的事
[00:02:38.240 --> 00:02:41.640]  耶和華就會興起一些外邦人
[00:02:41.640 --> 00:02:44.760]  去侵略他們或者欺壓他們
[00:02:44.760 --> 00:02:47.520]  然後他們就會悔改
[00:02:47.520 --> 00:02:49.680]  向耶和華呼求
[00:02:49.680 --> 00:02:51.960]  然後耶和華就會興起士司
