
[00:00:00.000 --> 00:00:05.000]  摩西目放他岳父米顛濟斯·葉特羅的羊群
[00:00:05.000 --> 00:00:09.000]  他令羊群往曠野的那一邊去
[00:00:09.000 --> 00:00:12.000]  到了神的山就是河列山
[00:00:12.000 --> 00:00:17.000]  耶和華的使者在荊棘的火焰中向他顯現
[00:00:17.000 --> 00:00:23.000]  摩西觀看:看啊!荊棘在火中焚燒卻沒有燒毀
[00:00:23.000 --> 00:00:28.000]  摩西說:我要轉過去看這大異象
[00:00:28.000 --> 00:00:31.000]  這荊棘為何沒有燒毀呢?
[00:00:31.000 --> 00:00:34.000]  耶和華見摩西轉過去看
[00:00:34.000 --> 00:00:39.000]  神就從荊棘裡呼叫他:摩西!摩西!
[00:00:39.000 --> 00:00:42.000]  他說:我在這裡
[00:00:42.000 --> 00:00:45.000]  神說:不要靠近這裡
[00:00:45.000 --> 00:00:49.000]  把你的腳上的鞋脫下來
[00:00:49.000 --> 00:00:53.000]  因為你所站的地方是聖地
[00:00:53.000 --> 00:01:02.000]  他又說:我是你父親的神,是亞伯拉罕的神,以撒的神,雅各的神
[00:01:02.000 --> 00:01:06.000]  摩西蒙上念,因為怕看神
[00:01:06.000 --> 00:01:12.000]  耶和華說:我確實看見了我百姓在埃及所受的困苦
[00:01:12.000 --> 00:01:17.000]  我也聽見了他們因受監工苦難所發的哀聲
[00:01:17.000 --> 00:01:21.000]  我確實知道他們的痛苦
[00:01:21.000 --> 00:01:25.000]  那時是要救他們脫離埃及人的手
[00:01:25.000 --> 00:01:32.000]  令他們從那地上來,到美好與寬闊之地,到流淚與默之地
[00:01:32.000 --> 00:01:39.000]  就是迦南人、黑人、亞摩利人、比利西人、希美人、耶布斯人之地
[00:01:39.000 --> 00:01:44.000]  現在看吧,以色列人的哀聲達到我這裡
[00:01:44.000 --> 00:01:48.000]  我也看見埃及人怎樣欺壓他們
[00:01:48.000 --> 00:01:52.000]  現在,你去,我要差派你到法老那裡
[00:01:52.000 --> 00:01:57.000]  把我的百姓以色列人從埃及領出來
[00:01:57.000 --> 00:02:06.000]  摩西對神說:那是什麼人竟能去見法老把以色列人從埃及領出來呢?
[00:02:06.000 --> 00:02:09.000]  神說:我必與你同在
[00:02:09.000 --> 00:02:13.000]  這就是我差派你去給你的憑據
[00:02:13.000 --> 00:02:19.000]  你把百姓從埃及領出來之後,你們必在這山上侍奉神
[00:02:19.000 --> 00:02:25.000]  摩西對神說:看吧,我到以色列人那裡對他們說
[00:02:25.000 --> 00:02:29.000]  你們祖宗的神差派我到你們這裡來
[00:02:29.000 --> 00:02:35.000]  他們若對我說,他叫什麼名字,我要對他們說什麼呢?
[00:02:35.000 --> 00:02:39.000]  神對摩西說:我是自有永有的
[00:02:39.000 --> 00:02:43.000]  又說:你要對以色列人這樣說
[00:02:43.000 --> 00:02:48.000]  那自有永有的差派我到你們這裡來
[00:02:48.000 --> 00:02:52.000]  神又對摩西說:你要對以色列人這樣說
[00:02:52.000 --> 00:02:59.000]  也說:你們祖宗的神,就是亞伯拉罕的神,以撒的神,雅各的神
[00:02:59.000 --> 00:03:02.000]  差派我到你們這裡來
[00:03:02.000 --> 00:03:09.000]  這是我的名,直到永遠,這也是我的稱號,直到萬代
[00:03:09.000 --> 00:03:13.000]  經文讀筆,現在將時間交給譚進德牧師
[00:03:13.000 --> 00:03:16.000]  第一次會議,平安
[00:03:16.000 --> 00:03:23.000]  很開心見到大家,很感謝司徒弟給我有機會一起分享
[00:03:23.000 --> 00:03:27.000]  看到你們台上的worship team
[00:03:27.000 --> 00:03:31.000]  我想起很多年前我在教會教會worship team
[00:03:31.000 --> 00:03:36.000]  紐約很多環教會的worship team都是我教出來的
[00:03:36.000 --> 00:03:40.000]  有一次有一個小哥在我們教會走上來
[00:03:40.000 --> 00:03:42.000]  他問我可不可以唱?
[00:03:42.000 --> 00:03:44.000]  我說:你太小了
[00:03:44.000 --> 00:03:48.000]  我叫阿正,太小了,你再大點才上來
[00:03:48.000 --> 00:03:53.000]  後來一段時間之後,最近他從紐約回來教會
[00:03:53.000 --> 00:03:59.000]  後面跟著一大堆粉絲,叫他拿簽名
[00:03:59.000 --> 00:04:01.000]  我問阿正在幹什麼?
[00:04:01.000 --> 00:04:04.000]  他說:你不知道嗎?我叫歐陽正
[00:04:04.000 --> 00:04:07.000]  大家知不知道歐陽正是誰?
[00:04:07.000 --> 00:04:13.000]  小哥時在教會學,學巴魯斯高出身
[00:04:13.000 --> 00:04:18.000]  所以看你們的band,我覺得神可以用更多用你們
[00:04:18.000 --> 00:04:22.000]  我們先開始,先祈禱
[00:04:22.000 --> 00:04:29.000]  主祢讓我們有機會一齊來思索,特別是我們敬拜祢
[00:04:29.000 --> 00:04:34.000]  主祢求聖靈引領我們,讓我們知道主祢是我們每一個人的心意
[00:04:34.000 --> 00:04:38.000]  主祢讓我們知道,祢將我們無做不是徒然
[00:04:38.000 --> 00:04:41.000]  最後讓我們好像魔鬼一樣被祢使用
[00:04:41.000 --> 00:04:45.000]  引領我們這段時間,祂的教會,基督耶穌的名教
[00:04:45.000 --> 00:04:52.000]  這是第一章,是吧?
[00:04:52.000 --> 00:04:57.000]  今天的主題叫I-Mission
[00:04:57.000 --> 00:05:01.000]  大家用iPhone,什麼都用i,iPad,iPhone
[00:05:01.000 --> 00:05:04.000]  所以我們用這個主題叫I-Mission
[00:05:04.000 --> 00:05:09.000]  在這個時代,我們的使命應該是怎樣呢?
[00:05:09.000 --> 00:05:12.000]  或者神在我身上的使命是怎樣呢?
[00:05:12.000 --> 00:05:17.000]  故事大家很熟悉,是我們小時候已經耳熟能詳的故事
[00:05:17.000 --> 00:05:23.000]  是講到那個場景是在何列山,又稱為神的聖山
[00:05:23.000 --> 00:05:33.000]  摩西就帶著他的岳父,應該是聶剔羅,不是聶特羅,不知道是不是新葉半
[00:05:33.000 --> 00:05:43.000]  摩西那個時候已經八十歲
[00:05:43.000 --> 00:05:47.000]  好像我剛才走上來的時候的動靜,要很小心
[00:05:47.000 --> 00:05:51.000]  我剛剛因為痛風,所以走到八十歲
[00:05:51.000 --> 00:05:55.000]  摩西是八十歲的老人家
[00:05:55.000 --> 00:06:01.000]  我們稱為退休人士,應該是怡香天年的老人
[00:06:01.000 --> 00:06:03.000]  誰不知,我們說是折墮
[00:06:03.000 --> 00:06:09.000]  為什麼呢?他逃難的時候,要做到八十歲還在做
[00:06:09.000 --> 00:06:13.000]  他帶著的羊群都不是他自己,慘不慘
[00:06:13.000 --> 00:06:16.000]  我們看看摩西的心境
[00:06:16.000 --> 00:06:24.000]  當時他曾經是埃及位高權重,幾乎可以成為法老的一員
[00:06:24.000 --> 00:06:26.000]  當然我們都知道他的故事
[00:06:26.000 --> 00:06:29.000]  他打死了一個埃及人之後就逃亡
[00:06:29.000 --> 00:06:32.000]  在抗疫的時候認識了他的妻子
[00:06:32.000 --> 00:06:37.000]  一直留了四十年
[00:06:37.000 --> 00:06:41.000]  摩西是空有偉大的理想
[00:06:41.000 --> 00:06:45.000]  學了一切之後,就是一個衝動
[00:06:45.000 --> 00:06:48.000]  我想李小龍都打不過他
[00:06:48.000 --> 00:06:51.000]  一拳可以打死一個埃及人
[00:06:51.000 --> 00:06:55.000]  但是在這個衝動之下,叫他逃亡了四十年
[00:06:55.000 --> 00:06:57.000]  空有理想
[00:06:57.000 --> 00:07:02.000]  因為他學盡當時埃及的一切學問
[00:07:02.000 --> 00:07:07.000]  我們叫英雄無用武之地的一個心境
[00:07:07.000 --> 00:07:10.000]  就在這個時候,神父召他
[00:07:10.000 --> 00:07:13.000]  神父召他的時候,他怎樣說呢?
[00:07:13.000 --> 00:07:14.000]  他說「不料」
[00:07:14.000 --> 00:07:16.000]  什麼叫不料呢?
[00:07:16.000 --> 00:07:19.000]  就是心裡面沒有好好預備好的
[00:07:19.000 --> 00:07:22.000]  突然間出現
[00:07:22.000 --> 00:07:28.000]  就好像你的心儀的男朋友約你的時候
[00:07:28.000 --> 00:07:32.000]  第一次約會,你化妝化得很漂亮
[00:07:32.000 --> 00:07:35.000]  你有預料的,可能碰到他的時候
[00:07:35.000 --> 00:07:37.000]  他會說「嘩!你好漂亮」
[00:07:37.000 --> 00:07:40.000]  誰不知呢?不料
[00:07:40.000 --> 00:07:43.000]  他帶著另一個女孩在你面前出現的時候
[00:07:43.000 --> 00:07:44.000]  給點意見
[00:07:44.000 --> 00:07:45.000]  我們一起拍拖好不好?
[00:07:45.000 --> 00:07:47.000]  這個就叫不料
[00:07:47.000 --> 00:07:52.000]  所以摩西當時帶著羊群去到這個山的時候
[00:07:52.000 --> 00:07:54.000]  神父告訴我們不料
[00:07:54.000 --> 00:08:00.000]  有一天,一個四十年來如常放羊
[00:08:00.000 --> 00:08:01.000]  很平凡的一天
[00:08:01.000 --> 00:08:06.000]  那天他帶著傅家的羊群放羊
[00:08:06.000 --> 00:08:07.000]  不料
[00:08:07.000 --> 00:08:10.000]  就見到一樣東西
[00:08:10.000 --> 00:08:14.000]  而這東西改變了摩西最後的四十年
[00:08:14.000 --> 00:08:17.000]  這個不料是一個不簡單的不料
