
[00:00:00.000 --> 00:00:02.000]  第一段交给大家
[00:00:02.000 --> 00:00:10.000]  耶稣知道法利塞人听见他收门徒和施洗比约翰还多
[00:00:10.000 --> 00:00:16.000]  其则不是耶稣亲自施洗,而是他的门徒施洗
[00:00:16.000 --> 00:00:21.000]  他就离开犹太,又回加里里去
[00:00:21.000 --> 00:00:24.000]  他必须经过撒玛利亚
[00:00:24.000 --> 00:00:28.000]  于是到了撒玛利亚的一座城
[00:00:28.000 --> 00:00:34.000]  名叫聚加,靠近耶稣给他的儿子约瑟的那块地
[00:00:34.000 --> 00:00:41.000]  那个井就在那里,耶稣因女徒被罚坐在井旁
[00:00:41.000 --> 00:00:47.000]  那时约士证悟,有一个撒玛利亚妇人来打水
[00:00:47.000 --> 00:00:50.000]  耶稣对他说
[00:00:50.000 --> 00:00:58.000]  因为那时门徒进城买食物去了
[00:00:58.000 --> 00:01:01.000]  撒玛利亚妇人对他说
[00:01:01.000 --> 00:01:07.000]  你是犹太人,怎么向我一个撒玛利亚女人要水喝呢?
[00:01:07.000 --> 00:01:11.000]  因为犹太人和撒玛利亚人没有来往
[00:01:11.000 --> 00:01:13.000]  耶稣回答他说
[00:01:13.000 --> 00:01:19.000]  你若知道神的恩赐,我对你说,请给我水喝的是谁
[00:01:19.000 --> 00:01:24.000]  你早就会求他,他也早就会给你喝水
[00:01:24.000 --> 00:01:26.000]  妇人对耶稣说
[00:01:26.000 --> 00:01:32.000]  先生,你没有打水的器具,井有心,哪里去取活水呢?
[00:01:32.000 --> 00:01:36.000]  我们的祖宗雅各把这井流给我们
[00:01:36.000 --> 00:01:41.000]  他自己和儿女以及生畜都喝这井里的水
[00:01:41.000 --> 00:01:44.000]  难道你比他还大吗?
[00:01:44.000 --> 00:01:47.000]  耶稣回答对他说
[00:01:47.000 --> 00:01:50.000]  凡喝这水的,还要再喝
[00:01:50.000 --> 00:01:54.000]  谁喝我所赐的水,就永远不喝
[00:01:54.000 --> 00:02:00.000]  我所赐的水,要在他里面成为泉源,直涌到永生
[00:02:00.000 --> 00:02:02.000]  妇人对他说
[00:02:02.000 --> 00:02:09.000]  先生,请把这水赐给我,使我不喝,也不用到这里来打水
[00:02:09.000 --> 00:02:11.000]  耶稣对他说
[00:02:11.000 --> 00:02:15.000]  你去,叫你的丈夫再到这里来
[00:02:15.000 --> 00:02:18.000]  妇人回答对耶稣说
[00:02:18.000 --> 00:02:20.000]  我没有丈夫
[00:02:20.000 --> 00:02:21.000]  耶稣说
[00:02:21.000 --> 00:02:23.000]  你说没有丈夫是对的
[00:02:23.000 --> 00:02:26.000]  你已经有过五个丈夫
[00:02:26.000 --> 00:02:29.000]  你现在有的并不是你的丈夫
[00:02:29.000 --> 00:02:31.000]  你这话是真的
[00:02:31.000 --> 00:02:33.000]  妇人对他说
[00:02:33.000 --> 00:02:36.000]  先生,我看你是一位先知
[00:02:36.000 --> 00:02:40.000]  我们的祖宗在这山上敬拜神
[00:02:40.000 --> 00:02:45.000]  你们祷说应当敬拜的地方是耶路撒冷
[00:02:45.000 --> 00:02:47.000]  耶稣对他说
[00:02:47.000 --> 00:02:49.000]  妇人,你要信我
[00:02:49.000 --> 00:02:56.000]  时候将到,你们敬拜父既不在这山上,也不在耶路撒冷
[00:02:56.000 --> 00:02:59.000]  你们所敬拜的,你们不知道
[00:02:59.000 --> 00:03:02.000]  我们所敬拜的,我们知道
[00:03:02.000 --> 00:03:05.000]  因为救恩是从犹太人出来的
[00:03:05.000 --> 00:03:08.000]  时候将到,现在就是了
