
[00:00:00.000 --> 00:00:04.000]  不從惡人的計謀,不暫罪人的道路,
[00:00:04.000 --> 00:00:06.500]  不做傲慢人的座位,
[00:00:06.500 --> 00:00:11.500]  為喜愛耶和華的律法,就耶思長他的律法,
[00:00:11.500 --> 00:00:13.500]  這人便為有福。
[00:00:13.500 --> 00:00:17.500]  太耀像一火柱栽在溪水旁,
[00:00:17.500 --> 00:00:21.500]  安事後結果子,業子也不枯乾,
[00:00:21.500 --> 00:00:25.500]  凡他所做的,盡都順利。
[00:00:25.500 --> 00:00:28.500]  惡人並不是這樣,
[00:00:28.500 --> 00:00:31.500]  卻像亢砒被風吹散。
[00:00:31.500 --> 00:00:36.500]  因此,當審判的時候,惡人必站立不住,
[00:00:36.500 --> 00:00:41.500]  罪人在二人的會中中也是如此。
[00:00:41.500 --> 00:00:44.500]  因為耶和華知道二人的道路,
[00:00:44.500 --> 00:00:47.500]  惡人的道路卻必滅亡。
[00:00:48.500 --> 00:00:50.500]  (字幕:張傑)
[00:00:50.500 --> 00:00:53.500]  (主持人:見聞獨筆,請蔣銓)
[00:00:54.500 --> 00:00:57.500]  (主持人:見聞獨筆,請蔣銓)
[00:00:57.500 --> 00:01:08.500]  多謝見拜會帶來今早的詩歌,
[00:01:08.500 --> 00:01:15.500]  讓我們能夠將我們心底的各種情緒,
[00:01:15.500 --> 00:01:19.500]  將我們自己心裡的愁煩等等,
[00:01:19.500 --> 00:01:22.500]  都能夠向我們的主傾心吐怡,
[00:01:22.500 --> 00:01:24.500]  向我們的主去呼求。
[00:01:24.500 --> 00:01:26.500]  這也是相當重要的,
[00:01:26.500 --> 00:01:30.500]  讓我們基督徒的生命,
[00:01:30.500 --> 00:01:37.500]  其實我們要找到主給我們的應許,
[00:01:37.500 --> 00:01:42.500]  找到主,那位信實的不變的主。
[00:01:42.500 --> 00:01:47.500]  相信這也是對我們今天繼續活在香港裡面很重要的確具,
[00:01:47.500 --> 00:01:53.500]  也讓我們信徒繼續堅守我們自己的生命的盼望,
[00:01:53.500 --> 00:01:57.500]  堅守我們自己生命的一份使命,
[00:01:57.500 --> 00:02:00.500]  是一個不能夠離開我們的主。
[00:02:00.500 --> 00:02:06.500]  所以當我跟大家去思想今天跟大家分享的信息,
[00:02:06.500 --> 00:02:11.500]  我想到一篇可能大家都熟悉的詩篇,
[00:02:11.500 --> 00:02:14.500]  詩篇第一篇,可能大家都可能是,
[00:02:14.500 --> 00:02:17.500]  在詩篇第一個字就會讀到第一篇,
[00:02:17.500 --> 00:02:20.500]  或者是可能我們很多首,譬如詩篇二十三篇等等,
[00:02:20.500 --> 00:02:23.500]  都是我們很熟悉的,耳熟能詳的詩篇,
[00:02:23.500 --> 00:02:28.500]  所以經文裡面的內容大家都會了解。
[00:02:28.500 --> 00:02:32.500]  它是第一篇,所以它有一個很獨特的位置,
[00:02:32.500 --> 00:02:36.500]  如果在新約裡面,曾經有一個,
[00:02:36.500 --> 00:02:38.500]  經文裡面有一個這樣的記載,
[00:02:38.500 --> 00:02:41.500]  在《少林傳》十三章,三十三節裡面,
[00:02:41.500 --> 00:02:45.500]  其實是一個保羅的講道,
[00:02:45.500 --> 00:02:49.500]  他引用詩篇第二篇,
[00:02:49.500 --> 00:02:54.500]  你是上帝兒子,今天生你等等,
[00:02:54.500 --> 00:02:57.500]  但是原來那個詩篇第二篇裡面,
[00:02:57.500 --> 00:03:00.500]  如果大家有機會去翻一下呂鎮忠的本,
[00:03:00.500 --> 00:03:05.500]  其實他有一個很細微的註腳,
[00:03:05.500 --> 00:03:10.500]  原來他告訴我們,有古卷提醒我們,
[00:03:10.500 --> 00:03:12.500]  這個是第一篇,
[00:03:12.500 --> 00:03:15.500]  即是說原來在當時的初期教會裡面,
[00:03:15.500 --> 00:03:20.500]  當時沒有正式的六十年代的正經,
[00:03:20.500 --> 00:03:24.500]  大家拿著一本在手上,很整齊地讀,
[00:03:24.500 --> 00:03:26.500]  但是在當時不同的信徒群體裡面,
[00:03:26.500 --> 00:03:29.500]  原來有一個傳統,
[00:03:29.500 --> 00:03:33.500]  其實是當他拿著詩篇第二篇的時候,
[00:03:33.500 --> 00:03:36.500]  原來整本詩篇是第一篇,
[00:03:36.500 --> 00:03:37.500]  多意思是這樣,
[00:03:37.500 --> 00:03:40.500]  當原來有古卷寫著,
[00:03:40.500 --> 00:03:42.500]  當他讀著詩篇第二篇的時候,
[00:03:42.500 --> 00:03:43.500]  原來是第一篇,
[00:03:43.500 --> 00:03:45.500]  暗示著什麼呢?
[00:03:45.500 --> 00:03:46.500]  有幾個可能性,
[00:03:46.500 --> 00:03:48.500]  但是當我們想這些可能性的時候,
