
[00:00:00.000 --> 00:00:02.000]  第五姐妹平安
[00:00:02.000 --> 00:00:05.360]  你掛不掛住我呀?
[00:00:05.360 --> 00:00:08.800]  你掛不掛住我不要緊
[00:00:08.800 --> 00:00:10.800]  我是真心很掛住大家的
[00:00:10.800 --> 00:00:16.560]  因為中國人是很怕講這些說話的
[00:00:16.560 --> 00:00:19.040]  但我心底裏面是實在很掛住大家的
[00:00:19.040 --> 00:00:24.160]  我亦都更加掛住兩位領唱的第五姐妹
[00:00:24.160 --> 00:00:26.160]  這段日子裏面
[00:00:26.160 --> 00:00:29.440]  因為不可以有太多第五姐妹回來侍奉
[00:00:29.440 --> 00:00:32.840]  我們傳道人甚麼都拿出來
[00:00:32.840 --> 00:00:36.640]  又逼大家去忍受了很多星期裏面
[00:00:36.640 --> 00:00:39.640]  不太合格的領場
[00:00:39.640 --> 00:00:41.640]  或者是我們的一些情賞
[00:00:41.640 --> 00:00:43.640]  但在神的裏面的時候
[00:00:43.640 --> 00:00:46.640]  我覺得我最希望大家掛住甚麼呢?
[00:00:46.640 --> 00:00:48.640]  掛住神的家
[00:00:48.640 --> 00:00:53.640]  掛住你能夠在一切當中的敬拜
[00:00:53.640 --> 00:00:57.840]  我希望大家掛住上帝的地方
[00:00:59.040 --> 00:01:02.440]  今天和大家分享這段經文的時候
[00:01:02.440 --> 00:01:04.440]  很多時候一看的時候
[00:01:04.440 --> 00:01:06.440]  說真的就會有很多誤會出現
[00:01:06.440 --> 00:01:09.040]  所以在講甚麼之前
[00:01:09.040 --> 00:01:11.040]  我要先戴好頭盔
[00:01:11.040 --> 00:01:13.040]  我要先講清楚
[00:01:13.040 --> 00:01:15.640]  因為我很擔心當你一聽的時候
[00:01:15.640 --> 00:01:17.640]  你自己不斷無限上綱
[00:01:17.640 --> 00:01:19.640]  你就不會再聽這段了
[00:01:19.640 --> 00:01:23.640]  我今天講這段的時候
[00:01:23.640 --> 00:01:27.640]  不是我見到有第五姐妹的生命表現不OK
[00:01:27.640 --> 00:01:29.640]  所以我說並不是
[00:01:29.640 --> 00:01:35.240]  我不是為了奉獻的問題去講這篇道
[00:01:35.240 --> 00:01:39.640]  今天和大家分享這篇道的時候
[00:01:39.640 --> 00:01:41.640]  其實是反而在這段日子裏面
[00:01:41.640 --> 00:01:43.640]  我都和大家說一下
[00:01:43.640 --> 00:01:45.640]  我們無論站在台上的侍奉
[00:01:45.640 --> 00:01:47.640]  我們講道甚麼都好
[00:01:47.640 --> 00:01:51.640]  坦白說我不知道大家有沒有一段這麼長時間
[00:01:51.640 --> 00:01:54.640]  對著一個空蕩蕩的禮堂的感覺
[00:01:56.240 --> 00:01:58.240]  雖然這次我可以告訴大家
[00:01:58.240 --> 00:02:00.240]  的確是疫情
[00:02:00.240 --> 00:02:04.240]  我們被迫地令教堂變得荒涼
[00:02:04.240 --> 00:02:08.240]  但我更加關注的是
