
[00:00:00.000 --> 00:00:02.000]  各位政協姐妹早晨
[00:00:02.000 --> 00:00:04.000]  新年快樂 身體健康
[00:00:04.000 --> 00:00:06.500]  希望大家事主蒙福
[00:00:06.500 --> 00:00:09.500]  新年港渡 新春港渡
[00:00:09.500 --> 00:00:12.000]  聽牧師說新來新住
[00:00:12.000 --> 00:00:14.500]  找新同工去負責
[00:00:14.500 --> 00:00:16.000]  還要是豬年
[00:00:16.000 --> 00:00:21.000]  我的款式是挺應節的
[00:00:21.000 --> 00:00:23.500]  但我想我是新同工
[00:00:23.500 --> 00:00:26.500]  在大家當中都五個月了
[00:00:26.500 --> 00:00:28.500]  算新又不是新
[00:00:28.500 --> 00:00:31.500]  其實我們是時候思考一下
[00:00:31.500 --> 00:00:34.000]  新舊的問題
[00:00:34.000 --> 00:00:37.000]  現在是新年
[00:00:37.000 --> 00:00:40.000]  但新年每年都是這樣過
[00:00:40.000 --> 00:00:41.000]  你又要大掃除
[00:00:41.000 --> 00:00:43.500]  大掃除完又要煮團年飯
[00:00:43.500 --> 00:00:46.000]  吃完團年飯第二天就新年了
[00:00:46.000 --> 00:00:47.000]  換新衣服了
[00:00:47.000 --> 00:00:49.000]  又去拔花子 又去拜年
[00:00:49.000 --> 00:00:50.000]  又吃蘿蔔糕
[00:00:50.000 --> 00:00:51.000]  每年都是這樣
[00:00:51.000 --> 00:00:54.500]  最多由逗利是那個變成派利是那個
[00:00:54.500 --> 00:00:56.000]  是不是 Alan
[00:00:56.000 --> 00:00:57.500]  你變成派利是那個
[00:00:57.500 --> 00:00:59.000]  最多是這樣變的
[00:00:59.000 --> 00:01:01.000]  其實每年都是這樣過
[00:01:01.000 --> 00:01:04.000]  到底新年新了些甚麼
[00:01:04.000 --> 00:01:05.500]  新年新了些甚麼呢
[00:01:05.500 --> 00:01:09.500]  新和舊有甚麼界線
[00:01:09.500 --> 00:01:10.500]  怎樣才算新年
[00:01:10.500 --> 00:01:13.000]  我們新年去到甚麼時候
[00:01:13.000 --> 00:01:15.500]  我們放公眾假期放到初三
[00:01:15.500 --> 00:01:19.000]  初三之後初四是不是新年
[00:01:19.000 --> 00:01:20.500]  是呀 點頭
[00:01:20.500 --> 00:01:22.500]  初七是不是新年
[00:01:22.500 --> 00:01:24.000]  有些人說去到十五
[00:01:24.000 --> 00:01:25.000]  都還是新年
[00:01:25.000 --> 00:01:27.000]  那十六呢
[00:01:27.000 --> 00:01:28.000]  十六都是新年
[00:01:28.000 --> 00:01:30.000]  那甚麼時候才不是新年
[00:01:30.000 --> 00:01:31.000]  是不是
[00:01:31.000 --> 00:01:32.000]  過了一月
[00:01:32.000 --> 00:01:35.000]  即是你派利是你派到十六
[00:01:35.000 --> 00:01:36.000]  是不是
[00:01:36.000 --> 00:01:37.000]  那怎樣呢
[00:01:37.000 --> 00:01:39.000]  其實你說過了初十五
[00:01:39.000 --> 00:01:41.000]  就叫做新年完了
[00:01:41.000 --> 00:01:43.000]  但一年三百六十五日
[00:01:43.000 --> 00:01:45.000]  那另外那三百五十日又怎樣
[00:01:45.000 --> 00:01:46.000]  就是去年了
[00:01:46.000 --> 00:01:48.000]  其實很有趣
[00:01:48.000 --> 00:01:50.000]  你會發覺新年
[00:01:50.000 --> 00:01:52.000]  所謂新
[00:01:52.000 --> 00:01:54.000]  是有一個比較在裏面
[00:01:54.000 --> 00:01:55.000]  如果沒有比較
[00:01:55.000 --> 00:01:58.000]  你不是很知甚麼叫新甚麼叫舊
[00:01:58.000 --> 00:02:00.000]  有些東西比較才叫新
[00:02:00.000 --> 00:02:02.000]  好像手提電話
[00:02:02.000 --> 00:02:04.000]  你未有下一代機的時候
[00:02:04.000 --> 00:02:05.000]  你那部仍是新的
[00:02:05.000 --> 00:02:07.000]  有下一代的時候怎樣
[00:02:07.000 --> 00:02:10.000]  是電訊商告訴你是舊的
[00:02:10.000 --> 00:02:11.000]  他想你換機
[00:02:11.000 --> 00:02:14.000]  其實你揸住的那部仍是很新的
[00:02:14.000 --> 00:02:16.000]  其實新有一個定義
[00:02:16.000 --> 00:02:18.000]  我自己是這樣說
[00:02:18.000 --> 00:02:20.000]  剛剛才出現
[00:02:20.000 --> 00:02:21.000]  剛剛才有
