
[00:00:00.000 --> 00:00:02.000]  會員尊榮,Members Only
[00:00:02.000 --> 00:00:06.000]  經文是記載在肥臘比書四章一至九節
[00:00:06.000 --> 00:00:08.000]  請聽我讀出
[00:00:08.000 --> 00:00:13.000]  我所親愛所想念的弟兄們
[00:00:13.000 --> 00:00:17.000]  你們就是我的喜樂,我的冠冕
[00:00:17.000 --> 00:00:22.000]  我親愛的,你們應當靠主站立不秦
[00:00:22.000 --> 00:00:28.000]  我勸友阿弟和秦都基要在主裡同心
[00:00:29.000 --> 00:00:35.000]  我也求你,這真實和負一額的,要幫助這兩個女人
[00:00:35.000 --> 00:00:43.000]  因為她們在福音上曾與我,格利敏和我其餘的同工一同勞苦
[00:00:43.000 --> 00:00:47.000]  她們的名字都在生命冊上
[00:00:47.000 --> 00:00:53.000]  你們要靠主常常喜樂,我再說,你們要喜樂
[00:00:54.000 --> 00:01:00.000]  要讓眾人知道你們謙讓的心,主已經近了
[00:01:00.000 --> 00:01:07.000]  應當一無掛慮,只要凡事藉著禱告,祈求和感謝
[00:01:07.000 --> 00:01:10.000]  將你們所要的告訴神
[00:01:10.000 --> 00:01:15.000]  神所賜那超越人所能了解的平安
[00:01:15.000 --> 00:01:19.000]  必在基督耶穌裡保守你們的心懷意念
[00:01:20.000 --> 00:01:27.000]  沒了弟兄們,凡事真實的,凡事可敬的,凡事公義的,凡事清潔的
[00:01:27.000 --> 00:01:37.000]  凡事可愛的,凡事有美名的,若有什麼不幸,若有什麼稱讚,你們都要留意
[00:01:37.000 --> 00:01:47.000]  你們從我所學習的,所領受的,所聽見的,所看見的事,你們都要繼續去做
[00:01:48.000 --> 00:01:51.000]  平安的神,必與你們同在
[00:01:51.000 --> 00:01:54.000]  我們請朱牧師
[00:01:54.000 --> 00:01:56.000]  請朱牧師
[00:01:56.000 --> 00:01:58.000]  請朱牧師
[00:01:58.000 --> 00:02:00.000]  請朱牧師
[00:02:27.000 --> 00:02:29.000]  朱牧師:後面聽到吧?
[00:02:29.000 --> 00:02:35.000]  朱牧師:真的不是很記性,我記得這次是第一次在這裡講道,也可能不是
[00:02:35.000 --> 00:02:39.000]  朱牧師:不過不要緊,我當是第一次,所以很開心,等了很久了
[00:02:39.000 --> 00:02:40.000]  朱牧師:一起祈禱一下
[00:02:40.000 --> 00:02:43.000]  朱牧師:上帝多謝你,回到這裡
[00:02:43.000 --> 00:02:46.000]  朱牧師:見到弟兄姊妹
[00:02:46.000 --> 00:02:49.000]  朱牧師:回到你的家裡
[00:02:49.000 --> 00:02:51.000]  朱牧師:見到我們的家人
[00:02:51.000 --> 00:02:53.000]  朱牧師:我就開心
[00:02:53.000 --> 00:02:55.000]  朱牧師:弟兄姊妹開心
[00:02:55.000 --> 00:02:59.000]  朱牧師:天父啊,多謝你,你最開心
[00:02:59.000 --> 00:03:03.000]  朱牧師:求你享受今天我們對你的敬拜
[00:03:03.000 --> 00:03:05.000]  朱牧師:我們現在要享受
[00:03:05.000 --> 00:03:08.000]  朱牧師:你講一些恩賢給我們聽
[00:03:08.000 --> 00:03:10.000]  朱牧師:我們準備好聽
[00:03:10.000 --> 00:03:13.000]  朱牧師:求主耶穌基督帶領今天的時間
[00:03:13.000 --> 00:03:16.000]  朱牧師:讓你的話語好像平時一樣
[00:03:16.000 --> 00:03:18.000]  朱牧師:祝福弟兄姊妹
[00:03:18.000 --> 00:03:21.000]  朱牧師:同子耶穌明求,阿們
[00:03:21.000 --> 00:03:24.000]  朱牧師:我們中間很多姊妹都有英文名字
[00:03:24.000 --> 00:03:26.000]  朱牧師:在美國
[00:03:26.000 --> 00:03:28.000]  朱牧師:如果你有什麼名字
[00:03:28.000 --> 00:03:30.000]  朱牧師:就知道你幾多歲,很老
[00:03:30.000 --> 00:03:32.000]  朱牧師:例如Ruth那些,六七十歲,八九十歲
[00:03:32.000 --> 00:03:34.000]  朱牧師:Deborah那些
[00:03:34.000 --> 00:03:38.000]  朱牧師:越難讀出
[00:03:38.000 --> 00:03:40.000]  朱牧師:越怪的音的女生名字
[00:03:40.000 --> 00:03:42.000]  朱牧師:就越現代化
[00:03:42.000 --> 00:03:44.000]  朱牧師:不過我們香港人都厲害
[00:03:44.000 --> 00:03:47.000]  朱牧師:有一次有位女士在電台
