
[00:00:00.000 --> 00:00:03.740]  與弟兄姊妹一起祈禱
[00:00:03.740 --> 00:00:08.060]  再一次我們等候上主的降臨
[00:00:08.060 --> 00:00:11.400]  在我們的生命裏面、心靈裏面
[00:00:11.400 --> 00:00:13.400]  向我們說話
[00:00:13.400 --> 00:00:18.020]  藉著《仕途寶羅》這封書信
[00:00:18.020 --> 00:00:20.600]  讓我們能夠有所學習
[00:00:20.600 --> 00:00:23.680]  我們的信心、愛心
[00:00:23.680 --> 00:00:25.680]  在患難的日子
[00:00:25.680 --> 00:00:31.120]  憤愛的顯得真實和重要
[00:00:31.120 --> 00:00:34.340]  也讓我們能夠將這份愛
[00:00:34.340 --> 00:00:38.200]  傳遞給有需要的人
[00:00:38.200 --> 00:00:40.200]  我們等候禱告
[00:00:40.200 --> 00:00:43.000]  奉耶穌基督的名
[00:00:43.000 --> 00:00:44.380]  阿們
[00:00:44.380 --> 00:00:48.200]  來到第三章的《貼撒羅尼加前書》
[00:00:48.200 --> 00:00:50.000]  雖然是不同的同工
[00:00:50.000 --> 00:00:53.600]  來一路說這五章聖經
[00:00:53.600 --> 00:00:56.480]  上一個禮拜吳傳道說
[00:00:56.480 --> 00:00:59.120]  「找苦來受,拿苦來生」
[00:00:59.120 --> 00:01:00.920]  講第二章
[00:01:00.920 --> 00:01:03.560]  仕途寶羅和他的同工
[00:01:03.560 --> 00:01:06.800]  在貼撒羅尼加受的苦難
[00:01:06.800 --> 00:01:09.120]  和勸勉弟兄姊妹
[00:01:09.120 --> 00:01:13.080]  要在苦難裏面去兼顧信心
[00:01:13.080 --> 00:01:18.280]  第三章有一個很顯著的重點
[00:01:18.280 --> 00:01:19.960]  就是仕途
[00:01:19.960 --> 00:01:23.600]  因為他離開了貼撒羅尼加
[00:01:23.600 --> 00:01:25.440]  現在寫這封信的時候
[00:01:25.440 --> 00:01:27.240]  就是在哥倫多
[00:01:27.240 --> 00:01:29.600]  但是他在雅典
[00:01:29.600 --> 00:01:31.520]  因為第三章已經說了
[00:01:31.520 --> 00:01:35.080]  在雅典等候提摩泰
[00:01:35.080 --> 00:01:37.080]  為什麼要等候提摩泰呢?
[00:01:37.080 --> 00:01:41.520]  因為當保羅離開貼撒羅尼加之後
[00:01:41.520 --> 00:01:45.120]  他就擔心這間新成立的
[00:01:45.120 --> 00:01:47.640]  只是三個安息人
[00:01:47.640 --> 00:01:50.040]  保羅向他們傳道
[00:01:50.040 --> 00:01:54.200]  後來就面對一些當地的猶太人迫不及待
[00:01:54.200 --> 00:01:57.480]  所以保羅臨時離開
[00:01:57.480 --> 00:01:59.760]  很快很急的離開
[00:01:59.760 --> 00:02:05.320]  所以到底初信的貼撒羅尼加的教會
[00:02:05.320 --> 00:02:08.920]  他們現在的狀況是怎樣呢?
