
[00:00:00.000 --> 00:00:02.000]  好 第一節 晚安
[00:00:02.000 --> 00:00:05.940]  感恩我們又可以有晚上的茶經班
[00:00:05.940 --> 00:00:07.940]  我們一起先禱告
[00:00:07.940 --> 00:00:12.140]  天父我們將今天的茶經班仰望您
[00:00:12.140 --> 00:00:15.480]  我們來到第十五章十三節
[00:00:15.480 --> 00:00:20.740]  我們這一位主是那一位使人有盼望的神
[00:00:20.740 --> 00:00:23.680]  幫助我們都能夠真的掌握
[00:00:23.680 --> 00:00:27.080]  保羅在第十四、十五章
[00:00:27.080 --> 00:00:31.800]  在教會、多元文化、不同的民族
[00:00:31.800 --> 00:00:35.080]  怎樣能夠因為福音、因為耶穌基督
[00:00:35.080 --> 00:00:37.380]  而來到有一個共融
[00:00:37.380 --> 00:00:39.380]  一切的同心
[00:00:39.380 --> 00:00:43.560]  可以來到去圍著保羅的宣教神的國度
[00:00:43.560 --> 00:00:45.220]  這樣來到擴展
[00:00:45.220 --> 00:00:47.700]  今晚我們再仔細去看
[00:00:47.700 --> 00:00:51.200]  十三節之後的經文
[00:00:51.200 --> 00:00:54.660]  求主幫助我們又可以看到
[00:00:54.660 --> 00:01:01.180]  使徒保羅的一些相當具體的行程的分享
[00:01:01.180 --> 00:01:06.600]  又讓我們能夠對使徒他的傳道的職涯
[00:01:06.600 --> 00:01:08.600]  又有一定的了解
[00:01:08.600 --> 00:01:11.360]  多謝祢讓我們有他的分享
[00:01:11.360 --> 00:01:12.800]  留到今日
[00:01:12.800 --> 00:01:17.340]  我們在不同的世界的教會都能夠可以讀到
[00:01:17.340 --> 00:01:18.660]  我們多謝主
[00:01:18.660 --> 00:01:21.400]  求祢帶領我們這樣禱告
[00:01:21.400 --> 00:01:24.140]  奉耶穌基督的名
[00:01:24.140 --> 00:01:25.100]  阿門
[00:01:25.100 --> 00:01:28.940]  十五章很清楚是緊接十四章
[00:01:28.940 --> 00:01:31.900]  不要批判之餘
[00:01:31.900 --> 00:01:34.740]  要作為一個堅固的人
[00:01:34.740 --> 00:01:39.980]  堅固當然就是內心是成熟、是成長
[00:01:39.980 --> 00:01:43.780]  內心裏面有一個同理心
[00:01:43.780 --> 00:01:45.940]  是有一個為別人設想
[00:01:45.940 --> 00:01:50.220]  所以堅固的人就是一個會留心
[00:01:50.220 --> 00:01:52.400]  會敏銳別人需要
[00:01:52.400 --> 00:01:56.660]  所以堅固的人就不是自己去很堅
[00:01:56.660 --> 00:02:02.480]  自己就將自己的自由放得相當大
[00:02:02.480 --> 00:02:06.300]  而忘記了可能有一些所謂弱勢
[00:02:06.300 --> 00:02:08.540]  就是相對在信心上
[00:02:08.540 --> 00:02:12.460]  未能夠徒步這樣去成長的
[00:02:12.460 --> 00:02:15.300]  總是有一些可能執著
[00:02:15.300 --> 00:02:17.220]  可能是一些迷思
[00:02:17.220 --> 00:02:18.900]  有一些包袱
[00:02:18.900 --> 00:02:20.620]  有一些傳統
[00:02:20.620 --> 00:02:23.940]  所以保羅、猶太人和外邦人
[00:02:23.940 --> 00:02:26.580]  他們很明顯的差異
[00:02:26.580 --> 00:02:29.660]  關乎到一些食物的差異
[00:02:29.660 --> 00:02:31.920]  一些節旗的差異
[00:02:31.920 --> 00:02:35.880]  明顯這樣放在一起是一個衝突
[00:02:35.880 --> 00:02:39.140]  但是正正就是你不能避免
[00:02:39.140 --> 00:02:43.820]  怎樣能夠在多元的文化體系下
[00:02:43.820 --> 00:02:46.380]  而能夠謀求到一個合一呢?
[00:02:46.380 --> 00:02:52.340]  相信就是在心靈上有這種保羅的教導
[00:02:52.340 --> 00:02:55.220]  就是我們自認為堅固的人
[00:02:55.220 --> 00:02:57.980]  就要擔待 所以是有擔當
[00:02:57.980 --> 00:03:01.740]  一個成熟的人是應該在教會裏面有擔當
[00:03:01.740 --> 00:03:04.060]  是應該看這個是屬靈的家
[00:03:04.060 --> 00:03:09.500]  看其他弟兄姊妹都是自己的靈魂的骨肉之親
[00:03:09.500 --> 00:03:13.620]  彼此有一個欣賞、接待
[00:03:13.620 --> 00:03:17.140]  而不是用一種批評、論斷
[00:03:17.140 --> 00:03:22.540]  彼此有一種從心靈裏面開始對立
[00:03:22.540 --> 00:03:26.340]  去到白熱化、去到表面的都滅了
