
[00:00:00.000 --> 00:00:06.600]  各位定睛姐妹,早安!聖誕快樂!今年大家夠不夠聖誕?
[00:00:06.600 --> 00:00:11.600]  人是否能夠有聖誕的感覺?
[00:00:11.600 --> 00:00:17.600]  今年特別,因為今天是星期日,剛好是25日
[00:00:17.600 --> 00:00:22.100]  可以在靜日裡面慶祝耶穌基督的降生
[00:00:22.100 --> 00:00:32.100]  我們今天一起思考一段聖誕節的經文,看看上帝有什麼要跟我們說,我們祈禱
[00:00:32.100 --> 00:00:39.100]  祝你們多謝你們,讓我們能夠去慶祝聖誕節
[00:00:39.100 --> 00:00:45.100]  求主你幫助我們,讓我們在今天,在紀念你的日子裡面
[00:00:45.100 --> 00:00:50.100]  心裡面滿有力量,讓我們平安,讓我們喜樂
[00:00:50.100 --> 00:00:54.100]  讓我們能夠得到足夠的力量
[00:00:54.100 --> 00:01:00.100]  讓我們能夠在今天知道我們如何做你的門徒
[00:01:00.100 --> 00:01:10.100]  作為一個屬於你的兒女,如何能夠在聖誕節裡成為一個快樂、平安、心裡面滿有力量的源頭
[00:01:10.100 --> 00:01:13.100]  求主你幫助我們,奉主命求,阿門
[00:01:13.100 --> 00:01:18.100]  我的口罩會不會有點悶,所以我脫下來,稍後再收拾
[00:01:18.100 --> 00:01:22.100]  今天我們看一段聖誕節經文
[00:01:22.100 --> 00:01:28.100]  不過我們以前比較少留意經文的後面部分
[00:01:28.100 --> 00:01:32.100]  我們比較留意之前那段天使、天君、報信經文
[00:01:32.100 --> 00:01:37.100]  我們比較少留意後面那段反高潮的部分
[00:01:37.100 --> 00:01:47.100]  所以我們就花時間去看當日整個聖誕節的平安的次序,那個流程
[00:01:47.100 --> 00:01:52.100]  第一,就是約瑟和瑪利亞來到伯利恆
[00:01:52.100 --> 00:01:56.100]  找不到女殿,然後決定在馬槽裡過夜
[00:01:56.100 --> 00:02:01.100]  第二,當天晚上,瑪利亞就在肚子裡開始作動
[00:02:01.100 --> 00:02:06.100]  就開始流淚,然後就在馬槽裡彈她的鷹鞋
[00:02:06.100 --> 00:02:09.100]  這邊就是馬槽的情況
[00:02:09.100 --> 00:02:13.100]  另一邊廂就是伯利恆的野地
[00:02:13.100 --> 00:02:17.100]  一群牧羊人,主的使者就來到
[00:02:17.100 --> 00:02:21.100]  主的榮光四周照著他們
[00:02:21.100 --> 00:02:24.100]  跟他們說,不要懼怕,我報給你們大的訊息
[00:02:24.100 --> 00:02:27.100]  是關乎萬民的,因今天在大圍的城裡
[00:02:27.100 --> 00:02:31.100]  你們身要救主,就是主基督
