
[00:00:00.000 --> 00:00:02.000]  天父我們再一次聚集
[00:00:02.000 --> 00:00:06.080]  來有機會去研讀啟示錄的十四章
[00:00:06.080 --> 00:00:07.880]  我們很感謝主
[00:00:07.880 --> 00:00:10.160]  讓我們能夠有你的話語
[00:00:10.160 --> 00:00:14.040]  你的話語完全超越了任何的時代
[00:00:14.040 --> 00:00:16.960]  二千年前的羅馬帝國
[00:00:16.960 --> 00:00:23.520]  當時基督徒約翰在拔摩海島被放逐
[00:00:23.520 --> 00:00:26.960]  他所見到的是天上的榮耀
[00:00:27.200 --> 00:00:31.080]  和耶穌基督是那一位萬主之主
[00:00:31.080 --> 00:00:32.160]  萬王之王
[00:00:32.160 --> 00:00:33.520]  幫助我們
[00:00:33.520 --> 00:00:35.960]  雖然年日都很久遠了
[00:00:35.960 --> 00:00:37.440]  二千年之後
[00:00:37.440 --> 00:00:41.520]  我們有機會研讀相同的書本
[00:00:41.520 --> 00:00:43.600]  雖然是經過了翻譯
[00:00:43.600 --> 00:00:45.080]  但是我們知道
[00:00:45.080 --> 00:00:49.240]  神你的話語都是有聖靈的保守
[00:00:49.240 --> 00:00:51.760]  讓我們能夠可以去讀
[00:00:53.080 --> 00:00:57.240]  可能是很少的一些的枝節
[00:00:57.240 --> 00:00:58.680]  會有一點點不相同
[00:00:58.680 --> 00:01:01.720]  但是大體的信息是完全保留的
[00:01:01.720 --> 00:01:03.160]  我們很感謝主
[00:01:03.160 --> 00:01:06.520]  幫助我們在我們自己這個時代
[00:01:06.520 --> 00:01:08.720]  我們要作時代的見證
[00:01:08.720 --> 00:01:12.120]  能夠為主為真理去站穩
[00:01:12.120 --> 00:01:14.680]  將福音來到去高舉
[00:01:14.680 --> 00:01:16.680]  叫人得到耶穌的救恩
[00:01:16.680 --> 00:01:19.080]  我們一起在你面前等候禱告
[00:01:19.080 --> 00:01:21.200]  奉耶穌基督的名
[00:01:21.200 --> 00:01:22.280]  阿們
[00:01:22.960 --> 00:01:23.480]  好
[00:01:23.480 --> 00:01:24.640]  要報告一下
[00:01:24.640 --> 00:01:26.040]  因為下個星期
[00:01:26.040 --> 00:01:28.920]  就是重陽節
[00:01:28.920 --> 00:01:31.720]  所以下個星期要暫停一次
[00:01:31.720 --> 00:01:33.760]  除非大家想改期
[00:01:33.760 --> 00:01:35.280]  那就可以的
[00:01:35.280 --> 00:01:35.840]  不過
[00:01:35.840 --> 00:01:37.080]  如果是這樣
[00:01:37.080 --> 00:01:38.840]  我們下個星期大家都忙的
[00:01:38.840 --> 00:01:41.440]  如果數目都挺累的
