
[00:00:00.000 --> 00:00:02.860]  各位嘉欣樓的電影姐妹
[00:00:02.860 --> 00:00:05.700]  在網上的電影姐妹 平安
[00:00:05.700 --> 00:00:08.100]  我們能夠在這個網上
[00:00:08.100 --> 00:00:10.600]  我們一起來去唱詩讚美上帝
[00:00:10.600 --> 00:00:15.140]  我們又能夠以上帝的話語來彼此勉勵
[00:00:15.140 --> 00:00:16.840]  我們多謝上帝
[00:00:16.840 --> 00:00:20.720]  因為這個疫情不會難阻到我們
[00:00:20.720 --> 00:00:24.180]  來去對上帝敬拜的
[00:00:24.180 --> 00:00:28.140]  在中國裏面有一個很出名的商人
[00:00:28.140 --> 00:00:31.720]  當然是很成功的 叫張瑞文
[00:00:31.720 --> 00:00:35.040]  他說怎樣能夠成功呢?
[00:00:35.040 --> 00:00:38.440]  他說他做每一件簡單的事情
[00:00:38.440 --> 00:00:41.180]  每一件就算是很平凡的事情
[00:00:41.180 --> 00:00:42.920]  他都不小看它
[00:00:42.920 --> 00:00:46.800]  他都要用心來做的時候
[00:00:46.800 --> 00:00:52.180]  所做出來的效果是很不同的
[00:00:52.180 --> 00:00:55.060]  所以他就鼓勵所有的年輕人
[00:00:55.060 --> 00:00:57.200]  在做每一件事情的時候
[00:00:57.200 --> 00:00:58.980]  都不要輕看它
[00:00:58.980 --> 00:01:04.300]  一定要出力用心去做
[00:01:04.300 --> 00:01:11.040]  有三個工人在路邊做一些砌磚
[00:01:11.040 --> 00:01:15.280]  有人問他們 你們在做些什麼?
[00:01:15.280 --> 00:01:19.020]  第一個工人就說
[00:01:19.020 --> 00:01:20.440]  你沒看見嗎?
[00:01:20.440 --> 00:01:24.200]  我在砌磚 做一幅牆
[00:01:24.200 --> 00:01:28.280]  這個工人的心態就是在做事
[00:01:28.280 --> 00:01:31.000]  到第二個工人了
[00:01:31.000 --> 00:01:34.940]  他就好像沒氣沒力的說
[00:01:34.940 --> 00:01:37.280]  我現在在做一份工作
[00:01:37.280 --> 00:01:42.900]  每天可以有100塊的工資
[00:01:42.900 --> 00:01:46.080]  這個工人做他就看錢份上
[00:01:46.080 --> 00:01:47.920]  但第三個工人呢
[00:01:47.920 --> 00:01:49.840]  他就一直吹著口哨
[00:01:49.840 --> 00:01:53.680]  一直很輕鬆的在砌一個個磚頭
[00:01:53.680 --> 00:01:56.640]  他就說 我現在在砌一個
[00:01:56.640 --> 00:02:02.000]  在這個世界上最美最偉大的教堂
[00:02:02.000 --> 00:02:05.480]  原來就這樣用手做
[00:02:05.480 --> 00:02:09.560]  再加上用心去做的時候
[00:02:09.560 --> 00:02:13.200]  原來在心態上可以不一樣
[00:02:13.200 --> 00:02:17.120]  砌出來的效果都可以很不同的
[00:02:17.120 --> 00:02:19.760]  所以我們要去學校
[00:02:19.760 --> 00:02:22.080]  我們做每一件事的時候
[00:02:22.080 --> 00:02:25.840]  就不要想著誰叫你窮
[00:02:25.840 --> 00:02:28.560]  硬頂上這樣的心態
[00:02:28.560 --> 00:02:32.080]  而是我們每一次做每一樣的事
[00:02:32.080 --> 00:02:35.600]  我們都要用心去做
[00:02:35.600 --> 00:02:38.840]  剛才鄧全道為我們讀出的那段經文
[00:02:38.840 --> 00:02:40.880]  是大衛的詩來的
[00:02:40.880 --> 00:02:45.240]  相信他是大衛晚年的時候所寫成的
[00:02:45.240 --> 00:02:46.560]  因為他說到
[00:02:46.560 --> 00:02:52.640]  在上帝的裏面可以如嬰返老還童
[00:02:52.640 --> 00:02:55.120]  他也在整篇詩裏面
[00:02:55.120 --> 00:02:58.480]  沒有什麼訴苦 沒有什麼哀求
[00:02:58.480 --> 00:03:03.080]  他只是為他曾經做錯的事去感謝
[00:03:03.080 --> 00:03:07.760]  能夠得到上帝的赦免去感謝上帝
[00:03:07.760 --> 00:03:09.840]  學者就估計
[00:03:09.840 --> 00:03:12.680]  可能都是這個阿沙隆之亂
[00:03:12.680 --> 00:03:14.920]  就是他自己的兒子的叛變
[00:03:14.920 --> 00:03:19.000]  他曾經去數點人數
[00:03:19.000 --> 00:03:20.800]  上帝沒有給他的
[00:03:20.800 --> 00:03:24.120]  他自己是為了想看看自己有多厲害
[00:03:24.120 --> 00:03:28.040]  就去數點人數 得罪了上帝
[00:03:28.040 --> 00:03:31.440]  我們就看看這段經文
[00:03:31.440 --> 00:03:33.360]  我們先看第一方面
[00:03:33.360 --> 00:03:36.160]  這個「心」的稱頌
[00:03:36.160 --> 00:03:39.160]  我們看「心」這個字
[00:03:39.160 --> 00:03:41.360]  在第二節裏面
[00:03:41.360 --> 00:03:44.360]  他說「我的心你要稱頌耶和華
[00:03:44.360 --> 00:03:45.760]  凡在我裏面的」
[00:03:45.760 --> 00:03:48.080]  其實也是指那個「心」
[00:03:48.080 --> 00:03:50.640]  都要稱頌他的姓名
[00:03:50.640 --> 00:03:51.720]  第二節
[00:03:51.720 --> 00:03:55.440]  「我的心你要稱頌耶和華」
[00:03:55.440 --> 00:03:57.680]  在短短兩節的經文裏面
[00:03:57.680 --> 00:04:01.600]  這個「心」已經出現了三次
[00:04:01.600 --> 00:04:02.920]  我們都知道
[00:04:02.920 --> 00:04:05.840]  每逢那些東西說三次
[00:04:05.840 --> 00:04:08.000]  或者出現三次的時候
[00:04:08.000 --> 00:04:11.760]  就表示這件事是非常
[00:04:11.760 --> 00:04:16.600]  非常非常重要的事情
[00:04:16.600 --> 00:04:17.880]  在這裏
[00:04:17.880 --> 00:04:18.720]  很特別的
[00:04:18.720 --> 00:04:19.720]  大衛
[00:04:19.720 --> 00:04:22.360]  大衛很慎重其事感
[00:04:22.360 --> 00:04:25.320]  他說他要用這個「心」
[00:04:25.320 --> 00:04:30.520]  他要用「心」來向耶和華感恩
[00:04:30.520 --> 00:04:32.800]  他在這裏和自己的「心」
[00:04:32.800 --> 00:04:37.280]  在這裏有一個對話
[00:04:37.280 --> 00:04:40.680]  這個「心」是甚麼呢?
[00:04:40.680 --> 00:04:44.600]  希伯來人和中國人有些類似
[00:04:44.600 --> 00:04:48.840]  這個「心」就代表了全人
[00:04:48.840 --> 00:04:50.320]  代表整個人
[00:04:50.320 --> 00:04:52.120]  代表了生命
[00:04:52.120 --> 00:04:55.520]  所以有時我們看到父母罵兒子
[00:04:55.520 --> 00:04:58.600]  用心一點去讀書
[00:04:58.600 --> 00:05:00.840]  用心去做功課
[00:05:00.840 --> 00:05:05.920]  就是說要全個人放下心機
[00:05:05.920 --> 00:05:07.160]  在心理學裏面
[00:05:07.160 --> 00:05:08.800]  講到這個「心」
[00:05:08.800 --> 00:05:11.280]  就是講到人的知識
[00:05:11.280 --> 00:05:13.720]  意志和情感
[00:05:13.720 --> 00:05:15.400]  神學家陶樹
[00:05:15.400 --> 00:05:19.080]  在《敬拜真諦》這本書裏面也都指出
[00:05:19.080 --> 00:05:21.120]  心的敬拜就是
[00:05:21.120 --> 00:05:22.840]  以理性
[00:05:22.840 --> 00:05:24.480]  以心靈
[00:05:24.480 --> 00:05:25.960]  以情感
[00:05:25.960 --> 00:05:29.800]  這樣去敬拜它
[00:05:29.800 --> 00:05:32.400]  所以第一節一開始的時候
[00:05:32.400 --> 00:05:36.080]  師人大衛已經邀請所有的人
[00:05:36.080 --> 00:05:40.320]  都要用心去讚美上帝
[00:05:40.320 --> 00:05:46.920]  他要人全心全意地去讚美
[00:05:46.920 --> 00:05:49.120]  主耶穌基督也都教導我們
[00:05:49.120 --> 00:05:52.320]  要用心靈和誠實
[00:05:52.320 --> 00:05:54.680]  來去敬拜上帝
[00:05:54.680 --> 00:05:56.800]  就是說我們要按著真理
[00:05:56.800 --> 00:05:59.360]  用心靈 用整個人
[00:05:59.360 --> 00:06:01.720]  包括我們的感性
[00:06:01.720 --> 00:06:03.560]  包括我們的理性
[00:06:03.560 --> 00:06:05.040]  我們來去讚美
[00:06:05.040 --> 00:06:07.040]  來去歌唱
[00:06:07.040 --> 00:06:11.200]  我記得有一次我行山的時候
[00:06:11.200 --> 00:06:13.240]  你知道每次行山
[00:06:13.240 --> 00:06:15.160]  在公園裏面我們都看到的
[00:06:15.160 --> 00:06:16.760]  那些人很容易
[00:06:16.760 --> 00:06:18.240]  就一群群這樣的人
[00:06:18.240 --> 00:06:20.880]  就在這裏做運動
[00:06:20.880 --> 00:06:22.640]  那個師父就說
