
[00:00:00.000 --> 00:00:03.000]  和大家一起有一個祈禱
[00:00:03.000 --> 00:00:04.540]  親愛的主
[00:00:04.540 --> 00:00:09.060]  今天晚上我們能夠示立在祢的面前
[00:00:09.060 --> 00:00:11.560]  聆聽祢的教誨
[00:00:11.560 --> 00:00:15.260]  多謝祢讓我們參與在聖餐的筵席
[00:00:15.260 --> 00:00:19.040]  我們可以來到去思念十字架的大愛
[00:00:19.040 --> 00:00:22.300]  耶穌基督由死復活
[00:00:22.300 --> 00:00:24.640]  作世人的救贖主
[00:00:24.640 --> 00:00:27.100]  我們能夠成為祢的兒女
[00:00:27.100 --> 00:00:30.400]  這一份大恩 一份大愛
[00:00:30.400 --> 00:00:33.400]  是我們一個很大的動力
[00:00:33.400 --> 00:00:35.200]  在世為人
[00:00:35.200 --> 00:00:37.300]  作正經事業
[00:00:37.300 --> 00:00:40.280]  來榮耀祢的聖名
[00:00:40.280 --> 00:00:43.560]  和將人帶到去救恩的泉源
[00:00:43.560 --> 00:00:47.580]  得到解決他們的罪惡
[00:00:47.580 --> 00:00:50.240]  我們在祢面前今晚等候
[00:00:50.240 --> 00:00:52.080]  求祢藉著祢的話語
[00:00:52.080 --> 00:00:55.080]  向我們再一次發出提醒
[00:00:55.080 --> 00:00:56.120]  教導
[00:00:56.120 --> 00:00:58.720]  我們一起在祢面前等候禱告
[00:00:58.720 --> 00:01:01.380]  奉耶穌基督的名
[00:01:01.380 --> 00:01:02.520]  阿們
[00:01:02.520 --> 00:01:03.780]  用這個題目
[00:01:03.780 --> 00:01:05.380]  其實是想說
[00:01:05.380 --> 00:01:08.380]  《提多書》有兩段聖經
[00:01:08.380 --> 00:01:11.260]  第二章的第五
[00:01:11.260 --> 00:01:15.280]  對不起 第十一節到第十五節
[00:01:15.280 --> 00:01:17.600]  好像《提多書》
[00:01:17.600 --> 00:01:22.960]  一個車輪的左右兩個輪子的另外一邊
[00:01:22.960 --> 00:01:25.300]  同樣都是講救恩
[00:01:25.300 --> 00:01:27.420]  同樣都是講耶穌基督
[00:01:27.420 --> 00:01:30.700]  帶給我們榮耀盼望
[00:01:30.700 --> 00:01:34.140]  稍為很快 到第十一節到第十五節
[00:01:34.140 --> 00:01:36.420]  第二章的《提多書》
[00:01:36.420 --> 00:01:40.260]  因為神救眾人的恩典
[00:01:40.260 --> 00:01:42.780]  已經顯明出來
[00:01:42.780 --> 00:01:44.340]  訓練我們
[00:01:44.340 --> 00:01:46.660]  除去不敬虔的心
[00:01:46.660 --> 00:01:49.060]  和世俗的情慾
[00:01:49.060 --> 00:01:52.020]  在今世過刻己
[00:01:52.020 --> 00:01:54.940]  正直敬虔的生活
[00:01:54.940 --> 00:01:57.500]  等候福樂的盼望
[00:01:57.500 --> 00:02:00.060]  並等候至大的神
[00:02:00.060 --> 00:02:02.300]  和我們的救主
[00:02:02.300 --> 00:02:05.820]  耶穌基督的榮耀顯現
[00:02:05.820 --> 00:02:10.740]  祂為我們的緣故捨己
[00:02:10.740 --> 00:02:13.020]  為了要贖我們
[00:02:13.020 --> 00:02:15.180]  脫離一切罪惡
[00:02:15.180 --> 00:02:17.340]  又潔淨我們
[00:02:17.340 --> 00:02:19.820]  作祂自己的子民
[00:02:19.820 --> 00:02:22.180]  以熱心為善
[00:02:22.180 --> 00:02:25.100]  這些事你要講明
[00:02:25.100 --> 00:02:29.140]  要充分運用你的職權
[00:02:29.140 --> 00:02:31.180]  提多是傳道者
[00:02:31.180 --> 00:02:34.140]  勸勉人 責備人
[00:02:34.140 --> 00:02:38.300]  不要讓任何人輕看你
[00:02:38.300 --> 00:02:42.180]  好像一對車輪在一個道路上
[00:02:42.180 --> 00:02:44.740]  如果你用火車就更加貼切
[00:02:44.740 --> 00:02:48.540]  好像在一個軌道上行走的
[00:02:48.540 --> 00:02:50.540]  它是最暢順的
[00:02:50.540 --> 00:02:54.540]  對這本書
[00:02:54.540 --> 00:02:59.980]  希望在這個社區
[00:02:59.980 --> 00:03:02.980]  如果比較大一點的新界西區
[00:03:02.980 --> 00:03:04.740]  或者在香港
[00:03:04.740 --> 00:03:08.500]  我們希望不是保羅所責備的
[00:03:08.500 --> 00:03:11.980]  克里特島的情況
[00:03:11.980 --> 00:03:16.100]  因為第十三、十四節的一章
[00:03:16.100 --> 00:03:20.820]  對不起 第十節到第十二節
[00:03:20.820 --> 00:03:23.540]  你就知道這本書的背景
[00:03:23.540 --> 00:03:28.540]  保羅怎樣勉勵提多這位傳道者
[00:03:28.540 --> 00:03:34.060]  在這個島裏繼續做主的工作
[00:03:34.060 --> 00:03:36.060]  就是要講福音
[00:03:36.060 --> 00:03:39.460]  講耶穌是怎樣成就救恩
[00:03:39.460 --> 00:03:41.060]  講了兩次
[00:03:41.060 --> 00:03:43.860]  第二章、第三章繼續這樣講
[00:03:43.860 --> 00:03:46.780]  接著就第十節
[00:03:46.780 --> 00:03:48.100]  一章十節
[00:03:48.100 --> 00:03:50.820]  就是寫這本書的背景
[00:03:50.820 --> 00:03:53.900]  因為有許多人不受約束
[00:03:53.900 --> 00:03:56.220]  講空話欺控人
[00:03:56.220 --> 00:03:59.500]  尤其是那些奉國禮的猶太人
[00:03:59.500 --> 00:04:02.220]  這些人的口必須堵住
[00:04:02.220 --> 00:04:05.340]  因為他們貪不義之才
[00:04:05.340 --> 00:04:08.620]  將不該教導的事教導人
[00:04:08.620 --> 00:04:11.140]  敗壞人的全家
[00:04:11.140 --> 00:04:15.020]  克里特人有一個本地先知這樣講
[00:04:15.020 --> 00:04:19.340]  他說克里特人常常都是講大話的
[00:04:19.340 --> 00:04:20.820]  是惡受
[00:04:20.820 --> 00:04:23.220]  惡受即是很兇惡
[00:04:23.220 --> 00:04:27.180]  又貪吃、濫造
[00:04:27.180 --> 00:04:31.980]  即是說那個內心都很多很多的問題
[00:04:31.980 --> 00:04:34.540]  那個貪婪很重要
[00:04:34.540 --> 00:04:36.340]  第十三節
[00:04:36.340 --> 00:04:40.260]  保羅說這個見證是真的
[00:04:40.260 --> 00:04:42.580]  即是說這個島裏面
[00:04:42.580 --> 00:04:45.460]  未信的固然是這樣
[00:04:45.460 --> 00:04:50.260]  因為這本書主要是處理教會內部
[00:04:50.260 --> 00:04:52.940]  所以很快就提多
[00:04:52.940 --> 00:04:54.780]  要在教會裏面安立一些
[00:04:54.780 --> 00:04:57.660]  真是有很靈明的領袖
[00:04:57.660 --> 00:05:00.820]  來作教會的教導
[00:05:00.820 --> 00:05:04.140]  來帶領和治理教會
[00:05:04.140 --> 00:05:06.860]  這個見證是真的又如何呢
[00:05:06.860 --> 00:05:08.940]  為者緣故
[00:05:08.940 --> 00:05:12.020]  你就要嚴嚴的責備他們
[00:05:12.020 --> 00:05:15.020]  連續講了兩次責備
[00:05:15.020 --> 00:05:18.900]  不要懼怕這些現況
[00:05:18.900 --> 00:05:23.980]  要處理這個問題
[00:05:23.980 --> 00:05:29.300]  你想一下現在我們一年都未解除那個病毒的侵害
[00:05:29.300 --> 00:05:31.540]  如果我們還說沒有問題的
[00:05:31.540 --> 00:05:32.460]  不用戴口罩的
[00:05:32.460 --> 00:05:33.860]  有病才戴口罩的
[00:05:33.860 --> 00:05:35.780]  不用戴口罩的
[00:05:35.780 --> 00:05:39.380]  相信現在連很多歐美的人都不敢再這樣說了
[00:05:39.380 --> 00:05:42.380]  都知道嚴重了
[00:05:42.380 --> 00:05:46.620]  所以提多不要逃避那個問題
[00:05:46.620 --> 00:05:51.060]  是要正面去處理這個問題
[00:05:51.060 --> 00:05:53.700]  而且剛才哲理行間是
[00:05:53.700 --> 00:05:57.260]  他都是年輕的傳道者
[00:05:57.260 --> 00:06:01.900]  不要讓任何人輕看你
[00:06:01.900 --> 00:06:07.260]  這樣就真的挺困難的
[00:06:07.260 --> 00:06:09.060]  嚴嚴的責備
