
[00:00:00.000 --> 00:00:03.000]  我们要一起祈祷先
[00:00:03.000 --> 00:00:07.000]  多谢主让我们能够在寒冷的天气
[00:00:07.000 --> 00:00:12.000]  大家都可以透过完善的一些网络
[00:00:12.000 --> 00:00:15.000]  来学习圣经
[00:00:15.000 --> 00:00:20.000]  虽然不是一个互相的分享、讨论的方式
[00:00:20.000 --> 00:00:24.000]  但是当我们去讲解、去重读经文
[00:00:24.000 --> 00:00:31.000]  和逐段去思想作者当时写作的用心、企划
[00:00:31.000 --> 00:00:37.000]  我们都能够掌握到一个挺充实的救恩故事
[00:00:37.000 --> 00:00:41.000]  就是主耶稣来这个世界的目的
[00:00:41.000 --> 00:00:46.000]  和救恩带给我们人类的救赎
[00:00:46.000 --> 00:00:48.000]  我们很感谢主
[00:00:48.000 --> 00:00:53.000]  我们去到第十九章和二十章的复活
[00:00:53.000 --> 00:00:57.000]  有几个事件是约翰刻意去记载
[00:00:57.000 --> 00:01:01.000]  都盼望我们能够掌握里面的经文
[00:01:01.000 --> 00:01:03.000]  以至我们对作者
[00:01:03.000 --> 00:01:07.000]  他想带出的这位主耶稣是尼赛亚这件事
[00:01:07.000 --> 00:01:09.000]  有一个认识
[00:01:09.000 --> 00:01:12.000]  我们今天晚上再一次等候在你的面前
[00:01:12.000 --> 00:01:15.000]  保守我们大家的身体心灵
[00:01:15.000 --> 00:01:17.000]  明天会进一步再动的
[00:01:17.000 --> 00:01:21.000]  盼望都不影响我们大家的身体健康
[00:01:21.000 --> 00:01:25.000]  如果有不舒服的求主都来帮助和医治
[00:01:25.000 --> 00:01:28.000]  我们等候仰望奉主耶稣基督的名
[00:01:28.000 --> 00:01:29.000]  阿们
[00:01:29.000 --> 00:01:33.000]  看一看网上的记录
[00:01:33.000 --> 00:01:36.000]  原来今晚是第38堂
[00:01:36.000 --> 00:01:38.000]  所以都差不多了
[00:01:38.000 --> 00:01:42.000]  我们用40个礼拜讲完约翰福音21章
[00:01:42.000 --> 00:01:44.000]  不计今堂还有两堂
[00:01:44.000 --> 00:01:46.000]  我们都松动的
[00:01:46.000 --> 00:01:50.000]  希望最后一堂能够做一个很重要的总结
[00:01:50.000 --> 00:01:54.000]  有一件要讲的事
[00:01:54.000 --> 00:01:59.000]  是星期六下午的时候
[00:01:59.000 --> 00:02:03.000]  因为我第二天星期日要在红因港
[00:02:03.000 --> 00:02:05.000]  在办公室
[00:02:05.000 --> 00:02:07.000]  我在停车场这边
[00:02:07.000 --> 00:02:09.000]  预备了很久
[00:02:09.000 --> 00:02:13.000]  其实早就要讲希伯来书第十章
[00:02:13.000 --> 00:02:22.000]  讲到主耶稣已经是那一位在至圣所里面的救主
[00:02:22.000 --> 00:02:24.000]  这位大祭司
[00:02:24.000 --> 00:02:27.000]  如何带领会众
[00:02:27.000 --> 00:02:31.000]  尤其是希伯来书收信的读者是犹太人
[00:02:31.000 --> 00:02:33.000]  作者是要勉励他们
[00:02:33.000 --> 00:02:36.000]  要大胆的去到私人宝座
[00:02:36.000 --> 00:02:38.000]  去到天上的至圣所
[00:02:38.000 --> 00:02:40.000]  和废弃了旧约
[00:02:40.000 --> 00:02:44.000]  一直想着有没有现实的例子
[00:02:44.000 --> 00:02:48.000]  可以在红因港讲到的时候
[00:02:48.000 --> 00:02:52.000]  特别是那些基层会众
[00:02:52.000 --> 00:02:54.000]  就去想一想
[00:02:54.000 --> 00:02:59.000]  不如过去办公室签一些文件
[00:02:59.000 --> 00:03:01.000]  松一松
[00:03:01.000 --> 00:03:05.000]  过去见到两位弟兄坐在广场那里
[00:03:05.000 --> 00:03:08.000]  来聊天
[00:03:08.000 --> 00:03:10.000]  打招呼
[00:03:10.000 --> 00:03:12.000]  没多久就进去签文件
[00:03:12.000 --> 00:03:14.000]  突然之间
[00:03:14.000 --> 00:03:17.000]  Chris 俞建峰弟兄就进来拍我
[00:03:17.000 --> 00:03:19.000]  叫我出来
[00:03:19.000 --> 00:03:23.000]  原来他和袖面弟兄
[00:03:23.000 --> 00:03:27.000]  在和以色列的一个传道人对话
[00:03:27.000 --> 00:03:29.000]  视像的对话
[00:03:29.000 --> 00:03:31.000]  Live的对话
[00:03:31.000 --> 00:03:33.000]  是一个犹太人
[00:03:33.000 --> 00:03:35.000]  这个传道人很特别
[00:03:35.000 --> 00:03:38.000]  就是我们敢宣的弟兄
[00:03:38.000 --> 00:03:40.000]  有支持的
[00:03:40.000 --> 00:03:43.000]  去和以色列圣经公会印的那本
[00:03:43.000 --> 00:03:46.000]  希伯来文的新约圣经
[00:03:46.000 --> 00:03:49.000]  因为新约是希列文人写的
