
[00:00:00.000 --> 00:00:02.000]  靜慧早安
[00:00:02.000 --> 00:00:04.000]  很感恩能夠平安的
[00:00:04.000 --> 00:00:06.000]  再回到大家當中
[00:00:06.000 --> 00:00:08.000]  一切可以敬拜神
[00:00:08.000 --> 00:00:10.000]  可以參與侍奉
[00:00:10.000 --> 00:00:12.000]  這個絕對是上帝的恩典
[00:00:12.000 --> 00:00:14.000]  今天很想透過這段經文
[00:00:14.000 --> 00:00:16.000]  和大家去分享
[00:00:16.000 --> 00:00:20.000]  用整個約伯記的脈絡
[00:00:20.000 --> 00:00:22.000]  用他的主題
[00:00:22.000 --> 00:00:24.000]  再加上這一次
[00:00:24.000 --> 00:00:26.000]  我在手術當中經歷的
[00:00:26.000 --> 00:00:28.000]  和大家去分享
[00:00:28.000 --> 00:00:32.000]  究竟約伯記裏面
[00:00:32.000 --> 00:00:34.000]  最出名的這句話
[00:00:34.000 --> 00:00:36.000]  我從前風聞有理
[00:00:36.000 --> 00:00:38.000]  我現在親眼見你
[00:00:38.000 --> 00:00:40.000]  究竟是什麼意思呢?
[00:00:40.000 --> 00:00:42.000]  我也很想讓大家知道
[00:00:42.000 --> 00:00:44.000]  或許我要先去假設
[00:00:44.000 --> 00:00:46.000]  可能在座裏面
[00:00:46.000 --> 00:00:48.000]  有些弟兄姊妹都沒有看過約伯記
[00:00:48.000 --> 00:00:50.000]  所以我很快地去講一講
[00:00:50.000 --> 00:00:52.000]  約伯記的整個脈絡
[00:00:52.000 --> 00:00:54.000]  首先在講之前
[00:00:54.000 --> 00:00:56.000]  我要先定位
[00:00:56.000 --> 00:00:58.000]  看聖經一定要知道
[00:00:58.000 --> 00:01:00.000]  究竟他的文體是什麼
[00:01:00.000 --> 00:01:04.000]  約伯記是一個戲劇
[00:01:04.000 --> 00:01:06.000]  記住約伯記是一個戲劇
[00:01:06.000 --> 00:01:08.000]  所以你可以放在
[00:01:08.000 --> 00:01:10.000]  詩篇、針研裏面
[00:01:10.000 --> 00:01:12.000]  什麼意思呢?
[00:01:12.000 --> 00:01:14.000]  即是當你看的時候
[00:01:14.000 --> 00:01:16.000]  重點並不是
[00:01:16.000 --> 00:01:18.000]  究竟約伯記裏面
[00:01:18.000 --> 00:01:20.000]  所呈現的事情
[00:01:20.000 --> 00:01:22.000]  有沒有發生
[00:01:22.000 --> 00:01:24.000]  而是他裏面的訊息
[00:01:24.000 --> 00:01:26.000]  清楚嗎?
[00:01:26.000 --> 00:01:28.000]  即是你今天看電影
[00:01:28.000 --> 00:01:30.000]  你不會去問
[00:01:30.000 --> 00:01:32.000]  究竟電影裏面的某某某某角色
[00:01:32.000 --> 00:01:34.000]  是否真實存在
[00:01:34.000 --> 00:01:36.000]  其實不是
[00:01:36.000 --> 00:01:38.000]  是這個劇作者很想透過這個角色
[00:01:38.000 --> 00:01:40.000]  去跟你講一些訊息
[00:01:40.000 --> 00:01:42.000]  所以大家看約伯記的時候
[00:01:42.000 --> 00:01:44.000]  要回到訊息而不是重點
[00:01:44.000 --> 00:01:46.000]  我想舉個例子
[00:01:46.000 --> 00:01:48.000]  就好像當你看詩篇的時候
[00:01:48.000 --> 00:01:50.000]  他說上帝有大能的旁碑
[00:01:50.000 --> 00:01:52.000]  如果你去不斷去研究
