
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹早晨,主對面平安
[00:00:05.000 --> 00:00:14.000]  最後一次和大家講道,很不捨得大家的,大家不用不捨得我,大家又是很好的目者
[00:00:14.000 --> 00:00:21.000]  不過我離開一個崗位,我不是不做目者,我永遠都是大家的目者
[00:00:21.000 --> 00:00:24.000]  如果你們有需要找我聊聊天,隨時都歡迎的
[00:00:24.000 --> 00:00:32.000]  今天和大家講道,有些人都會問,最後一次講什麼訊息?我又不懂得講什麼驚天動地的東西
[00:00:32.000 --> 00:00:38.000]  我只是按照聖經講,或者講一些我認為有價值的主題
[00:00:38.000 --> 00:00:46.000]  今天的講題是講有故事的人,首先什麼是故事?故事是什麼來的呢?
[00:00:46.000 --> 00:00:53.000]  有時候我們會想,故事就是老作那些,童話故事,或者是一些創作故事
[00:00:53.000 --> 00:00:57.000]  其實除了童話故事之外,電影都是一些故事來的
[00:00:57.000 --> 00:01:00.000]  有時候有些遊戲都有背景,有故事
[00:01:00.000 --> 00:01:06.000]  甚至其實在我們生命中真實發生過的事情,都是一些故事來的
[00:01:06.000 --> 00:01:10.000]  只要是一些過去發生過的事情,都是一些故事
[00:01:10.000 --> 00:01:13.000]  所以今天我會和大家講很多不同的故事
[00:01:13.000 --> 00:01:16.000]  第一個就是關於我的故事
[00:01:16.000 --> 00:01:21.000]  我小時候,其實我是跟著我祖母去成長
[00:01:21.000 --> 00:01:28.000]  有些人覺得看起來好像很健康成長,其實不是的
[00:01:28.000 --> 00:01:34.000]  我是一個單親家庭成長,我爸爸媽媽在我小時候已經分開了
[00:01:34.000 --> 00:01:38.000]  現在有些人都問我,你移民不用理家裡嗎?
[00:01:38.000 --> 00:01:44.000]  我爸爸和媽媽各自都有家庭,所以我是不用理他們,他們各自有家庭
[00:01:44.000 --> 00:01:48.000]  我有很多弟弟妹妹,但是同父同母,只有一個弟弟
[00:01:48.000 --> 00:01:53.000]  我跟著我祖母長大,所以小時候沒有什麼人去理
[00:01:53.000 --> 00:01:57.000]  他開始照顧我的時候,已經是六十歲
[00:01:57.000 --> 00:02:02.000]  那時候小時候,他就帶著我去哪裡都跟著他
[00:02:02.000 --> 00:02:06.000]  去街市也是跟著他,去晨運也是跟著他,一直黏著他
[00:02:06.000 --> 00:02:11.000]  有一次,說說我的背景,我們住在一個唐樓
[00:02:11.000 --> 00:02:15.000]  唐樓就是十層高,沒有樓梯的那些,叫唐樓
[00:02:15.000 --> 00:02:21.000]  我家就在五樓,所以每次回家都要走五層樓梯,很累的
[00:02:21.000 --> 00:02:25.000]  我媽媽有一次帶我去街市買菜
[00:02:25.000 --> 00:02:29.000]  去完街市買菜,就抽著菜走五層樓梯回家
[00:02:29.000 --> 00:02:34.000]  回去的時候,她看到我手上多了一樣東西,多了一個算盤
[00:02:34.000 --> 00:02:39.000]  知不知道算盤是什麼?知道的吧?我怕年輕人不知道
[00:02:39.000 --> 00:02:43.000]  但是其實我們的算盤都不是用來算的,當滑板而已,小時候
[00:02:43.000 --> 00:02:47.000]  就是多了一個算盤,為什麼會有一個算盤呢?
[00:02:47.000 --> 00:02:52.000]  想想,剛才經過一間雜貨舖,可能就是我順手在那裡拿了
[00:02:52.000 --> 00:02:58.000]  拿了就回家了,一般人,小孩拿了東西回家
[00:02:58.000 --> 00:03:02.000]  又沒有人發現,沒有人追出來,那就是沒事了,是不是?
[00:03:02.000 --> 00:03:06.000]  那你會怎麼處理?有些可能當沒事發生
[00:03:06.000 --> 00:03:12.000]  但是我奶奶是一個很誠實的人,她就拿了一個算盤下樓給人家
[00:03:12.000 --> 00:03:16.000]  然後又要再走五層樓梯上來,很辛苦的
[00:03:16.000 --> 00:03:20.000]  這些我當然不記得了,我那時候很小
[00:03:20.000 --> 00:03:24.000]  但是這些故事是我奶奶她的複述給我聽的
[00:03:24.000 --> 00:03:27.000]  她讓我知道過去曾經發生過這樣的事
