
[00:00:00.000 --> 00:00:04.000]  約書亞記第五章十三至十五節
[00:00:04.000 --> 00:00:08.000]  在我們商行本聖經舊約的第296頁
[00:00:08.000 --> 00:00:13.000]  我重複經文在約書亞記五章十三至十五節
[00:00:13.000 --> 00:00:16.000]  請聽我讀出以下經文
[00:00:16.000 --> 00:00:19.000]  約書亞靠近耶利哥的時候
[00:00:19.000 --> 00:00:21.000]  舉目觀看
[00:00:21.000 --> 00:00:24.000]  看啊!有一個人站在他對面
[00:00:24.000 --> 00:00:26.000]  手裡拿著拔出來的劍
[00:00:26.000 --> 00:00:29.000]  約書亞拔出來的刀
[00:00:29.000 --> 00:00:31.000]  約書亞到他那裡
[00:00:31.000 --> 00:00:33.000]  對他說:你是屬我們的
[00:00:33.000 --> 00:00:36.000]  還是屬我們敵人的呢?
[00:00:36.000 --> 00:00:41.000]  他說:不!我現在來是要作耶和華軍隊的元帥
[00:00:41.000 --> 00:00:44.000]  約書亞便臉伏於地下拜
[00:00:44.000 --> 00:00:48.000]  說:我主有什麼話請吩咐僕人吧
[00:00:48.000 --> 00:00:52.000]  耶和華軍隊的元帥對約書亞說
[00:00:52.000 --> 00:00:54.000]  把你腳上的鞋脫下來
[00:00:54.000 --> 00:00:57.000]  因為你所站的地方是聖的
[00:00:57.000 --> 00:01:00.000]  約書亞便照著做了
[00:01:00.000 --> 00:01:05.000]  感謝神今天我們有周小嫻姑娘在我們當中靜悟
[00:01:05.000 --> 00:01:08.000]  小嫻姑娘是我們的義務傳導
[00:01:08.000 --> 00:01:11.000]  她今晚的講題是打美好的仗
[00:01:11.000 --> 00:01:14.000]  現在恭請小嫻姑娘靜悟
[00:01:14.000 --> 00:01:21.000]  各位晚安
[00:01:21.000 --> 00:01:23.000]  很開心
[00:01:23.000 --> 00:01:27.000]  多謝周牧師讓我在出宣教工場之前
[00:01:27.000 --> 00:01:30.000]  又有一次靜悟機會
[00:01:30.000 --> 00:01:33.000]  在最近這個月
[00:01:33.000 --> 00:01:40.000]  我們一家已經進入最後籌備出宣教工場的階段
[00:01:40.000 --> 00:01:46.000]  也同時籌備1月5日剛才的邀請卡
[00:01:46.000 --> 00:01:50.000]  下午在錦宣家舉行的猜顯禮
[00:01:50.000 --> 00:01:53.000]  也同時收拾行裝
[00:01:53.000 --> 00:01:59.000]  準備離港到宣教工場柬埔寨
[00:01:59.000 --> 00:02:02.000]  有不少的頂姐妹問我
[00:02:02.000 --> 00:02:05.000]  喂 你準備好了嗎
[00:02:05.000 --> 00:02:09.000]  她們神色都有點兒重
[00:02:09.000 --> 00:02:11.000]  令我都有些感覺
[00:02:11.000 --> 00:02:16.000]  好像去宣教工場上戰場的感覺
[00:02:17.000 --> 00:02:20.000]  大家知不知道
[00:02:20.000 --> 00:02:24.000]  原來做宣教童工宣教士
[00:02:24.000 --> 00:02:26.000]  我是參加宣導差會
[00:02:26.000 --> 00:02:28.000]  不過我相信其他差會都會這樣做
[00:02:28.000 --> 00:02:31.000]  他們會有份文件給我填
[00:02:31.000 --> 00:02:38.000]  如果萬一你不幸在宣教工場離世
[00:02:38.000 --> 00:02:42.000]  你的子女會安排給誰照顧
[00:02:42.000 --> 00:02:45.000]  當我填完這份文件的時候
[00:02:45.000 --> 00:02:49.000]  就更有上戰場的感覺
[00:02:49.000 --> 00:02:51.000]  其實去異地宣教
[00:02:51.000 --> 00:02:57.000]  除了適應當地文化、水土、環境、氣候
[00:02:57.000 --> 00:03:01.000]  的確有很多屬靈爭戰
[00:03:01.000 --> 00:03:06.000]  所以說上戰場都不為過
[00:03:06.000 --> 00:03:11.000]  所以我很感激曾姑娘邀請我們一家
[00:03:11.000 --> 00:03:14.000]  寫了一年三個星期
[00:03:14.000 --> 00:03:16.000]  由今個星期開始
[00:03:16.000 --> 00:03:22.000]  在差傳網站讓大家認識我們這個家庭
[00:03:22.000 --> 00:03:25.000]  可能大家認識我都見過
[00:03:25.000 --> 00:03:28.000]  我先生陳啟誠是誰呢
[00:03:28.000 --> 00:03:32.000]  今期有他的介紹、夢照見證
[00:03:32.000 --> 00:03:35.000]  接下來亦有我們的代討需要
[00:03:35.000 --> 00:03:41.000]  非常邀請大家與我們一起同行
[00:03:41.000 --> 00:03:43.000]  臨行之前
[00:03:43.000 --> 00:03:47.000]  天父透過《約書亞記》
[00:03:47.000 --> 00:03:51.000]  特別今日和大家分享的這段經文
[00:03:51.000 --> 00:03:53.000]  去勉勵我們一家
[00:03:53.000 --> 00:03:57.000]  他提醒我們要以甚麼態度
[00:03:57.000 --> 00:04:01.000]  去準備迎接一場又一場
[00:04:01.000 --> 00:04:07.000]  在生活上或屬靈上的爭戰
[00:04:07.000 --> 00:04:09.000]  很精彩的訊息
[00:04:09.000 --> 00:04:15.000]  我都很希望藉著今晚和大家一起分享
[00:04:15.000 --> 00:04:17.000]  我們進入經文之先
[00:04:17.000 --> 00:04:21.000]  我們一起有個祈禱
[00:04:21.000 --> 00:04:23.000]  天父我們感謝讚美你
[00:04:23.000 --> 00:04:29.000]  感謝你賜給我們有你的華語同在
[00:04:29.000 --> 00:04:35.000]  感謝你賜給我們有機會傳揚你的福音
[00:04:35.000 --> 00:04:39.000]  我們不單是蒙你的揀選成為你的兒女
[00:04:39.000 --> 00:04:45.000]  而且願你同工將福音傳給我們身邊的人
[00:04:45.000 --> 00:04:48.000]  甚至是我們不認識的人
[00:04:48.000 --> 00:04:51.000]  甚至是我們從來沒有接觸過的人
[00:04:51.000 --> 00:04:54.000]  甚至我們曾經不喜歡
[00:04:54.000 --> 00:04:59.000]  但藉著你的福音你叫我們去愛這些人
[00:04:59.000 --> 00:05:04.000]  主人你真的很信實很奇妙
[00:05:04.000 --> 00:05:09.000]  感謝你賜給我們有機會聽你的訊息
[00:05:09.000 --> 00:05:13.000]  願聖靈在當中幫助我們有悟性
[00:05:13.000 --> 00:05:14.000]  我們聽得明白
[00:05:14.000 --> 00:05:17.000]  幫助孩子都講得清楚
[00:05:17.000 --> 00:05:18.000]  你與我們同在
[00:05:18.000 --> 00:05:20.000]  聽我們的祈禱
[00:05:20.000 --> 00:05:23.000]  我們與主耶穌基督得聖名字而求
[00:05:23.000 --> 00:05:24.000]  阿們
[00:05:25.000 --> 00:05:31.000]  主席剛才讀的經文是約書亞記第五章十三至十五節
[00:05:31.000 --> 00:05:34.000]  可能大家都有點噁心
[00:05:34.000 --> 00:05:37.000]  突然讀這幾節經文
