
[00:00:00.000 --> 00:00:01.480]  好!大家姐妹,晚安!
[00:00:01.480 --> 00:00:06.560]  每一次能夠跟大家分享,獻上感恩
[00:00:06.560 --> 00:00:09.400]  特別是明天就是我們41周年
[00:00:09.400 --> 00:00:12.600]  教會一直走,走到41周年
[00:00:12.600 --> 00:00:16.640]  我不知道大家會覺得上帝怎樣看待我們
[00:00:16.640 --> 00:00:20.640]  又或者反過來,你怎樣看待你自己
[00:00:20.640 --> 00:00:26.020]  很多時候,聖經裏面好看的地方是甚麼呢?
[00:00:26.020 --> 00:00:30.960]  我不知道大家喜不喜歡看周生,即周什麼慈的電影
[00:00:30.960 --> 00:00:33.920]  他的電影通常很賣座
[00:00:33.920 --> 00:00:37.540]  通常他說他是很搞笑的
[00:00:37.540 --> 00:00:41.160]  但我不知道大家知不知道,搞笑的有一個秘訣
[00:00:41.160 --> 00:00:44.800]  就是你只需要將那件事反差很大就可以了
[00:00:44.800 --> 00:00:48.720]  譬如是一個很厲害的豬肉佬
[00:00:48.720 --> 00:00:53.800]  即是一個被人看不起的特務
[00:00:53.800 --> 00:00:58.020]  然後他做了一件很大的事
[00:00:58.020 --> 00:01:01.100]  一個平時很差勁的人
[00:01:01.100 --> 00:01:05.660]  但卻是一個會彈鋼琴唱李香蘭的人
[00:01:05.660 --> 00:01:07.660]  即是等等
[00:01:07.660 --> 00:01:11.100]  即是你會發覺聖經裏面這些就是好看的
[00:01:11.100 --> 00:01:16.180]  我想告訴大家,今晚這個故事正好就是一個這麼好看的故事
[00:01:16.180 --> 00:01:19.980]  你會發覺這段經文當中有趣的地方
[00:01:19.980 --> 00:01:24.300]  當上帝去呼召基癲的時候
[00:01:24.300 --> 00:01:29.300]  第一句是大能的勇士,耶和華與你同在
[00:01:29.300 --> 00:01:32.700]  他稱基癲是大能的勇士
[00:01:32.700 --> 00:01:37.460]  所以很多時候我們一聽到的時候,我們很容易就跳下去
[00:01:37.460 --> 00:01:42.620]  之後是很厲害,300人打贏了整支軍隊
[00:01:42.620 --> 00:01:44.620]  這樣是很厲害
[00:01:44.620 --> 00:01:47.780]  但我想大家要很小心去看這些經文
[00:01:47.780 --> 00:01:53.380]  因為這個人在他剛出現的時候,他的狀態非常重要
[00:01:53.380 --> 00:01:57.140]  其實我今天跟大家講的講題的時候已經揭露給大家聽了
[00:01:57.140 --> 00:01:59.140]  是一個很大的反差
[00:01:59.140 --> 00:02:03.140]  上帝大能的勇士是一個軟弱的基癲
[00:02:03.140 --> 00:02:09.780]  要講一點點就是關於當時其實時施記是一個什麼樣的環境
[00:02:09.780 --> 00:02:11.780]  時施記好看亦都是同樣
[00:02:11.780 --> 00:02:13.780]  是因為他接住約書亞記
[00:02:14.780 --> 00:02:18.780]  約書亞記是一個很謙卑的約書亞
[00:02:18.780 --> 00:02:22.780]  同樣約書亞怕不怕?怕
[00:02:22.780 --> 00:02:25.780]  所以上帝呼召他的時候就跟他說什麼
[00:02:25.780 --> 00:02:29.780]  你不要怕,我跟你一起
[00:02:29.780 --> 00:02:34.780]  所以其實約書亞同樣都是帶著怕去向前打
[00:02:34.780 --> 00:02:36.780]  但就因為約書亞
[00:02:36.780 --> 00:02:38.780]  上帝你叫我做我就做
[00:02:38.780 --> 00:02:41.780]  我很馴服,你見到整個過程當中他很馴服
[00:02:41.780 --> 00:02:45.780]  所以你會發覺這麼多場仗是贏到開巷的
[00:02:45.780 --> 00:02:50.780]  是很難打的仗他都贏了
[00:02:50.780 --> 00:02:52.780]  由最初的耶利哥
[00:02:52.780 --> 00:02:56.780]  我形容算我用這樣的字眼
[00:02:56.780 --> 00:02:58.780]  一場最瘋狂的戰爭
