
[00:00:00.000 --> 00:00:04.000]  公讀詩篇三十三篇
[00:00:04.000 --> 00:00:13.000]  伊人呀!你們當因耶和華歡呼,正直人理當讚美耶和華。
[00:00:13.000 --> 00:00:28.000]  你們要彈琴稱謝她,用十言失歌頌她,應當向她唱新歌,彈得巧妙,聲音洪亮。
[00:00:28.000 --> 00:00:36.000]  因為耶和華的言語正直,她的作為盡到信實。
[00:00:36.000 --> 00:00:45.000]  她喜愛公義和公平,遍地滿了耶和華的慈愛。
[00:00:45.000 --> 00:00:54.000]  諸天藉耶和華的話而造,萬象藉她口中的氣而成。
[00:00:54.000 --> 00:01:02.000]  她聚集海水如雷,收藏心陽在倉庫。
[00:01:02.000 --> 00:01:13.000]  願地上、願全地都敬畏耶和華,願世上的居民都懼怕她,
[00:01:13.000 --> 00:01:19.000]  因為她說有就有,命立就立。
[00:01:19.000 --> 00:01:29.000]  耶和華使列國的酬算歸於無有,使萬民的計謀全無功效。
[00:01:29.000 --> 00:01:39.000]  耶和華的酬算永遠立定,她心中的計劃萬代長存。
[00:01:39.000 --> 00:01:45.000]  以耶和華為上帝的,那國有福了。
[00:01:45.000 --> 00:01:53.000]  耶和華簡短為自己產業的,那民有福了。
[00:01:53.000 --> 00:02:00.000]  耶和華從天上觀看,看見所有的人。
[00:02:00.000 --> 00:02:07.000]  從她的居所察看地上每一個居民,
[00:02:07.000 --> 00:02:15.000]  她塑造他們的心,洞察他們一切的作為。
[00:02:15.000 --> 00:02:23.000]  君王不能因兵多得勝,勇士不能因力大得救,
[00:02:23.000 --> 00:02:31.000]  靠馬得救是枉然的,馬也不能因力大救人。
[00:02:31.000 --> 00:02:41.000]  看啊,耶和華的眼目看顧敬畏她的人,和仰望她慈愛的人,
[00:02:41.000 --> 00:02:51.000]  要救他們的性命脫離死亡,使他們在饑荒中存活。
[00:02:51.000 --> 00:02:56.000]  我們的心向來等候耶和華,
[00:02:56.000 --> 00:03:02.000]  她是我們的幫助,是我們的盾牌。
[00:03:02.000 --> 00:03:12.000]  我們的心必靠她歡喜,因為我們向來依靠她的盛名。
[00:03:12.000 --> 00:03:23.000]  耶和華,求祢照著我們所仰望祢的,向我們施行慈愛。
[00:03:23.000 --> 00:03:48.000]  (掌聲)
[00:03:48.000 --> 00:03:50.000]  各位政委姐妹平安!
[00:03:50.000 --> 00:03:57.000]  今天是我第一次來集中在錦繡花園這個地方,
[00:03:57.000 --> 00:03:59.000]  也是第一次來這個教會,
