
[00:00:00.000 --> 00:00:03.920]  各位姐妹平安 感謝主
[00:00:03.920 --> 00:00:08.640]  我想我好像在晚堂應該有大半年沒有在這裡講道
[00:00:08.640 --> 00:00:12.080]  是不是?很久很久沒有在這裡講道了
[00:00:12.080 --> 00:00:15.900]  所以好像有些不是很習慣 有些害怕
[00:00:15.900 --> 00:00:20.080]  覺得平時講道就光環環的 外面
[00:00:20.080 --> 00:00:23.540]  感謝主 有機會跟大家
[00:00:23.540 --> 00:00:26.920]  利用上帝的說話彼此勉勵
[00:00:26.920 --> 00:00:32.240]  當我知道教會安排了這段經文
[00:00:32.240 --> 00:00:37.820]  講到這個屬靈的裝備的時候
[00:00:37.820 --> 00:00:41.820]  看到原來在昔日那些羅馬的兵
[00:00:41.820 --> 00:00:44.680]  他們有很多很多的裝備的
[00:00:44.680 --> 00:00:48.840]  我就上網了 看看對比一下
[00:00:48.840 --> 00:00:52.440]  對比一下今天的那些警務人員
[00:00:52.440 --> 00:00:55.840]  他們的裝備又是怎麼樣的呢?
[00:00:56.560 --> 00:01:00.220]  我就看到了 原來那些警務人員
[00:01:00.220 --> 00:01:06.320]  他們就會有短槍 又有警棍
[00:01:06.320 --> 00:01:10.820]  還有胡椒噴霧 又有一些急救包
[00:01:10.820 --> 00:01:15.740]  還有什麼對講機 手機 電筒
[00:01:15.740 --> 00:01:18.500]  還有一樣東西 開車的人很不喜歡的
[00:01:18.500 --> 00:01:22.540]  他們隨身都會有一些告票簿在這裡
[00:01:22.540 --> 00:01:27.840]  原來整個裝備 你知不知道大約多重?
[00:01:27.840 --> 00:01:30.980]  二十多三十磅
[00:01:30.980 --> 00:01:34.960]  去那些特種機動部隊那些
[00:01:34.960 --> 00:01:39.380]  再多些裝置的時候 差不多四十磅
[00:01:39.380 --> 00:01:42.540]  有時候我們在這些大熱天的時候
[00:01:42.540 --> 00:01:46.960]  在街市買菜 就買了半個西瓜
[00:01:46.960 --> 00:01:52.500]  兩磅多 從街市拿個西瓜回去的時候
[00:01:52.500 --> 00:01:55.120]  我們都覺得辛苦到死
[00:01:55.120 --> 00:01:58.500]  我想一下這些警務人員
[00:01:58.500 --> 00:02:02.300]  他們那些裝備真是很吃力
[00:02:02.300 --> 00:02:06.940]  保羅在他寫這個《以忽所書》的時候
[00:02:06.940 --> 00:02:10.640]  他就坐在監獄裡 大家都知道監獄書信
[00:02:10.640 --> 00:02:16.500]  所以每天都跟那些羅馬兵日對夜對
[00:02:16.500 --> 00:02:19.940]  在這樣的情況下 他看著這些羅馬兵
[00:02:19.940 --> 00:02:23.300]  他們那些裝置 他們就想到了
[00:02:23.300 --> 00:02:26.740]  保羅就想到了 我們每一個基督徒
[00:02:26.740 --> 00:02:32.820]  每一個信徒 每一天都是跟著惡魔
[00:02:32.820 --> 00:02:37.060]  暫時掌管這個邪惡世界的惡魔
[00:02:37.060 --> 00:02:40.700]  我們來去作戰的 所以就想一下
[00:02:40.700 --> 00:02:44.340]  作為一個耶穌基督的信徒
[00:02:44.340 --> 00:02:48.420]  如果我們要去做一個徵兵
[00:02:48.420 --> 00:02:53.060]  我們要為耶穌做一個很好的軍隊的時候
[00:02:53.060 --> 00:02:57.500]  我們就要帶上這個屬靈的兵器
[00:02:57.500 --> 00:03:03.340]  他就藉著這個軍隊 羅馬軍兵的裝置
[00:03:03.340 --> 00:03:08.340]  去想一下這個屬靈的裝置會怎麼樣
[00:03:08.340 --> 00:03:12.420]  藉著這封經文去給錢面子
[00:03:14.180 --> 00:03:17.380]  這個就是一些羅馬兵裡面
[00:03:17.380 --> 00:03:20.620]  他們就有六種的裝備
[00:03:20.620 --> 00:03:26.780]  其中有五種就是做這個防衛的 保護自己的
[00:03:26.780 --> 00:03:29.940]  就不像香港那些警務人員那些
[00:03:29.940 --> 00:03:34.660]  我數一下 槍 胡椒噴霧 警棍
[00:03:34.660 --> 00:03:37.580]  那些很多都是去對付人的
[00:03:37.580 --> 00:03:42.060]  但是他們有五種都是做你這個保護性的
[00:03:43.180 --> 00:03:47.180]  我們看第一種 就是在第十五節
[00:03:47.180 --> 00:03:53.180]  他說要用這個真理做帶子來束腰的
[00:03:53.180 --> 00:03:56.220]  記得在這個出埃及的時候
[00:03:56.220 --> 00:03:59.460]  他出去埃及之前那天
