
[00:00:00.000 --> 00:00:03.200]  好 靚姐妹我們同心禱告
[00:00:03.200 --> 00:00:05.220]  再一次我們感恩
[00:00:05.220 --> 00:00:07.940]  讓我們又可以過了一個新的禮拜
[00:00:07.940 --> 00:00:10.960]  我們又能夠來到晚上的茶經班
[00:00:10.960 --> 00:00:15.680]  來繼續去研讀《出埃及記》的經文記載
[00:00:15.680 --> 00:00:20.060]  還有作者想要帶給我們看到的
[00:00:20.060 --> 00:00:25.400]  神的救贖計劃、那個企劃、那個安排
[00:00:25.400 --> 00:00:28.880]  我們看到每一件事 好像那個時間
[00:00:28.880 --> 00:00:31.980]  都是有一個準備
[00:00:31.980 --> 00:00:36.460]  我們真是很看到神自己對你的民族
[00:00:36.460 --> 00:00:39.300]  對你自己揀選的以色列人
[00:00:39.300 --> 00:00:42.000]  其實應該說對阿伯拉罕
[00:00:42.000 --> 00:00:47.580]  神祢在遠古之前的應許從來都沒有落空
[00:00:47.580 --> 00:00:51.440]  就是這樣按照著時間來去兌現
[00:00:51.440 --> 00:00:54.500]  我們很感謝神 在這個兌現過程
[00:00:54.500 --> 00:00:57.700]  我們看到神祢將摩西
[00:00:57.700 --> 00:01:03.200]  本來一個在當時是真的會死於非命的嬰孩
[00:01:03.200 --> 00:01:09.240]  你將祂拯救 而且不單只是一種簡單的拯救
[00:01:09.240 --> 00:01:13.680]  而是你要將祂的心靈都來去改換一生
[00:01:13.680 --> 00:01:16.660]  祂能夠成為神手中的器皿
[00:01:16.660 --> 00:01:20.380]  這個才反而是我們需要每一個時代
[00:01:20.380 --> 00:01:23.980]  我們有心服侍主的弟兄姊妹
[00:01:23.980 --> 00:01:27.080]  需要來去學習 求主幫助
[00:01:27.080 --> 00:01:31.680]  我們將我們今天晚上的時間仰望在祢的手中
[00:01:31.680 --> 00:01:37.020]  我們這樣禱告奉耶穌基督的名 阿們
[00:01:37.020 --> 00:01:40.520]  很感恩 我們很快就來到第四講了
[00:01:40.520 --> 00:01:44.120]  今晚我們的主題 一個分題
[00:01:44.120 --> 00:01:46.220]  就是神國的領袖
[00:01:46.220 --> 00:01:50.040]  神在他生命裏面的一個再造的工程
[00:01:50.040 --> 00:01:53.340]  講到明是工程真是有step by step
[00:01:53.340 --> 00:01:58.640]  真是有他人生的步伐
[00:01:58.640 --> 00:02:03.860]  他的升高是因為他首先要被降下
[00:02:03.860 --> 00:02:09.900]  這個《雅各書》一章十二還是第…
[00:02:09.900 --> 00:02:13.920]  我不記得第幾節 卑微的弟兄升高
[00:02:13.920 --> 00:02:19.560]  就該起落 富足的降卑也該如此
[00:02:19.560 --> 00:02:24.440]  這裏就讓我們看到 今天我們就透過這個工程
[00:02:24.440 --> 00:02:28.380]  讓我們去思想一下 侍奉者的生命
[00:02:28.380 --> 00:02:32.980]  是怎樣經歷神的拆毁和重建
[00:02:32.980 --> 00:02:37.360]  對當事人來講 從來都不是一件容易的事
[00:02:37.360 --> 00:02:42.400]  我們又看看那些的際遇 那些當時的環境
[00:02:42.400 --> 00:02:44.760]  有沒有什麼環境的因素
[00:02:44.760 --> 00:02:51.100]  有沒有什麼他自己的一個生命需要去學習
[00:02:51.100 --> 00:02:53.840]  需要去扭轉
[00:02:53.840 --> 00:02:57.500]  我們上個星期講到二章第十節
[00:02:57.500 --> 00:03:02.720]  就是和十一節是一個很重要的橋樑
[00:03:02.720 --> 00:03:05.400]  用一節聖經告訴我們
[00:03:05.400 --> 00:03:15.240]  波西在一個非常受到保護、受到栽培的環境之下
[00:03:15.240 --> 00:03:21.660]  成為一個出類拔萃的一個當時的埃及王子
[00:03:21.660 --> 00:03:24.660]  有些歷史的記載
[00:03:24.660 --> 00:03:31.260]  就是說他根本就可能在這個埃及王死
[00:03:31.260 --> 00:03:36.380]  他就可以順利的因為他的養母
[00:03:36.380 --> 00:03:39.340]  這個埃及的公主
[00:03:39.340 --> 00:03:44.200]  他可以來到成為那個王子 接著繼位的
[00:03:44.200 --> 00:03:47.320]  你可以想像得到一個這麼大的國度
[00:03:47.320 --> 00:03:51.760]  對於約瑟 他也尚且是一個宰相
[00:03:51.760 --> 00:03:56.440]  來到去做一些管理 帶領那個國家
