
[00:00:00.000 --> 00:00:06.800]  再一次感恩天父讓我們在晚上再看這個宗教改革
[00:00:06.800 --> 00:00:09.900]  我們能夠從嘉義民的學生
[00:00:09.900 --> 00:00:14.300]  這位洛克斯來到去
[00:00:14.300 --> 00:00:21.800]  從蘇格蘭的改革來到去看宗教改革帶來的歐洲的影響
[00:00:21.800 --> 00:00:25.600]  還有一些值得我們去深思的事情
[00:00:25.600 --> 00:00:30.200]  盼望今晚我們講完這個大綱之後
[00:00:30.200 --> 00:00:33.500]  又進入一個大家可以去思想
[00:00:33.500 --> 00:00:39.400]  去反思宗教改革對我們大家的影響
[00:00:39.400 --> 00:00:41.100]  我們都用了第九堂了
[00:00:41.100 --> 00:00:45.700]  盼望我們可以無論馬丁路德
[00:00:45.700 --> 00:00:50.700]  這個伊拉斯姆和嘉義民
[00:00:50.700 --> 00:00:53.700]  再加上他的一個重要的學生
[00:00:53.700 --> 00:01:02.000]  將整個嘉義民主義長老中的長老制傳到整個英國
[00:01:02.000 --> 00:01:05.000]  使我們能夠明白
[00:01:05.000 --> 00:01:07.400]  我們仰望在天父的手中
[00:01:07.400 --> 00:01:09.500]  奉耶穌基督的名
[00:01:09.500 --> 00:01:11.300]  阿們
[00:01:11.300 --> 00:01:14.000]  都真的要停了
[00:01:14.000 --> 00:01:16.500]  因為希望用十堂
[00:01:16.500 --> 00:01:18.200]  今天是第九堂
[00:01:18.200 --> 00:01:22.200]  其實主要環繞著三個宗教改革
[00:01:22.200 --> 00:01:24.800]  一定要認識的重要的人物
[00:01:24.800 --> 00:01:28.300]  當然之前提過有持運理
[00:01:28.300 --> 00:01:32.100]  或者再遠一點的
[00:01:32.100 --> 00:01:36.100]  有丁道義的翻譯聖經
[00:01:36.100 --> 00:01:41.000]  這些是一些比較支援宗教改革
[00:01:41.000 --> 00:01:42.900]  但是主要的宗教改革
[00:01:42.900 --> 00:01:45.000]  一定是由馬丁路德
[00:01:45.000 --> 00:01:48.500]  他的九十五條
[00:01:48.500 --> 00:01:52.500]  引發一個宗教討論
[00:01:52.500 --> 00:01:57.300]  而帶來天主教的教廷
[00:01:57.300 --> 00:01:59.700]  逼他要收回九十五條
[00:01:59.700 --> 00:02:02.300]  他只是希望有對話
[00:02:02.300 --> 00:02:05.000]  希望不是想推翻
[00:02:05.000 --> 00:02:08.100]  或者要來攻擊教廷
[00:02:08.100 --> 00:02:11.100]  或者他所敬重的一些神職人員
[00:02:11.100 --> 00:02:12.600]  但是沒辦法
[00:02:12.600 --> 00:02:14.600]  因為勢不兩立
[00:02:14.600 --> 00:02:18.500]  他只能夠帶領跟隨他的人
[00:02:18.500 --> 00:02:20.800]  對改革
[00:02:20.800 --> 00:02:24.000]  回到聖經的原本
[00:02:24.000 --> 00:02:27.000]  來做一個更新
[00:02:27.000 --> 00:02:30.700]  所以由一個溫和的
[00:02:30.700 --> 00:02:34.500]  引發了整個思潮
[00:02:34.500 --> 00:02:37.700]  我們第二、第三堂都說過
[00:02:37.700 --> 00:02:41.300]  既然教廷可以被挑戰
[00:02:41.300 --> 00:02:43.900]  而且是由神學方面
[00:02:43.900 --> 00:02:47.100]  由本身是神職人員的馬丁路德
[00:02:47.100 --> 00:02:49.700]  去挑戰教皇的權威
[00:02:49.700 --> 00:02:51.600]  那就是說
[00:02:51.600 --> 00:02:57.000]  中世紀的文字就因為這樣而打開了
[00:02:57.000 --> 00:02:59.800]  是一發不可收拾的
[00:02:59.800 --> 00:03:03.800]  如何能夠保持這個
[00:03:03.800 --> 00:03:06.800]  是一個穩定、溫和
[00:03:06.800 --> 00:03:08.700]  和不是革命
[00:03:08.700 --> 00:03:12.100]  改革和革命是兩碼子的事
[00:03:12.100 --> 00:03:16.000]  所以你可以想像到
