
[00:00:00.000 --> 00:00:02.000]  各位節目早安
[00:00:02.000 --> 00:00:04.000]  我第一次來到錦繡堂
[00:00:04.000 --> 00:00:06.000]  來到嘉欣堂
[00:00:06.000 --> 00:00:08.000]  跟大家分享神的話
[00:00:08.000 --> 00:00:10.000]  感謝主的恩典
[00:00:10.000 --> 00:00:12.000]  今天我來大開眼界
[00:00:12.000 --> 00:00:14.000]  除了錦繡堂一個很美麗的堂子
[00:00:14.000 --> 00:00:16.000]  很安靜的環境
[00:00:16.000 --> 00:00:18.000]  我看到嘉欣堂這裡
[00:00:18.000 --> 00:00:20.000]  我第一次見到教會融合了這麼多社區的元素
[00:00:20.000 --> 00:00:22.000]  在一個地方裏
[00:00:22.000 --> 00:00:24.000]  這個真是令我大開眼界
[00:00:24.000 --> 00:00:26.000]  所以今天我講的題目
[00:00:26.000 --> 00:00:28.000]  隨時我輪舍
[00:00:28.000 --> 00:00:30.000]  跟大家分享可能更加實際一點
[00:00:30.000 --> 00:00:32.000]  今天我從一段經文裏
[00:00:32.000 --> 00:00:34.000]  跟大家分享
[00:00:34.000 --> 00:00:36.000]  這幾年我心裏面
[00:00:36.000 --> 00:00:38.000]  一個很大的學習
[00:00:38.000 --> 00:00:40.000]  一個很大的掙扎
[00:00:40.000 --> 00:00:42.000]  究竟信仰怎樣才可以落在一個社區裏
[00:00:42.000 --> 00:00:44.000]  這個都是
[00:00:44.000 --> 00:00:46.000]  我經常問自己的問題
[00:00:46.000 --> 00:00:48.000]  所以
[00:00:48.000 --> 00:00:50.000]  這個我就想跟大家分享
[00:00:50.000 --> 00:00:52.000]  我這幾年掙扎的
[00:00:52.000 --> 00:00:54.000]  一些體會
[00:00:54.000 --> 00:00:56.000]  我先跟大家分享一段聖經
[00:00:56.000 --> 00:00:58.000]  然後我會講一些實際的例子
[00:00:58.000 --> 00:01:00.000]  這段經文
[00:01:00.000 --> 00:01:02.000]  我相信大家不會太過陌生
[00:01:02.000 --> 00:01:04.000]  如果大家回到教會
[00:01:04.000 --> 00:01:06.000]  甚至是回到主一學
[00:01:06.000 --> 00:01:08.000]  你都聽過這個故事很多次
[00:01:08.000 --> 00:01:10.000]  不過有些地方可能我們需要再留意
[00:01:10.000 --> 00:01:12.000]  我現在用的是和本的版本
[00:01:12.000 --> 00:01:14.000]  大概這段經文
[00:01:14.000 --> 00:01:16.000]  我不知道大家有沒有想過分成三個段落
[00:01:16.000 --> 00:01:18.000]  或者從內容裏
[00:01:18.000 --> 00:01:20.000]  很自然地分成三個段落
[00:01:20.000 --> 00:01:22.000]  這三個段落原來都很有意思
[00:01:22.000 --> 00:01:24.000]  第一個段落是25節到28節
[00:01:24.000 --> 00:01:26.000]  就是律法師
[00:01:26.000 --> 00:01:28.000]  或者很熟悉聖經的
[00:01:28.000 --> 00:01:30.000]  一個舊約的專家
[00:01:30.000 --> 00:01:32.000]  他就很謙卑地地問耶穌
[00:01:32.000 --> 00:01:34.000]  夫子或者老師
[00:01:34.000 --> 00:01:36.000]  我怎樣才能承受永生
[00:01:36.000 --> 00:01:38.000]  他不知下問
[00:01:38.000 --> 00:01:40.000]  來請教一個
[00:01:40.000 --> 00:01:42.000]  如果相對來說
[00:01:42.000 --> 00:01:44.000]  可能比他資歷還短一點的
[00:01:44.000 --> 00:01:46.000]  剛剛出來傳道的耶穌
[00:01:46.000 --> 00:01:48.000]  怎樣才能承受永生
[00:01:48.000 --> 00:01:50.000]  這個對話裏面耶穌又帶領他
[00:01:50.000 --> 00:01:52.000]  讓他明白
[00:01:52.000 --> 00:01:54.000]  這真是信仰上最需要的地方
[00:01:54.000 --> 00:01:56.000]  然後我們看到
[00:01:56.000 --> 00:01:58.000]  本來這個對話就完結了
[00:01:58.000 --> 00:02:00.000]  不過聖經說
[00:02:00.000 --> 00:02:02.000]  這個人要顯自己有理
[00:02:02.000 --> 00:02:04.000]  就繼續問
