
[00:00:00.000 --> 00:00:02.000]  請聽我讀出以下的經文
[00:00:02.000 --> 00:00:08.000]  是記載在《撒加利亞書》四章一至十四字
[00:00:08.000 --> 00:00:24.000]  《商行本聖經》是1433頁至1434頁
[00:00:24.000 --> 00:00:30.000]  請聽我讀出
[00:00:31.000 --> 00:00:35.000]  那與我說話的天使又來叫醒我
[00:00:35.000 --> 00:00:39.000]  好像人睡覺時被喚醒一樣
[00:00:39.000 --> 00:00:42.000]  他問我:你看見什麼?
[00:00:42.000 --> 00:00:45.000]  我說:我看見了
[00:00:45.000 --> 00:00:48.000]  看吶!有一個純金的燈台
[00:00:48.000 --> 00:00:50.000]  頂上有燈座
[00:00:50.000 --> 00:00:52.000]  其上有七盞燈
[00:00:52.000 --> 00:00:55.000]  每盞燈的上頭有七根管子
[00:00:55.000 --> 00:00:57.000]  旁邊有兩個橄欖樹
[00:00:57.000 --> 00:01:00.000]  一個在燈座的右邊
[00:01:00.000 --> 00:01:03.000]  一個在燈座的左邊
[00:01:03.000 --> 00:01:06.000]  我問與我說話的天使說:主啊!
[00:01:06.000 --> 00:01:08.000]  這是什麼意思呢?
[00:01:08.000 --> 00:01:11.000]  與我說話的天使回答對我說:
[00:01:11.000 --> 00:01:14.000]  你不知道這是什麼意思嗎?
[00:01:14.000 --> 00:01:17.000]  我說:主啊!我不知道
[00:01:17.000 --> 00:01:19.000]  他回答我說:
[00:01:19.000 --> 00:01:23.000]  這是耶和華指示所羅巴伯的話
[00:01:23.000 --> 00:01:25.000]  萬君子耶和華說:
[00:01:25.000 --> 00:01:29.000]  不是依靠勢力,不是依靠才能
[00:01:29.000 --> 00:01:32.000]  乃是依靠我的靈,方能成事
[00:01:32.000 --> 00:01:35.000]  大山啊!你算什麼呢?
[00:01:35.000 --> 00:01:39.000]  在所羅巴伯面前,你必夷為平地
[00:01:39.000 --> 00:01:43.000]  他安放頂上的奶化石頭,人就歡呼:
[00:01:43.000 --> 00:01:45.000]  願因為歸與者典
[00:01:45.000 --> 00:01:48.000]  耶和華的話臨到我,說:
[00:01:51.000 --> 00:01:54.000]  所羅巴伯的手納了這殿的根基
[00:01:54.000 --> 00:01:56.000]  他的手也必完成這功
[00:01:56.000 --> 00:02:02.000]  你就知道萬君子耶和華猜顯我到你們這裏
