
[00:00:00.000 --> 00:00:07.000]  多謝天父讓今天晚上我們可以再一次來聚集
[00:00:07.000 --> 00:00:12.000]  無論在禮拜堂或家中的聚集
[00:00:12.000 --> 00:00:17.000]  我們都能夠一起去學習聖經
[00:00:17.000 --> 00:00:22.000]  當我們來打開去研讀神的話語的時候
[00:00:22.000 --> 00:00:26.000]  我們很盼望聖靈在我們心裏工作
[00:00:26.000 --> 00:00:30.000]  讓我們明白,讓我們遵行
[00:00:30.000 --> 00:00:36.000]  以致我們能夠和神有一個更加生命的交往
[00:00:36.000 --> 00:00:39.000]  靈命能夠成長,求主祝福
[00:00:39.000 --> 00:00:42.000]  也使用你自己的說話
[00:00:42.000 --> 00:00:46.000]  我們這樣祈禱奉耶穌基督的名,阿們
[00:00:46.000 --> 00:00:49.000]  我們一直在說約瑟
[00:00:49.000 --> 00:00:54.000]  但很特別的是38章突然之間加插了猶大
[00:00:54.000 --> 00:01:00.000]  就是瓦國的第四個兒子
[00:01:00.000 --> 00:01:08.000]  因為頭三個兒子都是不配成為第四代的繼承人
[00:01:08.000 --> 00:01:11.000]  應許之子
[00:01:11.000 --> 00:01:13.000]  所以去到猶大
[00:01:13.000 --> 00:01:18.000]  你就會發現無端端地加入第四個兒子猶大
[00:01:18.000 --> 00:01:20.000]  還說他是生兒子
[00:01:20.000 --> 00:01:26.000]  而且是由他和他的媳婦他媽所生的
[00:01:26.000 --> 00:01:29.000]  那個原因作者都解說了
[00:01:29.000 --> 00:01:32.000]  就是本來是這個侍奶
[00:01:32.000 --> 00:01:34.000]  即是猶大第三個兒子
[00:01:34.000 --> 00:01:39.000]  他長大之後就要和他媽結婚
[00:01:39.000 --> 00:01:42.000]  或者可能他們就是幫他們
[00:01:42.000 --> 00:01:45.000]  他們那個習俗就是幫自己的哥哥
[00:01:45.000 --> 00:01:47.000]  已經離世的哥哥
[00:01:47.000 --> 00:01:51.000]  去生兒子來繼承那些產業
[00:01:51.000 --> 00:01:55.000]  即是說他們很體重神給他們的產業
[00:01:55.000 --> 00:01:57.000]  他們必須要接續
[00:01:57.000 --> 00:02:00.000]  不可以斷他們的繼承
[00:02:00.000 --> 00:02:06.000]  但是猶大就沒有將侍奶給他媽
[00:02:06.000 --> 00:02:12.000]  似乎他感覺到他媽令到他兩個兒子死了
[00:02:12.000 --> 00:02:15.000]  其實是神擊打兩個兒子
[00:02:15.000 --> 00:02:21.000]  以至猶大就沒有履行這個公義的事
[00:02:21.000 --> 00:02:28.000]  所以他媽就在猶大的身體生了兩個兒子
[00:02:28.000 --> 00:02:33.000]  一對媽兒子就是法勒斯和謝拉
[00:02:33.000 --> 00:02:35.000]  也可以這樣說
[00:02:35.000 --> 00:02:38.000]  就是將來大衛的後人
[00:02:38.000 --> 00:02:45.000]  大衛的先祖就是由法勒斯那裡而來
[00:02:45.000 --> 00:02:47.000]  所以你會看到38章
[00:02:47.000 --> 00:02:50.000]  很重要是想告訴我們
[00:02:50.000 --> 00:02:54.000]  呼之欲出就是第四代的
[00:02:54.000 --> 00:02:58.000]  接續阿伯拉罕的英雄
[00:02:58.000 --> 00:03:04.000]  就是猶大和他的媽兒子法勒斯
[00:03:04.000 --> 00:03:09.000]  接著一直下去就會去到大衛
