
[00:00:00.000 --> 00:00:07.000]  耶穌見他們的信心,就對譚子說:「孩子,你的罪赦了。」
[00:00:07.000 --> 00:00:11.000]  為何這人這樣說呢?
[00:00:11.000 --> 00:00:17.000]  「他說是俗的話了,除了神一位之外,誰能赦對呢?」
[00:00:17.000 --> 00:00:21.000]  耶穌心中立刻知道他們的罪赦了,
[00:00:21.000 --> 00:00:27.000]  「話說起來,拿你的玉子行走,哪一樣容易呢?」
[00:00:27.000 --> 00:00:33.000]  「但要讓你們知道,上有借罪的權柄,就對譚子說:」
[00:00:33.000 --> 00:00:37.000]  「我吩咐你,起來,拿你的玉子回家去吧。」
[00:00:37.000 --> 00:00:42.000]  那人就起來,立刻從來沒有見過這樣的事。
[00:00:42.000 --> 00:00:44.000]  我們將時間交給神父來
[00:00:44.000 --> 00:00:50.000]  星期二就決定了,由我提起
[00:00:50.000 --> 00:00:52.000]  所以今天我過來這邊講道
[00:00:52.000 --> 00:01:02.000]  無論你為甚麼事回教會,你今天都要坐在這裡聽我講道
[00:01:02.000 --> 00:01:05.000]  就算你很仰慕陳牧師,都要對不起他
[00:01:05.000 --> 00:01:09.000]  下個月陳牧師又會過來
[00:01:09.000 --> 00:01:14.000]  我想問一下,其實你為甚麼今天要回教會呢?
[00:01:14.000 --> 00:01:18.000]  今天有誰因為有侍奉而要回教會呢?
[00:01:18.000 --> 00:01:22.000]  是不是因為有侍奉而要回教會呢?
[00:01:22.000 --> 00:01:26.000]  習慣了?
[00:01:26.000 --> 00:01:29.000]  星期日就要早點回來教會?
[00:01:29.000 --> 00:01:37.000]  別人邀請你,叫了十次都要來兩次?
[00:01:37.000 --> 00:01:42.000]  不是的,我每個星期都跟神父有個約會
[00:01:42.000 --> 00:01:47.000]  我不知道你今天為甚麼要來教會呢?
[00:01:47.000 --> 00:01:49.000]  你一會兒又想想為甚麼要來教會
[00:01:49.000 --> 00:01:52.000]  你來教會是想一起參與侍奉?
[00:01:52.000 --> 00:01:55.000]  你聽見了,今天會為了印尼奉獻
[00:01:55.000 --> 00:01:59.000]  於是你想參與奉獻,特意回來?
[00:01:59.000 --> 00:02:02.000]  約了朋友,見了朋友
[00:02:02.000 --> 00:02:05.000]  每個星期都要見面的
[00:02:05.000 --> 00:02:08.000]  還是沒有,做人不要太貪心
[00:02:08.000 --> 00:02:12.000]  回教會就回教會,沒有目的的
[00:02:12.000 --> 00:02:14.000]  可能沒有目的呢
[00:02:14.000 --> 00:02:19.000]  一會兒你不知道回來後做了甚麼
[00:02:19.000 --> 00:02:23.000]  這班人聚在一起
