
[00:00:00.000 --> 00:00:15.000]  各位弟兄姊妹晚安,我們一起祈禱,感恩我們又能夠在禮堂或線上家中透過Zoom
[00:00:15.000 --> 00:00:23.000]  可以一齊去研讀神的話語,我們一直都在歸回的歷史
[00:00:23.000 --> 00:00:30.000]  有三卷書卷我們來研讀,我們可以回頭去看
[00:00:30.000 --> 00:00:36.500]  在被老歸回的時候,才知道怎樣配合建造
[00:00:36.500 --> 00:00:42.000]  和要發出神秘的訊息、預言等等
[00:00:42.000 --> 00:00:47.000]  我們很盼望這些我們比較少去讀的經文
[00:00:47.000 --> 00:00:52.000]  崇拜可能比較少會講,可能會有少少陌生
[00:00:52.000 --> 00:00:58.000]  但我們都希望能夠透過一起的研讀,有少少掌握
[00:00:58.000 --> 00:01:06.000]  雖然有些未必容易解,但都幫助我們能夠透過不同的體裁的經文
[00:01:06.000 --> 00:01:13.000]  讓我們看到上主祂的作為和多樣性的啟示
[00:01:13.000 --> 00:01:20.000]  使我們能夠有一個更加豐富對神的作為的認識
[00:01:20.000 --> 00:01:24.000]  求主帶領我們一起在祢面前等候禱告
[00:01:24.000 --> 00:01:28.000]  奉耶穌基督的名,阿門
[00:01:28.000 --> 00:01:35.000]  上星期因為有些技術性的問題,上一堂課錄不到
[00:01:35.000 --> 00:01:41.000]  所以這次我們要保險一點,Zoom也做了後備錄影
[00:01:41.000 --> 00:01:48.000]  方便如果音響錄不到,都可以有一個補救
[00:01:48.000 --> 00:01:53.000]  否則會有些浪費,有些人想聽,聽不到就有點可惜
[00:01:53.000 --> 00:01:57.000]  為何會講撒加利亞書?
[00:01:57.000 --> 00:02:01.000]  因為之前我們看《以斯拉記》的時候
[00:02:01.000 --> 00:02:05.000]  因為它只有兩章,很快我們看完《哈該書》
[00:02:05.000 --> 00:02:10.000]  撒加利亞和哈該都是同時期的先知
[00:02:10.000 --> 00:02:15.000]  到最後一卷的《馬拉記》,是另一個時代
[00:02:15.000 --> 00:02:19.000]  但是因為我們又要看《尼軒米記》
[00:02:19.000 --> 00:02:23.000]  我們先放下撒加利亞書
[00:02:23.000 --> 00:02:26.000]  所以撒加利亞書今天我們會開始講
[00:02:26.000 --> 00:02:29.000]  要幫助大家的記憶
[00:02:29.000 --> 00:02:33.000]  很早期的,在大利烏王的時候
[00:02:33.000 --> 00:02:38.000]  即是說是剛剛古列王吩咐他們上去重建
[00:02:38.000 --> 00:02:43.000]  過了大概十五年,那個建造工程
[00:02:43.000 --> 00:02:47.000]  因為當地的原居民,耶路撒冷的原居民
[00:02:47.000 --> 00:02:51.000]  阻撓那個建造,所以一直停頓
[00:02:51.000 --> 00:02:54.000]  停頓到大利烏王的時候
[00:02:54.000 --> 00:03:02.000]  在那個時候,首先是由先知出來
[00:03:02.000 --> 00:03:06.000]  有神的密使去吩咐
[00:03:06.000 --> 00:03:10.000]  當然是和當時的領袖所羅巴百
[00:03:10.000 --> 00:03:13.000]  和大祭司約書亞
[00:03:13.000 --> 00:03:16.000]  來到去有一個雙方面的
[00:03:16.000 --> 00:03:21.000]  好像大家彼此的勉勵
[00:03:21.000 --> 00:03:24.000]  來到去再鼓動百姓
[00:03:24.000 --> 00:03:29.000]  所以先知哈該,他總共有三篇講道
[00:03:29.000 --> 00:03:34.000]  我們以往提過,不詳細再回頭看
[00:03:34.000 --> 00:03:38.000]  其實都重要就是在那個建造裏面
[00:03:38.000 --> 00:03:42.000]  最重要就是既然已經有一班人
[00:03:42.000 --> 00:03:48.000]  其實五萬多人,第一次回去重建聖殿的時候
[00:03:48.000 --> 00:03:51.000]  但是遇到一些阻力
[00:03:51.000 --> 00:03:54.000]  連所羅巴百,連大祭司約書亞
[00:03:54.000 --> 00:03:58.000]  都招架不住那些阻礙
[00:03:58.000 --> 00:04:01.000]  所以就停了十五年
[00:04:01.000 --> 00:04:05.000]  所以都是很荒廢,很荒涼的爛尾樓
[00:04:05.000 --> 00:04:09.000]  耶路撒冷原來都有爛尾聖殿
[00:04:09.000 --> 00:04:13.000]  只是建了一個根基,然後就沒有辦法再做了
[00:04:13.000 --> 00:04:19.000]  所以當時的百姓又不會回頭回到波斯帝國
[00:04:19.000 --> 00:04:25.000]  所以就開始私算自己的重建
[00:04:25.000 --> 00:04:30.000]  自己的居所,自己的耕種,自己的買賣
[00:04:30.000 --> 00:04:37.000]  因為群龍無首,沒有人出來領導百姓
[00:04:37.000 --> 00:04:41.000]  使大家的心再次向神
[00:04:41.000 --> 00:04:44.000]  所以就有時間到了
[00:04:44.000 --> 00:04:49.000]  神就感動哈蓋和易多的孫
[00:04:49.000 --> 00:04:51.000]  就是這個撒加利亞
[00:04:51.000 --> 00:04:53.000]  所以就分了兩卷書
[00:04:53.000 --> 00:04:57.000]  各自有各自的領袖
[00:04:57.000 --> 00:05:02.000]  各自有神秘的密士的寓言
[00:05:02.000 --> 00:05:08.000]  所以我們這次可以回頭看歷史比較早期
[00:05:08.000 --> 00:05:13.000]  第一批上去重建的時候先知的寓言
[00:05:13.000 --> 00:05:18.000]  這些經文表面上相當沉悶
[00:05:18.000 --> 00:05:22.000]  因為很多的寓言,尤其是第一到第七章
[00:05:22.000 --> 00:05:26.000]  其實你可以很簡單找到有八個的儀仗
[00:05:26.000 --> 00:05:29.000]  這些儀仗有些很難解的
[00:05:29.000 --> 00:05:34.000]  有些很天馬行空的,好像科幻顯
[00:05:34.000 --> 00:05:37.000]  但是你就可以發現到
[00:05:37.000 --> 00:05:42.000]  在這個時期,大概是主前的五百多年
[00:05:42.000 --> 00:05:46.000]  神都已經透過先知
[00:05:46.000 --> 00:05:49.000]  好像有些類似神密教材
[00:05:49.000 --> 00:05:52.000]  有些好像是叫他們有些幻想
[00:05:52.000 --> 00:05:54.000]  這樣來告訴他們
[00:05:54.000 --> 00:05:56.000]  其中一個只是一個重點
[00:05:56.000 --> 00:05:59.000]  就是耶路撒冷要有敬拜
[00:05:59.000 --> 00:06:01.000]  其實就是這麼多的
[00:06:01.000 --> 00:06:04.000]  有了敬拜之後,就是第八章鋪路
[00:06:04.000 --> 00:06:06.000]  第八到十四章
[00:06:06.000 --> 00:06:11.000]  就是講到猶太這個群體日後的光景
[00:06:11.000 --> 00:06:16.000]  所以很快到第九章就預言尼塞亞降臨
[00:06:16.000 --> 00:06:21.000]  所以這本書其實就是尼塞亞的一個先知書
[00:06:21.000 --> 00:06:24.000]  譬如九章,大家可能比較熟的
[00:06:24.000 --> 00:06:27.000]  有時有些目者都會引述的
[00:06:27.000 --> 00:06:31.000]  九章第九節
[00:06:31.000 --> 00:06:33.000]  其實福音書有引述
[00:06:33.000 --> 00:06:37.000]  「錫安的民應當大大喜樂
[00:06:37.000 --> 00:06:40.000]  耶路撒冷的民應當歡呼
[00:06:40.000 --> 00:06:43.000]  看!你的王來到你這裡
[00:06:43.000 --> 00:06:47.000]  他是公義的,並且私行請救
[00:06:47.000 --> 00:06:49.000]  謙謙和和的騎著驢
[00:06:49.000 --> 00:06:52.000]  就是騎著驢的驅使」
[00:06:52.000 --> 00:06:54.000]  哪裏出現過?
[00:06:54.000 --> 00:06:57.000]  騎驢進城嘛,耶穌
[00:06:57.000 --> 00:06:59.000]  就是直接引述這段經文
[00:06:59.000 --> 00:07:01.000]  他就是那位尼塞亞
[00:07:01.000 --> 00:07:03.000]  所以你可以想像得到
[00:07:03.000 --> 00:07:07.000]  一到第七章是有八個的儀仗
[00:07:07.000 --> 00:07:10.000]  在撒加利亞書第八章開始
[00:07:10.000 --> 00:07:15.000]  就講到這個國度耶路撒冷聖殿
[00:07:15.000 --> 00:07:17.000]  將來是會怎樣的呢?
[00:07:17.000 --> 00:07:20.000]  某程度上第八到第十四章
[00:07:20.000 --> 00:07:22.000]  就是一個預言將來
[00:07:22.000 --> 00:07:25.000]  這個民族這個國家的光景
[00:07:25.000 --> 00:07:27.000]  當然是一個亮麗的光景
[00:07:27.000 --> 00:07:30.000]  又牽涉到和列國的關係
[00:07:30.000 --> 00:07:34.000]  所以先知有時都超越了地域
[00:07:34.000 --> 00:07:37.000]  不只是局限於耶路撒冷
[00:07:37.000 --> 00:07:41.000]  外面的國家的興衰
[00:07:41.000 --> 00:07:43.000]  都和他有關
[00:07:43.000 --> 00:07:45.000]  所謂和他有關
[00:07:45.000 --> 00:07:47.000]  是和耶路撒冷有關
[00:07:47.000 --> 00:07:49.000]  和神的選民有關
[00:07:49.000 --> 00:07:53.000]  所以又會有這樣的啟示
[00:07:53.000 --> 00:07:55.000]  大概有這個框
[00:07:55.000 --> 00:07:58.000]  所以有些解經家都說
[00:07:58.000 --> 00:08:00.000]  可能是兩個撒加利亞
[00:08:00.000 --> 00:08:03.000]  一到第七章這樣的體裁
[00:08:03.000 --> 00:08:06.000]  第八到十四章又是另外一種的體裁
[00:08:06.000 --> 00:08:08.000]  會不會是兩個作者呢?
[00:08:08.000 --> 00:08:11.000]  這些就超越了我們大家
[00:08:11.000 --> 00:08:14.000]  這個階段的能力
[00:08:14.000 --> 00:08:18.000]  比較複雜的討論
[00:08:18.000 --> 00:08:21.000]  但無論如何在舊約的聖經
[00:08:21.000 --> 00:08:23.000]  撒加利亞書是一卷書
[00:08:23.000 --> 00:08:25.000]  不是兩卷的
[00:08:25.000 --> 00:08:27.000]  我們都以往說過
[00:08:27.000 --> 00:08:31.000]  先知書沒有分所謂大先知、小先知
[00:08:31.000 --> 00:08:33.000]  大小先知其實是後人
[00:08:33.000 --> 00:08:38.000]  特別是七十事易本的分段
[00:08:38.000 --> 00:08:41.000]  將比較大的篇章
[00:08:41.000 --> 00:08:44.000]  譬如以賽亞書是66章
[00:08:44.000 --> 00:08:47.000]  就叫所謂大先知
[00:08:47.000 --> 00:08:53.000]  其實在猶太人他們的傳統
[00:08:53.000 --> 00:08:55.000]  其實就沒有大小之分
[00:08:55.000 --> 00:08:58.000]  只有一個分法
[00:08:58.000 --> 00:09:03.000]  就是前先知書和後先知書這樣分
[00:09:03.000 --> 00:09:06.000]  所以我們要有些印象
[00:09:06.000 --> 00:09:08.000]  所以後人
[00:09:08.000 --> 00:09:12.000]  我忘記了是否再後一點的人
[00:09:12.000 --> 00:09:14.000]  就會這樣理解
[00:09:14.000 --> 00:09:16.000]  所以我們中文翻譯的和合本
[00:09:16.000 --> 00:09:19.000]  很明顯就是大先知、小先知
[00:09:19.000 --> 00:09:23.000]  所以十二小先知的書卷
[00:09:23.000 --> 00:09:26.000]  其實就不是這樣分
[00:09:26.000 --> 00:09:29.000]  給大家有一個這樣的印象
[00:09:29.000 --> 00:09:32.000]  我們可以進入經文的世界
[00:09:32.000 --> 00:09:34.000]  記得當時是波斯帝國
[00:09:34.000 --> 00:09:39.000]  古列王准許天下各國的人
[00:09:39.000 --> 00:09:50.000]  因為他們吸納了巴比倫和亞述的高壓政策
[00:09:50.000 --> 00:09:52.000]  不得到民心
[00:09:52.000 --> 00:09:58.000]  所以當波斯帝國打敗列強之後
[00:09:58.000 --> 00:10:01.000]  他就採取懷柔政策
[00:10:01.000 --> 00:10:08.000]  准許所有被擄、亡國的國家的人
[00:10:08.000 --> 00:10:11.000]  可以回到自己的原居地
[00:10:11.000 --> 00:10:14.000]  來建造你們的神廟
[00:10:14.000 --> 00:10:17.000]  所以猶太耶路撒冷
[00:10:17.000 --> 00:10:19.000]  只不過是其中一個民族
[00:10:19.000 --> 00:10:23.000]  不過當然這個就是神早就預言了
[00:10:23.000 --> 00:10:29.000]  所以原來神都可以使用一個國家的政策
[00:10:29.000 --> 00:10:34.000]  來達成被擄歸回、重建聖殿
[00:10:34.000 --> 00:10:38.000]  七十年的刑罰戒滿
[00:10:38.000 --> 00:10:40.000]  你可以想像到
[00:10:40.000 --> 00:10:45.000]  連古列王在《二次华夏》書的四十五章
[00:10:45.000 --> 00:10:48.000]  是神的僕人
[00:10:48.000 --> 00:10:52.000]  他沒有想過現在他做的政策是要配合神的計劃
[00:10:52.000 --> 00:10:54.000]  他不會讀聖經
[00:10:54.000 --> 00:10:56.000]  他不會知道耶利米的預言
[00:10:56.000 --> 00:11:00.000]  他不會知道達爾利曾經這樣說過
[00:11:00.000 --> 00:11:02.000]  所以你可以想像到
[00:11:02.000 --> 00:11:08.000]  神的作為有時真的超越了地上的國度
[00:11:08.000 --> 00:11:12.000]  這就讓我們有少少立體
[00:11:12.000 --> 00:11:14.000]  對於當時的政治
