
[00:00:00.000 --> 00:00:03.760]  今天講到的這個題目曾經在一兩年前
[00:00:03.760 --> 00:00:07.080]  是一個很流行的問題
[00:00:07.080 --> 00:00:09.080]  一個說話
[00:00:09.080 --> 00:00:11.080]  亦都很真實
[00:00:11.080 --> 00:00:14.680]  在我們的人生之中
[00:00:14.680 --> 00:00:16.680]  特別是基督徒的人生
[00:00:16.680 --> 00:00:23.240]  我相信我們在愛還是責任之間的一個
[00:00:23.240 --> 00:00:26.480]  即是張力也好
[00:00:26.480 --> 00:00:28.480]  一個選擇也好
[00:00:28.480 --> 00:00:32.480]  是會成為我們信徒的人生裏面
[00:00:32.480 --> 00:00:35.480]  常常都會發問的一個問題
[00:00:35.480 --> 00:00:37.640]  所以不只是世界會問的問題
[00:00:37.640 --> 00:00:42.920]  其實我們基督徒更加應該問緊一個問題
[00:00:42.920 --> 00:00:44.600]  當然好像剛才詩歌所唱
[00:00:44.600 --> 00:00:47.320]  或者讀經或者是禱告當中
[00:00:47.320 --> 00:00:50.560]  我們都可能你問一個這樣的問題的時候
[00:00:50.560 --> 00:00:51.360]  你都不用想
[00:00:51.360 --> 00:00:52.360]  當然是愛
[00:00:52.360 --> 00:00:54.360]  即是基督徒裏面
[00:00:54.360 --> 00:00:56.360]  神善愛我們
[00:00:56.360 --> 00:00:58.160]  神愛我們
[00:00:58.160 --> 00:00:59.720]  我們先愛我們
[00:00:59.720 --> 00:01:00.880]  我們才懂得去愛
[00:01:00.880 --> 00:01:06.440]  這都是我們能夠琅琅上口的明白的道理
[00:01:06.440 --> 00:01:09.720]  但在我們實際的生活之中
[00:01:09.720 --> 00:01:13.440]  或者在我們自己內心裏面的時候
[00:01:13.440 --> 00:01:16.240]  其實是一回怎樣的事呢
[00:01:16.240 --> 00:01:19.240]  想想其實就是
[00:01:19.240 --> 00:01:20.640]  當我們講愛的時候
[00:01:20.640 --> 00:01:23.920]  其實首先不是要否定責任
[00:01:23.920 --> 00:01:25.440]  但是倒過來的時候
[00:01:25.440 --> 00:01:27.640]  如果我們的人生之中
[00:01:27.640 --> 00:01:29.240]  只有責任就很有問題了
[00:01:29.240 --> 00:01:32.240]  如果你想像
[00:01:32.240 --> 00:01:33.360]  夫婦之間
[00:01:33.360 --> 00:01:35.360]  或者是你和兒女之間
[00:01:35.360 --> 00:01:37.640]  或者是在其他的人際關係當中
[00:01:37.640 --> 00:01:39.320]  你只有一個責任的時候
[00:01:39.320 --> 00:01:41.920]  其實你可能就只剩下一份工作
[00:01:41.920 --> 00:01:46.080]  一份要去完成的任務
[00:01:46.080 --> 00:01:46.600]  是吧
[00:01:46.600 --> 00:01:48.360]  你要頂住
[00:01:48.360 --> 00:01:51.880]  不可以做錯的一些事情
[00:01:51.880 --> 00:01:55.120]  最近我也去做一個身體檢查
[00:01:55.120 --> 00:01:56.960]  見醫生
[00:01:56.960 --> 00:01:58.320]  後來做完之後
[00:01:58.320 --> 00:02:00.160]  醫生就對著
[00:02:00.160 --> 00:02:02.240]  就是說那個報告
[00:02:02.240 --> 00:02:04.640]  說你的數字都OK
[00:02:04.640 --> 00:02:05.920]  可能他看到我的樣子
[00:02:05.920 --> 00:02:06.680]  當他這樣說的時候
[00:02:06.680 --> 00:02:08.640]  好像有一點點戚戚然
[00:02:08.640 --> 00:02:10.520]  以為可以很放肆地去
[00:02:10.520 --> 00:02:11.960]  說我可以狂吃
[00:02:11.960 --> 00:02:13.080]  可以做其他事情
[00:02:13.080 --> 00:02:14.160]  接著他就補充一句
[00:02:14.160 --> 00:02:15.520]  也令我很深刻
[00:02:15.520 --> 00:02:18.040]  他說只是現在沒事
[00:02:18.040 --> 00:02:19.920]  只是現在沒有問題
