
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹,新年快樂
[00:00:03.000 --> 00:00:05.400]  在一個不容易的時間裏面
[00:00:05.400 --> 00:00:08.200]  我們感謝神給我們繼續思考這個問題
[00:00:08.200 --> 00:00:10.200]  雖然我們不知道未來的時候
[00:00:10.200 --> 00:00:12.200]  整個疫情是如何
[00:00:12.200 --> 00:00:14.200]  但我們今年都很清楚
[00:00:14.200 --> 00:00:16.200]  我們很想告訴大家
[00:00:16.200 --> 00:00:18.200]  我們生命裏面需要更生
[00:00:18.200 --> 00:00:21.200]  我們無論任何環境都需要繼續傳福音
[00:00:21.200 --> 00:00:23.200]  但當你的生命未更生的時候
[00:00:23.200 --> 00:00:27.200]  其實我們很難將一個正確的福音傳給其他人
[00:00:27.200 --> 00:00:30.200]  就正如今天在這段經文當中的時候
[00:00:30.200 --> 00:00:32.200]  當一不小心的話
[00:00:32.200 --> 00:00:34.200]  我們就會陷入一些困難裏面
[00:00:34.200 --> 00:00:36.200]  今天這段經文裏面
[00:00:36.200 --> 00:00:40.200]  其實是要處理我們信仰當中一個核心的問題
[00:00:40.200 --> 00:00:45.200]  我們是因信稱義而不是靠行律法稱義
[00:00:45.200 --> 00:00:49.200]  而這也是當時加拿大教會所面對的問題
[00:00:49.200 --> 00:00:52.200]  因為當時他們最關注的其中一樣東西
[00:00:52.200 --> 00:00:55.200]  就是他們一些猶太的信徒
[00:00:55.200 --> 00:00:57.200]  要求外邦的信徒行割禮
[00:00:57.200 --> 00:00:59.200]  這樣才可以稱義
[00:00:59.200 --> 00:01:03.200]  所以當時是處理一個這麼嚴峻的問題
[00:01:03.200 --> 00:01:05.200]  其實在這裏的時候
[00:01:05.200 --> 00:01:08.200]  保羅提出了一個非常尷尬的例子
[00:01:08.200 --> 00:01:10.200]  去說明了這件事
[00:01:10.200 --> 00:01:12.200]  就是當信徒一不小心的時候
[00:01:12.200 --> 00:01:16.200]  就會陷入要以律法稱義的困境裏面
[00:01:16.200 --> 00:01:19.200]  彼得當時去到安提柯
[00:01:19.200 --> 00:01:23.200]  本來是要去關心這些外邦的信徒
[00:01:23.200 --> 00:01:26.200]  本來是一件非常感恩的事
[00:01:26.200 --> 00:01:31.200]  但卻是因為害怕猶太信徒的看法
[00:01:31.200 --> 00:01:38.200]  所以就避開了和外邦信徒的這些相交
