
[00:00:00.000 --> 00:00:02.000]  各位大兄姐妹,早安
[00:00:02.000 --> 00:00:07.520]  有哪一位今天是因為你的小朋友而來五堂崇拜的?
[00:00:07.520 --> 00:00:11.320]  有沒有一些可以舉手,我們彼此在主裡面問安
[00:00:11.320 --> 00:00:15.320]  有沒有一些家長?都有,感謝主
[00:00:15.320 --> 00:00:18.920]  因為今天我們在感恩節的崇拜
[00:00:18.920 --> 00:00:23.120]  稍後我們安排了兒校的小朋友
[00:00:23.120 --> 00:00:27.320]  他們早幾個星期已經安排了一個工作
[00:00:27.320 --> 00:00:30.720]  就是他們要畫一些畫送給孫教士
[00:00:30.720 --> 00:00:36.120]  所以稍後他們就好像呈獻到禮堂的桌子上
[00:00:36.120 --> 00:00:39.720]  來代表教會,我們每一個弟兄姐妹
[00:00:39.720 --> 00:00:41.720]  他們去呈獻這些畫
[00:00:41.720 --> 00:00:45.320]  希望讓孫教士感到窩心
[00:00:45.320 --> 00:00:48.720]  感到在遠方有人去紀念
[00:00:48.720 --> 00:00:50.520]  稍後會有這個環節
[00:00:50.520 --> 00:00:54.720]  所以今天有很多家長會來這裡聚會等等
[00:00:54.720 --> 00:00:57.320]  我們就簡單祈禱
[00:00:57.320 --> 00:00:59.120]  再一次感謝主
[00:00:59.120 --> 00:01:00.920]  我們打開聖經
[00:01:00.920 --> 00:01:04.320]  一篇真是繪隻人口的詩篇
[00:01:04.320 --> 00:01:07.920]  是已經影響著無數世代的人
[00:01:07.920 --> 00:01:10.320]  對自己的存在
[00:01:10.320 --> 00:01:14.120]  對自己所擁有的來源
[00:01:14.120 --> 00:01:18.320]  以及自己能夠成為何等的人
[00:01:18.320 --> 00:01:20.920]  一份衷心的明白
[00:01:20.920 --> 00:01:24.320]  就是從心底裡面對造物主
[00:01:24.320 --> 00:01:25.920]  你賞賜的
[00:01:25.920 --> 00:01:27.520]  以及所成就的
[00:01:27.520 --> 00:01:29.320]  來去感謝
[00:01:29.320 --> 00:01:32.720]  這是最高人類的情操
[00:01:32.720 --> 00:01:36.920]  不是我們自己靠自己可以做到
[00:01:36.920 --> 00:01:41.120]  多謝主讓我們可以去研讀這段聖經
[00:01:41.120 --> 00:01:43.120]  在感恩節的崇拜
[00:01:43.120 --> 00:01:45.320]  一同去思想感恩
[00:01:45.320 --> 00:01:47.320]  尤其是一個群體
[00:01:47.320 --> 00:01:50.520]  一同去感恩的重要
[00:01:50.520 --> 00:01:52.920]  我們這樣的等候禱告
[00:01:52.920 --> 00:01:55.520]  奉耶穌基督的名
[00:01:55.520 --> 00:01:56.920]  阿們
[00:01:56.920 --> 00:02:01.120]  整篇詩篇可以分為三個重要的段落
[00:02:01.120 --> 00:02:03.520]  一到第五節
[00:02:03.520 --> 00:02:08.120]  大衛的感恩
[00:02:08.120 --> 00:02:14.720]  他如何一開始來呼籲自己的心靈感恩
[00:02:14.720 --> 00:02:15.920]  接著第六節
[00:02:15.920 --> 00:02:19.120]  就延伸到這個群體
[00:02:19.120 --> 00:02:20.720]  以色列
[00:02:20.720 --> 00:02:23.720]  特別提摩西以色列的法則
[00:02:23.720 --> 00:02:25.120]  接著
[00:02:25.120 --> 00:02:27.120]  講神的屬性
[00:02:27.120 --> 00:02:29.120]  這個可以是第二個段落
[00:02:29.120 --> 00:02:30.520]  第三個段落
[00:02:30.520 --> 00:02:34.120]  就是他延展到整個宇宙
[00:02:34.120 --> 00:02:37.520]  對這位造物主的重贊敬拜
[00:02:37.520 --> 00:02:40.720]  所以裡面充滿了一個很整全的
[00:02:40.720 --> 00:02:41.920]  一神
[00:02:41.920 --> 00:02:44.520]  以及創造主的觀念
[00:02:44.520 --> 00:02:47.920]  是這個民族很特別之處
[00:02:47.920 --> 00:02:51.320]  不是其他的民族可以這樣去講的
[00:02:51.320 --> 00:02:53.520]  能夠這麼準確地將
[00:02:53.520 --> 00:02:56.120]  神是怎樣的一位神
[00:02:56.120 --> 00:02:57.720]  以及因為這位神
[00:02:57.720 --> 00:03:01.120]  而對自己對這個群體對這個民族
[00:03:01.120 --> 00:03:03.520]  那個生命的影響改變
[00:03:03.520 --> 00:03:05.120]  所以這一篇詩篇
[00:03:05.120 --> 00:03:07.120]  是相當重要
[00:03:07.120 --> 00:03:09.320]  也是我們每一個人
[00:03:09.320 --> 00:03:11.720]  都應該要不斷的研讀
[00:03:11.720 --> 00:03:13.120]  當然感恩節
[00:03:13.120 --> 00:03:15.320]  選取這一篇是其中一篇
[00:03:15.320 --> 00:03:17.920]  可以有很多其他更加
[00:03:17.920 --> 00:03:20.120]  講到感恩的詩篇
[00:03:20.120 --> 00:03:22.720]  不過今天就用這一篇詩篇
[00:03:22.720 --> 00:03:24.720]  彼此來互相勉勵
[00:03:24.720 --> 00:03:25.920]  第一節就說
[00:03:25.920 --> 00:03:27.320]  我的心靈
[00:03:27.320 --> 00:03:29.920]  不只是外在
[00:03:29.920 --> 00:03:32.920]  大衛也是一個朝聖者
[00:03:32.920 --> 00:03:34.320]  敬拜神
[00:03:34.320 --> 00:03:37.520]  是他的很重要的本項
[00:03:37.520 --> 00:03:40.920]  他也是帶領著他的子民
[00:03:40.920 --> 00:03:43.320]  去敬拜、去聖殿
[00:03:43.320 --> 00:03:44.720]  當然沒有聖殿
[00:03:44.720 --> 00:03:46.320]  他預備很多材料
[00:03:46.320 --> 00:03:48.920]  他的兒子所羅門建造聖殿
[00:03:48.920 --> 00:03:51.320]  但是大衛
[00:03:51.320 --> 00:03:54.320]  是一個很小的時候就已經對頌物主
[00:03:54.320 --> 00:03:55.720]  又敬拜的人
[00:03:55.720 --> 00:03:59.120]  很多的詩篇已經告訴我們了
[00:03:59.120 --> 00:04:00.520]  這個時候
[00:04:00.520 --> 00:04:03.920]  是不是他很晚年的時候寫這篇詩呢?
[00:04:03.920 --> 00:04:07.320]  因為能夠剖析他內心很深的罪
[00:04:07.320 --> 00:04:12.120]  神赦免的那種描述
[00:04:12.120 --> 00:04:15.320]  用距離來說述
[00:04:15.320 --> 00:04:19.720]  心底被徹底赦免的釋放
[00:04:19.720 --> 00:04:22.720]  那種開懷
[00:04:22.720 --> 00:04:24.520]  這樣的描述
[00:04:24.520 --> 00:04:26.320]  一定是有經歷
[00:04:26.320 --> 00:04:30.520]  有神好心赦免的一個人
[00:04:30.520 --> 00:04:33.320]  神如何醫治他
[00:04:33.320 --> 00:04:35.720]  也是可以說得很深層的
[00:04:35.720 --> 00:04:39.720]  但是一開始第一件事我們要思想的就是
[00:04:39.720 --> 00:04:44.520]  從心裡面對神的感恩讚美
[00:04:44.520 --> 00:04:47.320]  不要忘記是那個重點
[00:04:47.320 --> 00:04:48.920]  凡在我裡面
[00:04:48.920 --> 00:04:51.720]  我的心你要稱頌
[00:04:51.720 --> 00:04:52.920]  跟自己說
[00:04:52.920 --> 00:04:55.920]  當然是用詩歌的題材
[00:04:55.920 --> 00:04:58.720]  跟自己說不要忘記
[00:04:58.720 --> 00:05:01.120]  有一個輔導員
[00:05:01.120 --> 00:05:03.120]  基督教的輔導員
[00:05:03.120 --> 00:05:05.920]  他有多深的一個感受
[00:05:05.920 --> 00:05:08.120]  做一些婚前輔導
[00:05:08.120 --> 00:05:12.120]  就叫兩個人說
[00:05:12.120 --> 00:05:15.120]  對方五樣東西你不喜歡的
[00:05:15.120 --> 00:05:17.520]  想了很久都想不到
[00:05:17.520 --> 00:05:20.120]  準備結婚
[00:05:20.120 --> 00:05:23.720]  想來想去都數不夠五樣
[00:05:23.720 --> 00:05:25.720]  過了一段時間
[00:05:25.720 --> 00:05:31.320]  這對夫婦就找回相同的輔導員
[00:05:31.320 --> 00:05:33.320]  就一路數 越數越多
[00:05:33.320 --> 00:05:35.920]  他們對方的不好
[00:05:35.920 --> 00:05:39.720]  沒有忘記
[00:05:39.720 --> 00:05:41.720]  結婚之前
[00:05:41.720 --> 00:05:44.720]  怎麼想都想不到他有什麼不好
[00:05:44.720 --> 00:05:47.520]  說他好的事很多很多
[00:05:47.520 --> 00:05:49.320]  過了沒多久結婚之後
[00:05:49.320 --> 00:05:50.720]  同一個輔導員
[00:05:50.720 --> 00:05:53.120]  同一對的夫婦
[00:05:53.120 --> 00:05:55.920]  但是就很多很多的錯處
