
[00:00:00.000 --> 00:00:02.000]  (主持人) 各位觀眾早安
[00:00:02.000 --> 00:00:05.400]  我經常都會在花雷神的面前崇拜
[00:00:05.400 --> 00:00:07.800]  其實是很重要的
[00:00:07.800 --> 00:00:10.000]  我經常都說我們心裡準備好了沒有
[00:00:10.000 --> 00:00:11.600]  我們準備好了沒有
[00:00:11.600 --> 00:00:13.000]  我今天想和大家…
[00:00:13.000 --> 00:00:14.600]  這是題外話
[00:00:14.600 --> 00:00:16.200]  我今天純粹想和大家說一個
[00:00:16.200 --> 00:00:18.600]  我覺得是有很小的事
[00:00:18.600 --> 00:00:20.400]  但我又覺得很奇妙
[00:00:20.400 --> 00:00:22.000]  而令到我今天說到的時候
[00:00:22.000 --> 00:00:24.000]  我是很放心的
[00:00:24.000 --> 00:00:26.200]  我不知道有多少人…
[00:00:26.200 --> 00:00:28.200]  應該都不少人會知道
[00:00:28.200 --> 00:00:32.800]  就是我們在錦繡堂那邊的教堂的一些結構
[00:00:32.800 --> 00:00:34.000]  前面有大門
[00:00:34.000 --> 00:00:35.000]  歡迎大家進來
[00:00:35.000 --> 00:00:40.200]  大家知不知道在浸池旁邊有道後門
[00:00:40.200 --> 00:00:41.800]  大家知不知道的嗎?不知道吧
[00:00:41.800 --> 00:00:43.200]  這裡有一道後門
[00:00:43.200 --> 00:00:47.200]  後門通往我們的宿舍和停車場
[00:00:47.200 --> 00:00:50.400]  剛才我在過來之前
[00:00:50.400 --> 00:00:52.200]  我在那輛車的後面
[00:00:52.200 --> 00:00:53.200]  因為有些很重的
[00:00:53.200 --> 00:00:55.200]  剛才不是有些單張的
[00:00:55.200 --> 00:00:58.200]  我就兩手拿著這些單張
[00:00:58.200 --> 00:00:59.200]  很重
[00:00:59.200 --> 00:01:02.200]  然後我就一路走一路走一路走
[00:01:02.200 --> 00:01:04.200]  走到那個後門
[00:01:04.200 --> 00:01:05.200]  如果大家知道的話
[00:01:05.200 --> 00:01:07.200]  就知道那個後門有多重
[00:01:07.200 --> 00:01:09.200]  我還在想
[00:01:09.200 --> 00:01:12.200]  我是不是要放下它呢?
[00:01:12.200 --> 00:01:14.200]  然後就去開門
[00:01:14.200 --> 00:01:17.800]  但我走到門的時候
[00:01:17.800 --> 00:01:20.800]  突然間門打開了
[00:01:20.800 --> 00:01:22.200]  然後我心裡突然間
[00:01:22.200 --> 00:01:23.200]  我已經很感謝神
[00:01:23.200 --> 00:01:25.200]  感謝神感謝你
[00:01:25.200 --> 00:01:28.200]  這麼巧有弟兄姊妹走出來
[00:01:28.200 --> 00:01:30.200]  這件事已經是很好的
[00:01:30.200 --> 00:01:31.200]  但我想告訴你
[00:01:31.200 --> 00:01:33.200]  當門一打開的時候
[00:01:33.200 --> 00:01:36.200]  是沒有人的
[00:01:36.200 --> 00:01:41.200]  害不害怕?
[00:01:41.200 --> 00:01:43.200]  變成自動門
[00:01:43.200 --> 00:01:46.200]  還是門開到直了
[00:01:46.200 --> 00:01:50.200]  我是拿著東西直接走進去
[00:01:50.200 --> 00:01:54.200]  我不是在跟大家說鬼故事
[00:01:54.200 --> 00:01:56.200]  是因為今天這麼巧
[00:01:56.200 --> 00:01:57.200]  在禮堂裡面
[00:01:57.200 --> 00:01:58.200]  我們打開前門
[00:01:58.200 --> 00:02:00.200]  那些風對流
[00:02:00.200 --> 00:02:03.200]  在前面的風吹開了門
[00:02:03.200 --> 00:02:05.200]  但我想告訴弟兄姊妹
[00:02:05.200 --> 00:02:06.200]  我今早經歷這件事
[00:02:06.200 --> 00:02:08.200]  我心裡很震撼
[00:02:08.200 --> 00:02:09.200]  我突然間有種感覺
[00:02:09.200 --> 00:02:11.200]  我好像摩西一樣
[00:02:11.200 --> 00:02:12.200]  走到紅海
[00:02:12.200 --> 00:02:13.200]  突然間海水分開
[00:02:13.200 --> 00:02:15.200]  你明白我的意思嗎?
[00:02:15.200 --> 00:02:18.200]  然後他就讓我直接通過
[00:02:18.200 --> 00:02:20.200]  其實我想告訴弟兄姊妹
[00:02:20.200 --> 00:02:22.200]  為什麼我跟大家分享
[00:02:22.200 --> 00:02:24.200]  很多時候在我們生命當中
[00:02:24.200 --> 00:02:28.200]  我們遇見上帝是一些很細微的事
[00:02:28.200 --> 00:02:30.200]  是一些timing
[00:02:30.200 --> 00:02:31.200]  弟兄姊妹請你記住這個字
[00:02:31.200 --> 00:02:33.200]  timing
[00:02:33.200 --> 00:02:35.200]  上帝有時候給你的東西
[00:02:35.200 --> 00:02:36.200]  是這麼巧
[00:02:36.200 --> 00:02:38.200]  你明白我的意思嗎?
[00:02:38.200 --> 00:02:39.200]  後來的時間
[00:02:39.200 --> 00:02:40.200]  其實我就坐在後面
[00:02:40.200 --> 00:02:41.200]  我坐了一會
[00:02:41.200 --> 00:02:42.200]  拿完東西之後坐了一會
[00:02:42.200 --> 00:02:45.200]  門什麼時候會再打開呢?
[00:02:45.200 --> 00:02:46.200]  在我坐了的那十分鐘裡面
[00:02:46.200 --> 00:02:48.200]  門是沒有動過的
[00:02:48.200 --> 00:02:52.200]  所以當我今天跟大家分享的時候
[00:02:52.200 --> 00:02:53.200]  我覺得我很感恩
[00:02:53.200 --> 00:02:55.200]  我覺得這個是上帝告訴我的
[00:02:55.200 --> 00:02:56.200]  你放心
[00:02:56.200 --> 00:02:57.200]  你將你今天要說的話說出去
[00:02:57.200 --> 00:02:59.200]  我與你同在
[00:02:59.200 --> 00:03:01.200]  如果大家弟兄姊妹上次有聽我講的時候
[00:03:01.200 --> 00:03:02.200]  我跟大家說
[00:03:02.200 --> 00:03:04.200]  我們要建立基督的身體
[00:03:04.200 --> 00:03:06.200]  如果弟兄姊妹有回來
[00:03:06.200 --> 00:03:07.200]  我們在神的面前的時候
[00:03:07.200 --> 00:03:10.200]  我們需要一起去建立神的家
[00:03:10.200 --> 00:03:12.200]  我們一起去建立上帝的家
[00:03:12.200 --> 00:03:14.200]  因為這個家是屬於他的
[00:03:14.200 --> 00:03:16.200]  我經常說在我們人生裡面
[00:03:16.200 --> 00:03:20.200]  我們有更高層次的目標
[00:03:20.200 --> 00:03:23.200]  如果你能夠去掌握到的時候
