
[00:00:00.000 --> 00:00:02.520]  各位晚安 我們一起有個祈禱
[00:00:02.520 --> 00:00:06.220]  感恩我們再一次來聚集
[00:00:06.220 --> 00:00:08.360]  去研讀《羅馬書》
[00:00:08.360 --> 00:00:11.160]  我們去到第四章的經文
[00:00:11.160 --> 00:00:14.300]  特別是關乎到阿伯拉罕
[00:00:14.300 --> 00:00:16.520]  在舊約的聖經人物
[00:00:16.520 --> 00:00:19.260]  他是怎樣能夠堅固律法
[00:00:19.260 --> 00:00:24.060]  以及和這個恩信清義有什麼關係
[00:00:24.060 --> 00:00:29.340]  都盼望我們能夠透過保羅他的展述
[00:00:29.340 --> 00:00:32.000]  能夠掌握、能夠認識
[00:00:32.000 --> 00:00:36.380]  以致我們能夠在整個神學的框架
[00:00:36.380 --> 00:00:39.120]  不會有一種錯誤的觀念
[00:00:39.120 --> 00:00:41.120]  舊約就是律法
[00:00:41.120 --> 00:00:43.400]  新約才是恩典
[00:00:43.400 --> 00:00:46.440]  我們很盼望神給我們認識
[00:00:46.440 --> 00:00:50.560]  整個聖經的那個救恩的歷史
[00:00:50.560 --> 00:00:53.600]  以及神的救恩的那個計劃
[00:00:53.600 --> 00:00:55.740]  我們等候在你的面前
[00:00:55.740 --> 00:00:58.980]  我們會處理到相關的舊約的經文
[00:00:58.980 --> 00:01:03.280]  盼望神給我們能夠有一個明白的心去認識
[00:01:03.280 --> 00:01:05.280]  我們這樣感恩禱告
[00:01:05.280 --> 00:01:07.580]  奉耶穌基督的名
[00:01:07.580 --> 00:01:09.180]  阿們
[00:01:09.180 --> 00:01:11.740]  上一個星期我們提過
[00:01:11.740 --> 00:01:14.240]  這個恩信清義
[00:01:14.240 --> 00:01:17.600]  其實只是一至四章的經文
[00:01:17.600 --> 00:01:21.120]  當然哪些人需要清義呢?
[00:01:21.120 --> 00:01:25.360]  就是萬民都欠缺神的榮耀、神的義
[00:01:25.360 --> 00:01:29.720]  所以其實每一個人都必須來信主
[00:01:29.720 --> 00:01:32.720]  藉著耶穌才能得到神的救恩
[00:01:32.720 --> 00:01:38.420]  所以恩信清義是說每一個人都需要去到神的面前
[00:01:38.420 --> 00:01:41.040]  得到這個白白的恩典
[00:01:41.040 --> 00:01:44.000]  但是在整個的羅馬書
[00:01:44.000 --> 00:01:46.480]  反而有一個很重要的主題
[00:01:46.480 --> 00:01:49.360]  既然萬民都需要救恩
[00:01:49.360 --> 00:01:51.880]  萬民都需要恩信清義
[00:01:51.880 --> 00:01:55.200]  以及不再在保羅的神學裏面
[00:01:55.200 --> 00:01:58.500]  其實在這個救恩底下
[00:01:58.500 --> 00:02:00.640]  根本就沒有分猶太人
[00:02:00.640 --> 00:02:04.480]  或者是希臘人、外邦人
[00:02:04.480 --> 00:02:08.520]  那個不同的等級
[00:02:08.520 --> 00:02:11.520]  不同的階級、不同的民族
[00:02:11.520 --> 00:02:14.560]  所以在救恩底下
[00:02:14.560 --> 00:02:16.560]  萬民都是平等的
[00:02:16.560 --> 00:02:19.160]  所以信了耶穌
[00:02:19.160 --> 00:02:21.840]  這個就是往後我們就見到
[00:02:21.840 --> 00:02:24.760]  一方面我們需要向萬民宣教
[00:02:24.760 --> 00:02:28.560]  但是更加重要的就是教會必須合一
[00:02:28.560 --> 00:02:30.360]  不要管是甚麼民族
[00:02:30.360 --> 00:02:32.360]  不要管是甚麼不同的意見
[00:02:32.360 --> 00:02:34.860]  都需要在那個救恩底下
[00:02:34.860 --> 00:02:38.800]  來去謀求那個一切的同心
[00:02:38.800 --> 00:02:43.880]  重點仍然是要希望神的福音去到地極
[00:02:43.880 --> 00:02:47.320]  所以羅馬書就是這個大的主題
[00:02:47.320 --> 00:02:52.120]  反而就不是恩信清義是一個大的主題
[00:02:52.120 --> 00:02:56.400]  當然每一個在教會裏面的人都是恩信清義
[00:02:56.400 --> 00:03:00.840]  不然根本就不可能在神的教會裏面
[00:03:00.840 --> 00:03:03.040]  能夠有新的生命
[00:03:03.040 --> 00:03:06.400]  大家彼此的相愛、彼此的同心去服侍
[00:03:06.400 --> 00:03:10.360]  所以我們第三章稍為有些總結
[00:03:10.360 --> 00:03:13.680]  就是在這個恩信清義底下
[00:03:13.680 --> 00:03:18.760]  就是說神的義在律法以外來彰顯出來
[00:03:18.760 --> 00:03:22.680]  就是恩信耶穌基督是白白的清義
[00:03:22.680 --> 00:03:28.600]  所以是必須讓人看到不是自己的功勞
