
[00:00:00.000 --> 00:00:03.000]  多謝永文跟我們分享
[00:00:03.000 --> 00:00:05.000]  他剛才一開聲唱那一下
[00:00:05.000 --> 00:00:07.000]  其實我想站起來拍手掌
[00:00:07.000 --> 00:00:09.000]  看他樣子有點像毛啟賢
[00:00:09.000 --> 00:00:11.000]  聲音比毛啟賢還要好
[00:00:11.000 --> 00:00:13.000]  可能有些人不知道誰是毛啟賢
[00:00:13.000 --> 00:00:16.000]  我也是那個年代的
[00:00:16.000 --> 00:00:21.000]  其實永文現在有些事業
[00:00:21.000 --> 00:00:24.000]  在上帝的國裏他也幫助他侍奉
[00:00:24.000 --> 00:00:26.000]  其實作為一個男士
[00:00:26.000 --> 00:00:31.000]  我會覺得很難將自己過去一些很醜的事說出來
[00:00:31.000 --> 00:00:34.000]  所謂家醜不出外傳
[00:00:34.000 --> 00:00:37.000]  被人剃出校 偷錢包
[00:00:37.000 --> 00:00:39.000]  弄到他家裏這樣
[00:00:39.000 --> 00:00:41.000]  被人以為他是神經病
[00:00:41.000 --> 00:00:44.000]  晚上在街上好像遊魂野鬼一樣
[00:00:44.000 --> 00:00:46.000]  為甚麼他會說出來呢
[00:00:46.000 --> 00:00:49.000]  為甚麼他會告訴大家呢
[00:00:49.000 --> 00:00:51.000]  一會兒告訴大家為甚麼
[00:00:51.000 --> 00:00:54.000]  我們去看一段經文的記載
[00:00:54.000 --> 00:00:57.000]  經文記載在馬可福音五章一至二十節
[00:00:57.000 --> 00:01:02.000]  他們到了海的對岸到格拉森人的地區
[00:01:02.000 --> 00:01:05.000]  耶穌一下船就有一個污淩附身的人
[00:01:05.000 --> 00:01:08.000]  從墳墓迎著他走來
[00:01:08.000 --> 00:01:12.000]  聖經裏面說到耶穌和那些門徒坐船去一個地方
[00:01:12.000 --> 00:01:14.000]  那個地方叫甚麼名字
[00:01:14.000 --> 00:01:16.000]  格拉森 沒錯了
[00:01:16.000 --> 00:01:17.000]  有聽說
[00:01:17.000 --> 00:01:19.000]  遇見一個污淩附身的人
[00:01:19.000 --> 00:01:21.000]  甚麼是污淩附身呢
[00:01:21.000 --> 00:01:24.000]  其實我們俗稱鬼附身
[00:01:24.000 --> 00:01:27.000]  那個人原來被鬼附身
[00:01:27.000 --> 00:01:29.000]  鬼附身控制住他
[00:01:29.000 --> 00:01:31.000]  令他的行為不受自己控制
[00:01:31.000 --> 00:01:33.000]  鬼附身的人有甚麼特徵
[00:01:33.000 --> 00:01:35.000]  第三節的那人這樣說
[00:01:35.000 --> 00:01:37.000]  那人常住在墳墓裏
[00:01:37.000 --> 00:01:39.000]  沒有人能捆住他
[00:01:39.000 --> 00:01:41.000]  就使用鐵鏈也不能
[00:01:41.000 --> 00:01:44.000]  因為人類似用腳鐐和鐵鏈捆鎖他
[00:01:44.000 --> 00:01:46.000]  鐵鏈也被他掙斷
