
[00:00:00.000 --> 00:00:06.000]  今日我們讀出的經文是馬太福音第25章14至30節
[00:00:06.000 --> 00:00:08.000]  請跟我讀
[00:00:08.000 --> 00:00:11.000]  我讀雙節會中讀單節
[00:00:11.000 --> 00:00:16.000]  天國又好比一個人要出外遠行
[00:00:16.000 --> 00:00:21.000]  就叫了僕人來把他們的家業交給他們
[00:00:21.000 --> 00:00:35.000]  (漫畫中)
[00:00:35.000 --> 00:00:53.000]  那令五千的立克那去做買賣,另外賺了五千。
[00:00:53.000 --> 00:01:07.000]  (漫畫中)
[00:01:07.000 --> 00:01:11.000]  那令五千的又帶著另外的五千來說:
[00:01:11.000 --> 00:01:18.000]  主呀,你給我五千,請看我又賺了五千。
[00:01:18.000 --> 00:01:34.000]  主人說:好,你這又善良又忠心的僕人,你再小許的事上忠心,我要派你管理許多的事,盡來享受你主人的快樂吧。
[00:01:34.000 --> 00:01:42.000]  那令二千的也進前來說:主呀,你交給我二千,請看我又賺了二千。
[00:01:42.000 --> 00:01:57.000]  主人說:好,你這又善良又忠心的僕人,你再小許的事上忠心,我要派你管理許多的事,盡來享受你主人的快樂吧。
[00:01:57.000 --> 00:02:10.000]  那令一千的也進前來說:主呀,我知道你是個嚴厲的人,沒有種的地方也要收割,沒有播的地方也要收穫。
[00:02:10.000 --> 00:02:20.000]  主人說:我就害怕,去把你的一千銀子埋在地裡,請看你的銀子在這裡。
[00:02:20.000 --> 00:02:33.000]  那令二千的主人回答他說:你這又護又冷的僕人,你既知道我沒有種的地方也要收割,沒有播的地方也要收穫。
[00:02:33.000 --> 00:02:43.000]  主人說:就該把我的銀子放給兌換銀錢的人,到我來的時候,可以連本帶利收回。
[00:02:43.000 --> 00:02:49.000]  那令二千的主人說:把他這一千奪過來,給那有一萬的。
[00:02:49.000 --> 00:03:00.000]  主人說:因為凡有的,凡要嫁給他,要他有餘,沒有的,連他所有的也要奪過來。
[00:03:00.000 --> 00:03:03.000]  最後一次,我們一起讀。
[00:03:03.000 --> 00:03:11.000]  把謝沒有用人,丟在外面,黑暗裡,在那裡他要哀哭切此了。
[00:03:11.000 --> 00:03:16.000]  好,今天我們很高興請到我們很熟悉的堂主任,曾牧師,我們有請。
[00:03:16.000 --> 00:03:35.000]  (麥克風亂掉)
[00:03:35.000 --> 00:03:45.000]  各位弟兄姊妹,很開心很少時間能夠在大家當中講道,因為多數我的時間在感受那邊會比較多一點。
