
[00:00:00.000 --> 00:00:03.340]  我們一起同心的祈禱
[00:00:03.340 --> 00:00:05.540]  再一次我們很感謝主
[00:00:05.540 --> 00:00:09.380]  讓我們能夠聚集在神的面前
[00:00:09.380 --> 00:00:12.280]  但願我們能夠心靈裏面
[00:00:12.280 --> 00:00:17.100]  真的對你這一位永恆的主有認識
[00:00:17.100 --> 00:00:20.140]  我們打開這一篇詩篇
[00:00:20.140 --> 00:00:24.000]  我們很盼望神人摩西的禱告
[00:00:24.000 --> 00:00:27.200]  成為我們智慧的心靈
[00:00:27.200 --> 00:00:32.440]  來對人生 特別是強調短暫的人生
[00:00:32.440 --> 00:00:35.520]  能夠有一個醒悟過來
[00:00:35.520 --> 00:00:38.220]  我們仰望感恩禱告
[00:00:38.220 --> 00:00:43.200]  奉耶穌基督的名 阿們
[00:00:43.200 --> 00:00:45.880]  選取這一篇詩篇
[00:00:45.880 --> 00:00:50.620]  相信這一篇詩篇在一些場合
[00:00:50.620 --> 00:00:55.360]  是憤外讓人有一個感悟的
[00:00:55.360 --> 00:00:57.360]  例如安息聚會
[00:00:57.360 --> 00:01:01.260]  就是很常被引用的詩篇
[00:01:01.260 --> 00:01:04.960]  因為真的講到人生的短促
[00:01:04.960 --> 00:01:08.940]  又短又苦的人生
[00:01:08.940 --> 00:01:12.560]  來襯托這一位永恆的主
[00:01:12.560 --> 00:01:17.700]  祂的榮耀 祂的永恆
[00:01:17.700 --> 00:01:22.500]  我們如果對摩西的人生有一個認識
[00:01:22.500 --> 00:01:26.020]  在祂最後的40年
[00:01:26.020 --> 00:01:29.540]  由80歲一直到120歲
[00:01:29.540 --> 00:01:33.860]  120歲祂就來到去安息了
[00:01:33.860 --> 00:01:35.860]  在這40年裏面
[00:01:35.860 --> 00:01:41.460]  祂面對人生有很多祂需要去反思的地方
[00:01:41.460 --> 00:01:47.300]  有很多的事情在祂面前來發生
[00:01:47.300 --> 00:01:51.700]  剛剛看一看文素記的26章
[00:01:51.700 --> 00:01:58.500]  第二次去數點這一班以色列離開了埃及的人
[00:01:58.500 --> 00:01:59.860]  男丁而已
[00:01:59.860 --> 00:02:01.860]  不計那些婦女
[00:02:01.860 --> 00:02:03.860]  不計那些小朋友
[00:02:03.860 --> 00:02:07.780]  離開埃及40年之後
[00:02:07.780 --> 00:02:12.820]  是60萬1730人
[00:02:12.820 --> 00:02:14.820]  但是這60萬人
[00:02:14.820 --> 00:02:16.820]  如果是一個整數
[00:02:16.820 --> 00:02:19.860]  全部不是在埃及出生的
[00:02:19.860 --> 00:02:23.460]  是離開了埃及之後的人
[00:02:23.460 --> 00:02:26.580]  即是說離開埃及的那班人
[00:02:26.580 --> 00:02:28.340]  跟隨摩西的
[00:02:28.340 --> 00:02:32.580]  全部都來到去死了
[00:02:32.580 --> 00:02:37.300]  當然有一個就是加納約書亞
[00:02:37.300 --> 00:02:40.100]  他們仍然在這裏
[00:02:40.100 --> 00:02:41.700]  跟隨摩西
[00:02:41.700 --> 00:02:44.500]  他們離開了埃及
[00:02:44.500 --> 00:02:47.380]  就進入加南地
[00:02:47.380 --> 00:02:50.580]  你就可以想像到40年
[00:02:50.580 --> 00:02:52.580]  對摩西來說
[00:02:52.580 --> 00:02:56.900]  其中一個很大的工作
[00:02:56.900 --> 00:02:58.420]  祂的人生
[00:02:58.420 --> 00:03:00.420]  就是帶領這個民族
[00:03:00.420 --> 00:03:01.860]  但是
[00:03:01.860 --> 00:03:06.580]  哲理行間讓我們感覺到一件很嚴重的事
[00:03:06.580 --> 00:03:08.580]  就是摩西
[00:03:08.580 --> 00:03:11.940]  成為了一個很重要的禮儀師
[00:03:11.940 --> 00:03:13.940]  很多時候
