
[00:00:00.000 --> 00:00:02.800]  大兄姊妹 早晨
[00:00:02.800 --> 00:00:05.960]  大家看到牧師穿這麼多衣服
[00:00:05.960 --> 00:00:10.080]  就知道這段時間天氣非常寒冷
[00:00:10.080 --> 00:00:14.680]  所以在這裡提醒大兄姊妹
[00:00:14.680 --> 00:00:17.400]  都要關心家中的長者
[00:00:17.400 --> 00:00:21.000]  大家要多穿衣服 保暖
[00:00:21.000 --> 00:00:24.400]  希望我們每個人都有健康的身體
[00:00:24.400 --> 00:00:30.400]  尤其是現在疫情仍然肆虐的時候
[00:00:30.400 --> 00:00:33.680]  我們更加需要去保重我們的身體
[00:00:33.680 --> 00:00:38.440]  讓我們的心靈健康 能夠服侍上帝
[00:00:38.440 --> 00:00:41.480]  今天早上牧師跟大家分享的訊息
[00:00:41.480 --> 00:00:44.760]  就是回應世代的需要
[00:00:44.760 --> 00:00:50.520]  多謝林姑娘剛才讀了這段《馬太福音》的記載
[00:00:50.520 --> 00:00:55.880]  當大家讀《馬太福音》這段經文的時候
[00:00:55.880 --> 00:01:02.600]  其實對耶穌醫治一個盲眼的人
[00:01:02.600 --> 00:01:05.640]  這個故事一定都會熟悉的
[00:01:05.640 --> 00:01:08.120]  不過在《馬太福音》的記載
[00:01:08.120 --> 00:01:13.200]  和《馬可·路加》這兩本書的記載
[00:01:13.200 --> 00:01:15.280]  是有一點不同的
[00:01:15.280 --> 00:01:20.400]  因為《路加》和《馬可》的記載
[00:01:20.400 --> 00:01:27.680]  和《馬太》的記載有兩點的分別
[00:01:27.680 --> 00:01:29.440]  第一個分別是什麼呢?
[00:01:29.440 --> 00:01:31.680]  《馬太福音》的記載就是
[00:01:31.680 --> 00:01:35.520]  耶穌出了耶利哥城
[00:01:35.520 --> 00:01:41.240]  但是《馬可》和《路加》的記載
[00:01:41.240 --> 00:01:46.600]  就是耶穌進入了耶利哥城
[00:01:46.600 --> 00:01:49.880]  這裡是有一點出入
