
[00:00:00.000 --> 00:00:02.000]  各位丁姐妹,早安
[00:00:02.000 --> 00:00:07.000]  我們在疫情期間一起繼續崇拜
[00:00:07.000 --> 00:00:10.000]  我們很感謝敬拜隊
[00:00:10.000 --> 00:00:17.000]  我們一起來從敬拜讚美
[00:00:17.000 --> 00:00:22.000]  到我們感受上帝的偉大
[00:00:22.000 --> 00:00:27.000]  我們在風暴當中經歷他的安靜
[00:00:27.000 --> 00:00:33.000]  剛才讀的經文很奇怪,只有一句
[00:00:33.000 --> 00:00:37.000]  其實這句話是在路加福音中
[00:00:37.000 --> 00:00:46.000]  十字架兩旁,一個強盜問另一個強盜一個很嚴肅的問題
[00:00:46.000 --> 00:00:49.000]  兩個強盜將要面臨死亡的時候
[00:00:49.000 --> 00:00:51.000]  強盜問另一個強盜
[00:00:51.000 --> 00:00:56.000]  我們現在的狀況下,你還不怕神嗎?
[00:00:56.000 --> 00:00:59.000]  今天不單單會說這句經文
[00:00:59.000 --> 00:01:02.000]  今天會有一個主題式的講道
[00:01:02.000 --> 00:01:07.000]  講的是有關敬畏的題目
[00:01:07.000 --> 00:01:10.000]  今天的題目叫做神聖的恐懼
[00:01:10.000 --> 00:01:14.000]  不知道大家知不知道聖經裡面敬畏的字
[00:01:14.000 --> 00:01:16.000]  其實是很簡單的字
[00:01:16.000 --> 00:01:19.000]  就是fear,恐懼或者是懼怕
[00:01:19.000 --> 00:01:28.000]  所以今天我們會來思想有關敬畏,恐懼的課題
[00:01:28.000 --> 00:01:32.000]  為什麼會有這個想法呢?
[00:01:32.000 --> 00:01:40.000]  上個月我和一位很尊敬的淑玲前輩吃飯
[00:01:40.000 --> 00:01:45.000]  吃飯的時候她突然問我一個問題
[00:01:45.000 --> 00:01:48.000]  John,你覺得崇拜什麼?
[00:01:48.000 --> 00:01:51.000]  我突然間就向她問好
[00:01:51.000 --> 00:01:53.000]  崇拜什麼?
[00:01:53.000 --> 00:01:55.000]  你覺得崇拜有什麼意義呢?
[00:01:55.000 --> 00:01:59.000]  通常這樣問,其實不是故意問崇拜什麼
[00:01:59.000 --> 00:02:02.000]  背後有些context,有些background
[00:02:02.000 --> 00:02:05.000]  我就問她,什麼事呢?
[00:02:05.000 --> 00:02:08.000]  你想說什麼呢?
[00:02:08.000 --> 00:02:11.000]  原來她剛剛看了我的Foldchurch
[00:02:11.000 --> 00:02:15.000]  10月份上,我們有一個叫開學崇拜
[00:02:15.000 --> 00:02:16.000]  不知道大家有沒有看到
[00:02:16.000 --> 00:02:19.000]  當晚整個教會都穿上校服回來
[00:02:19.000 --> 00:02:22.000]  穿上校服回來崇拜裡面
[00:02:22.000 --> 00:02:27.000]  我穿著一件收中學的校服,打著領帶上台講道
[00:02:27.000 --> 00:02:32.000]  她就問,你覺得崇拜官是怎麼樣的?
[00:02:32.000 --> 00:02:35.000]  當然問題是她不是覺得有什麼問題
[00:02:35.000 --> 00:02:42.000]  不過她就這樣給了一個很好的淑玲忠告
[00:02:42.000 --> 00:02:45.000]  她說John,你要學習敬畏
[00:02:45.000 --> 00:02:49.000]  只要你敬畏上帝,你怎麼走都不會走錯
[00:02:49.000 --> 00:02:53.000]  我覺得這是一個很受用的提醒
[00:02:53.000 --> 00:02:56.000]  只要你去敬畏上帝
[00:02:56.000 --> 00:02:59.000]  無論你怎麼走都不會走錯
