
[00:00:00.000 --> 00:00:03.400]  路加福音第十三章一至九節
[00:00:03.400 --> 00:00:09.800]  正當那時,有些在場的人把彼拉多使加利利人的血
[00:00:09.800 --> 00:00:14.400]  殘襲在他們祭物中的事,告訴耶穌
[00:00:14.400 --> 00:00:16.800]  耶穌對他們說:
[00:00:16.800 --> 00:00:25.000]  「你們以為這些加利利人比其他的加利利人更有罪,所以受這害嗎?
[00:00:25.000 --> 00:00:28.000]  我告訴你們,不是的!
[00:00:28.000 --> 00:00:32.000]  你們若不悔改,都同樣要滅亡!
[00:00:32.000 --> 00:00:37.400]  從前西羅亞流倒塌,壓死了十八個人,
[00:00:37.400 --> 00:00:44.000]  你們以為那些人比一切住在耶路撒冷的人更有罪嗎?
[00:00:44.000 --> 00:00:46.600]  我告訴你們,不是的!
[00:00:46.600 --> 00:00:50.600]  你們若不悔改,都照樣要滅亡!」
[00:00:50.600 --> 00:00:53.600]  於是,耶穌用比喻說:
[00:00:53.600 --> 00:00:58.600]  「有一個人在葡萄園裡栽了一棵無花果樹,
[00:00:58.600 --> 00:01:04.600]  他們前來在樹上找果子,卻找不著。
[00:01:04.600 --> 00:01:06.600]  就對圓丁說:
[00:01:06.600 --> 00:01:12.600]  「看啊,我這三年來在這棵無花果樹前找果子,
[00:01:12.600 --> 00:01:19.600]  竟找不到,把它砍了白,何必白占土地呢?」
[00:01:19.600 --> 00:01:24.600]  圓丁回答:「主啊,今年且留著,
[00:01:24.600 --> 00:01:29.600]  讓我再樹周圍掘開土,家長肥了,
[00:01:29.600 --> 00:01:35.600]  以後若結果子變白,不如再把它砍了。」
[00:01:35.600 --> 00:01:36.600]  感謝神!
[00:01:36.600 --> 00:01:39.600]  今天有我們本堂的傳道同工,
[00:01:39.600 --> 00:01:42.600]  魯耀雄傳道是當中正道,
[00:01:42.600 --> 00:01:46.600]  講題是「活在神的心意當中」,
[00:01:46.600 --> 00:01:47.600]  恭請魯傳道!
[00:01:47.600 --> 00:01:50.600]  各位感恩專家、弟兄姊妹,平安!
[00:01:51.600 --> 00:01:56.600]  從古老的智慧,
[00:01:56.600 --> 00:02:01.600]  到現代人所提倡的人際關係相處之道,
[00:02:01.600 --> 00:02:03.600]  他都講到一件事,
[00:02:03.600 --> 00:02:04.600]  他說:
[00:02:04.600 --> 00:02:10.600]  「人與人談話時,千萬不要打斷人,
[00:02:10.600 --> 00:02:14.600]  除了打斷人的行為是沒有禮貌之外,
[00:02:14.600 --> 00:02:18.600]  打斷人說話很容易激發衝突,
[00:02:18.600 --> 00:02:20.600]  破壞彼此的關係。」
[00:02:20.600 --> 00:02:24.600]  但這個說法會否有些例外呢?
[00:02:24.600 --> 00:02:26.600]  今天講到的經文,
[00:02:26.600 --> 00:02:29.600]  記載了一個類似的情況,
[00:02:29.600 --> 00:02:32.600]  在耶穌與人談話時,
[00:02:32.600 --> 00:02:35.600]  有人打斷了他,
[00:02:35.600 --> 00:02:38.600]  不過耶穌很有正能量,
[00:02:38.600 --> 00:02:39.600]  他沒有生氣,
[00:02:39.600 --> 00:02:42.600]  只不過因應打斷了的話題,
[00:02:42.600 --> 00:02:45.600]  轉而再講另一個教訓,
[00:02:45.600 --> 00:02:48.600]  還加了一個比喻來配合。
[00:02:48.600 --> 00:02:49.600]  今天我們想透過
