
[00:00:00.000 --> 00:00:04.840]  多謝主讓我們有一個寧靜的晚上
[00:00:04.840 --> 00:00:07.400]  可以一齊去研讀聖經
[00:00:07.400 --> 00:00:10.000]  我們完結了約翰福音
[00:00:10.000 --> 00:00:14.000]  多謝主帶領我們經過了差不多一年的時間
[00:00:14.000 --> 00:00:16.400]  我們都盼望神的話語
[00:00:16.400 --> 00:00:20.400]  特別這一位從高天來到這個世界的耶穌基督
[00:00:20.400 --> 00:00:24.600]  在我們大家的心靈裏面都能夠生根建造
[00:00:24.600 --> 00:00:28.400]  我們能夠有一個十足的信心
[00:00:28.400 --> 00:00:31.200]  這樣來等候神的國度
[00:00:31.200 --> 00:00:33.800]  和在地上我們衷心的服侍
[00:00:33.800 --> 00:00:37.000]  今天晚上我們開一個新的題目
[00:00:37.000 --> 00:00:39.800]  一個相當大的規劃
[00:00:39.800 --> 00:00:42.400]  這個秘魯歸回的歷史
[00:00:42.400 --> 00:00:47.800]  和當時的先知是如何能夠在那個時代
[00:00:47.800 --> 00:00:53.200]  配合神的呼召和默示
[00:00:53.200 --> 00:00:56.200]  來勸勉那個時代的人
[00:00:56.200 --> 00:00:59.600]  雖然已經是相當長
[00:00:59.600 --> 00:01:03.000]  超過了二千多年的日子
[00:01:03.000 --> 00:01:06.400]  有二千五百年以上的歷史
[00:01:06.400 --> 00:01:09.000]  但是都幫助我們能夠透過
[00:01:09.000 --> 00:01:13.800]  既然聖經都擺在一個比較重要的位置
[00:01:13.800 --> 00:01:17.400]  都讓我們新約的信徒後世的
[00:01:17.400 --> 00:01:22.400]  我們都能夠從其中吸取到一些的屬靈的教訓
[00:01:22.400 --> 00:01:26.200]  能夠在我們的現實生活裏面去形容
[00:01:26.200 --> 00:01:29.400]  我們仰望禱告奉耶穌基督的名
[00:01:29.400 --> 00:01:31.000]  阿們
[00:01:31.000 --> 00:01:38.200]  都說一說有感動想開展一個比較大一點的工程
[00:01:38.200 --> 00:01:42.600]  因為相信大家有時候對這麼多卷書
[00:01:42.600 --> 00:01:46.600]  未必能夠有足夠的時間去仔細的研讀
[00:01:46.600 --> 00:01:49.000]  正好因利成便
[00:01:49.000 --> 00:01:53.000]  如果大家願意承諾星期四晚
[00:01:53.000 --> 00:01:55.600]  我們恆常固定的一個聚會
[00:01:55.600 --> 00:02:00.000]  大家就可以透過讀聖經
[00:02:00.000 --> 00:02:02.800]  深入的解釋
[00:02:02.800 --> 00:02:05.600]  和將一些歷史
[00:02:05.600 --> 00:02:08.600]  一些配套相關的經文
[00:02:08.600 --> 00:02:10.800]  來講解的時候
[00:02:10.800 --> 00:02:15.000]  就可以豐富大家對一個時代的認識
[00:02:15.000 --> 00:02:16.200]  我有想過的
[00:02:16.200 --> 00:02:18.400]  因為有頂尖姐妹提議過
[00:02:18.400 --> 00:02:19.600]  譬如傳道書
[00:02:19.600 --> 00:02:23.400]  或者是有我自己提議過想查文素記
[00:02:23.400 --> 00:02:30.000]  但是就好像那個篇幅有時候不夠大
[00:02:30.000 --> 00:02:33.000]  傳道書很快十二章就講完
[00:02:33.000 --> 00:02:37.400]  和他來來去去都是探討在地上
[00:02:37.400 --> 00:02:40.600]  沒有神的人生是會怎樣呢
[00:02:40.600 --> 00:02:46.200]  會時時穿梭在那個有神的世界
[00:02:46.200 --> 00:02:49.400]  特別是所羅門他自己的觀察
[00:02:49.400 --> 00:02:51.600]  地上的生活那些事情
[00:02:51.600 --> 00:02:57.600]  有時候就不是太想講這麼短
[00:02:57.600 --> 00:03:02.000]  還有就是傳道書本身我自己又不算太熟
[00:03:02.000 --> 00:03:03.800]  就是詩歌自慰書
[00:03:03.800 --> 00:03:08.400]  所以我就不如我自己相對比較容易掌握熟一點
[00:03:08.400 --> 00:03:10.000]  就和大家去研讀
[00:03:10.000 --> 00:03:11.600]  這裡需要涉及的
[00:03:11.600 --> 00:03:15.000]  至少在經卷裡面有六卷書的
[00:03:15.000 --> 00:03:27.200]  這個時代大概是橫跨125至150年的時間
[00:03:27.200 --> 00:03:31.200]  由第一次的秘魯到第三次的秘魯
[00:03:31.200 --> 00:03:36.000]  第一次的秘魯就是所羅巴伯這位領袖
[00:03:36.000 --> 00:03:40.200]  帶領著那個的秘魯歸回
[00:03:40.200 --> 00:03:42.200]  當然就是由巴比倫
[00:03:42.200 --> 00:03:44.200]  但是巴比倫已經亡國了
[00:03:44.200 --> 00:03:46.800]  所以是波斯帝國的時候
[00:03:46.800 --> 00:03:49.000]  是波斯王的大帝
[00:03:49.000 --> 00:03:50.400]  這個古烈大帝
[00:03:50.400 --> 00:03:52.400]  那個時候開始計算
[00:03:52.400 --> 00:03:55.800]  大概是主前的535
[00:03:55.800 --> 00:03:58.000]  有些人就說可能是536
[00:03:58.000 --> 00:04:00.800]  這樣來計算的
[00:04:00.800 --> 00:04:06.400]  所以他第一次的秘魯就是主前的606年
[00:04:06.400 --> 00:04:09.600]  那你計算一下536就正好70年
[00:04:09.600 --> 00:04:14.600]  第一次的秘魯歸回就是大概536或535
[00:04:14.600 --> 00:04:18.600]  接著去到第三批的秘魯
[00:04:18.600 --> 00:04:20.600]  其實已經過了超過100年
[00:04:20.600 --> 00:04:23.000]  因為那個時間不是那麼準確
[00:04:23.000 --> 00:04:26.400]  所以就大概100可能120多
[00:04:26.400 --> 00:04:29.400]  就是尼希米第三批
[00:04:29.400 --> 00:04:37.400]  尼希米已經是第三代在巴比倫帝國
[00:04:37.400 --> 00:04:41.400]  當然就是去到波斯帝國
[00:04:41.400 --> 00:04:46.400]  尼希米就是在波斯帝國裏面的一個走證
[00:04:46.400 --> 00:04:53.400]  他們已經是土生土長的當地人
[00:04:53.400 --> 00:04:55.400]  由秘魯之後
