
[00:00:00.000 --> 00:00:03.840]  Hello各位嘉欣樓的大兄姊妹平安
[00:00:03.840 --> 00:00:08.960]  帶來來自南區一小時十五分鐘的車程距離
[00:00:08.960 --> 00:00:13.040]  今天很開心感謝教會邀請
[00:00:13.040 --> 00:00:19.760]  在大家當中分享願我們一起被主的說話去激勵
[00:00:19.760 --> 00:00:22.000]  今天這個講題
[00:00:22.000 --> 00:00:24.800]  天父我信靠你
[00:00:24.800 --> 00:00:33.600]  我抄在IG上有一個小朋友對著天空大叫
[00:00:33.600 --> 00:00:37.200]  It's alright God, it's okay, I trust you
[00:00:37.200 --> 00:00:38.960]  就是這樣來的講題
[00:00:38.960 --> 00:00:43.360]  好吧天父我信靠你
[00:00:43.360 --> 00:00:45.760]  今天想藉著這段經文
[00:00:45.760 --> 00:00:49.200]  想和大家思考祈禱
[00:00:49.200 --> 00:00:56.000]  講道也需要大家的聯想和想像
[00:00:56.000 --> 00:00:57.520]  你要想很多
[00:00:57.520 --> 00:01:01.040]  你會在講道當中
[00:01:01.040 --> 00:01:05.040]  我希望我們可以更深的去發現
[00:01:05.040 --> 00:01:12.880]  我們的禱告一字一句原來都是很重要
[00:01:12.880 --> 00:01:16.400]  重要到會嚇死你的
[00:01:16.400 --> 00:01:21.520]  這個講道也希望大家去發現
[00:01:21.520 --> 00:01:23.920]  我們人生在世
[00:01:23.920 --> 00:01:28.880]  其實我們和神的關係和父神的關係
[00:01:28.880 --> 00:01:31.760]  才是重中之重
[00:01:31.760 --> 00:01:34.000]  其實禱告的內容
[00:01:34.000 --> 00:01:37.600]  有時候當你發現了和神的關係是怎樣的時候
[00:01:37.600 --> 00:01:40.880]  你會發覺那些東西不是很重要
[00:01:40.880 --> 00:01:42.480]  今天和大家思考
[00:01:42.480 --> 00:01:46.160]  藉著禱告去思考和神的關係
[00:01:46.160 --> 00:01:48.480]  有個小熱身
[00:01:48.480 --> 00:01:51.280]  為什麼我說我們禱告的內容
[00:01:51.280 --> 00:01:55.600]  某程度上當你更加認識和父神的關係的時候
