
[00:00:00.000 --> 00:00:03.580]  各位聖誕節平安夜快樂
[00:00:03.580 --> 00:00:08.200]  你也看到有些不是我們教會主裡面的弟兄姊妹
[00:00:08.200 --> 00:00:09.980]  今晚在我們中間
[00:00:09.980 --> 00:00:12.280]  都代表教會歡迎大家
[00:00:12.280 --> 00:00:14.080]  這個是普天同慶
[00:00:14.080 --> 00:00:16.120]  這個是關乎萬民
[00:00:16.120 --> 00:00:17.660]  關乎每一個基督徒
[00:00:17.660 --> 00:00:21.760]  我們都應該來慶賀救主的降生
[00:00:21.760 --> 00:00:25.860]  更重要是等待祂的第二次降臨
[00:00:25.860 --> 00:00:28.920]  請大家一起低頭祈禱
[00:00:28.920 --> 00:00:35.580]  再一次將榮耀、重讚歸給三一真神
[00:00:35.580 --> 00:00:37.880]  我們衷心的盼望
[00:00:37.880 --> 00:00:44.540]  地上真的很快就能夠體現到真正的平安
[00:00:44.540 --> 00:00:47.360]  當時已經有平安
[00:00:47.360 --> 00:00:49.660]  臨到牧羊人
[00:00:49.660 --> 00:00:51.960]  以及在伯利恆裡面
[00:00:51.960 --> 00:00:54.260]  這個很繁雜
[00:00:54.260 --> 00:00:57.340]  因為人口普查
[00:00:57.340 --> 00:00:59.120]  帶來的混亂
[00:00:59.120 --> 00:01:01.680]  帶來的客店沒有地方
[00:01:01.680 --> 00:01:04.240]  帶來很多人心會衝動
[00:01:04.240 --> 00:01:07.580]  因為不知道會有什麼事情
[00:01:07.580 --> 00:01:10.400]  帝國的羅馬政權
[00:01:10.400 --> 00:01:11.680]  會擔心
[00:01:11.680 --> 00:01:13.460]  會來調查
[00:01:13.460 --> 00:01:16.020]  為什麼會有救主降生
[00:01:16.020 --> 00:01:18.320]  我們將我們自己的心靈
[00:01:18.320 --> 00:01:20.640]  都仰望我們的主
[00:01:20.640 --> 00:01:23.200]  我們一起在你面前等候禱告
[00:01:23.200 --> 00:01:25.500]  奉耶穌基督的名
[00:01:25.500 --> 00:01:26.780]  阿們
[00:01:26.780 --> 00:01:28.780]  也有一個發言
[00:01:28.780 --> 00:01:31.100]  剛才坐在這裡一邊進殿
[00:01:31.100 --> 00:01:33.100]  一邊看到頂姐妹
[00:01:33.100 --> 00:01:36.060]  帶著很多小朋友在我們中間
[00:01:36.060 --> 00:01:38.260]  不知道今晚有多少小朋友
[00:01:38.260 --> 00:01:41.060]  請舉手在現場的
[00:01:41.060 --> 00:01:42.300]  有多少小朋友?
[00:01:42.300 --> 00:01:43.640]  很多
[00:01:43.640 --> 00:01:44.820]  很感恩
[00:01:44.820 --> 00:01:47.980]  今天我們的主角
