
[00:00:00.000 --> 00:00:04.000]  陳牧師今日的主題是警醒的人有福了
[00:00:04.000 --> 00:00:09.000]  請聽我先讀出以下講道的經文
[00:00:10.000 --> 00:00:16.000]  記著在《路加福音》第十二章三十五至四十八節
[00:00:16.000 --> 00:00:20.000]  《新約聖經》的第一百一十三頁
[00:00:20.000 --> 00:00:25.000]  《路加福音》的第十二章三十五到四十八節
[00:00:25.000 --> 00:00:30.000]  《新約聖經》的第一百一十三節
[00:00:30.000 --> 00:00:35.000]  十二章三十五節
[00:00:35.000 --> 00:00:39.000]  你們要束緊腰帶,燈也要點著
[00:00:39.000 --> 00:00:44.000]  好像僕人等候自己的主人從婚宴上回來
[00:00:44.000 --> 00:00:48.000]  他來叩門,就立刻給他開門
[00:00:48.000 --> 00:00:53.000]  主人來了,看見僕人警醒,那些僕人就有福了
[00:00:53.000 --> 00:00:58.000]  我實在告訴你們,主人會叫他們坐直
[00:00:58.000 --> 00:01:02.000]  自己束上腰帶,前來侍候他們
[00:01:03.000 --> 00:01:07.000]  他或是半夜來,或是天亮之前來
[00:01:07.000 --> 00:01:11.000]  看見僕人這樣,那些僕人就有福了
[00:01:11.000 --> 00:01:17.000]  你們要知道,一家的主人若知道賊甚麼時候來
[00:01:17.000 --> 00:01:20.000]  就不容賊挖穿房屋
[00:01:20.000 --> 00:01:22.000]  你們也要預備
[00:01:22.000 --> 00:01:27.000]  因為在你們想不到的時候,人子就來了
[00:01:27.000 --> 00:01:32.000]  彼得說:主啊,這比喻是對我們說的
[00:01:32.000 --> 00:01:35.000]  還是對眾人呢?
[00:01:35.000 --> 00:01:37.000]  四十二節
[00:01:37.000 --> 00:01:42.000]  主說:那麼誰是那忠心又精明的管家
[00:01:42.000 --> 00:01:49.000]  主要派他管理自己的家僕,安事定糧分糧給他們的呢?
[00:01:49.000 --> 00:01:55.000]  主人來到,看見僕人這樣做,那僕人就有福了
[00:01:55.000 --> 00:02:01.000]  我實在告訴你們,主人要派他管理所有的財產
[00:02:02.000 --> 00:02:06.000]  如果那僕人心裡說,我的主人會來得遲
[00:02:06.000 --> 00:02:12.000]  就動手打同僕和侍女,並且吃喝醉酒
[00:02:12.000 --> 00:02:16.000]  在想不到的日子,不知道的時候
[00:02:16.000 --> 00:02:20.000]  那僕人的主人要來,重重地懲罰他
[00:02:20.000 --> 00:02:24.000]  令他和不忠心的人同罪
[00:02:25.000 --> 00:02:31.000]  僕人知道主人的意思,卻沒預備,又未順他的意思做
[00:02:31.000 --> 00:02:34.000]  那僕人要多受責打
[00:02:34.000 --> 00:02:40.000]  至於那不知道而做了當受責打的時的,要少受責打
[00:02:40.000 --> 00:02:44.000]  多給誰,就向誰多取
[00:02:44.000 --> 00:02:48.000]  多託誰,就向誰多要
[00:02:48.000 --> 00:02:51.000]  現在恭請陳牧師
[00:02:51.000 --> 00:02:52.000]  恭請姊妹早晨
