
[00:00:00.000 --> 00:00:05.000]  各位兄弟姐妹感恩,在大家堂慶日子很開心
[00:00:05.000 --> 00:00:09.000]  記得上次去奸樓港島的時候看到在不同的民族裡面
[00:00:09.000 --> 00:00:13.000]  一起有不同的地方去敬拜,非常感謝
[00:00:13.000 --> 00:00:17.000]  剛才在列隊的時候和曾牧師和陳牧師說
[00:00:17.000 --> 00:00:20.000]  其實一個堂會有幾個民族一起去敬拜
[00:00:20.000 --> 00:00:23.000]  甚至有些民族有自己敬拜的地方
[00:00:23.000 --> 00:00:27.000]  有很漂亮的廚房等等,其實都是很大的恩典
[00:00:27.000 --> 00:00:32.000]  想起天上的時候我們敬拜都應該有萬民的敬拜
[00:00:32.000 --> 00:00:37.000]  今天用的題目就是我們有永不撇下我們的好墓者
[00:00:37.000 --> 00:00:40.000]  堂慶其實都有很多感恩的可能性
[00:00:40.000 --> 00:00:44.000]  想起神過恩典等等的故事
[00:00:44.000 --> 00:00:47.000]  我想基督徒最大的感恩就是因為我們有耶穌
[00:00:47.000 --> 00:00:50.000]  其他一切都可能會過去
[00:00:50.000 --> 00:00:53.000]  舉例我們曾經可能都年長一點的
[00:00:53.000 --> 00:00:57.000]  包括我曾經都可能英俊貌美過
[00:00:57.000 --> 00:01:00.000]  但現在是否英俊貌美都很難說
[00:01:00.000 --> 00:01:03.000]  我記得有一年剛剛在教書的時候
[00:01:03.000 --> 00:01:07.000]  在一個密室的冷氣房教書
[00:01:07.000 --> 00:01:10.000]  突然有蚊子飛來飛去,我就捉一隻蚊子
[00:01:10.000 --> 00:01:12.000]  捉了兩分鐘都捉不到
[00:01:12.000 --> 00:01:14.000]  同學們就看著我捉蚊子
[00:01:14.000 --> 00:01:16.000]  捉了一會兒就想,可能不是蚊子
[00:01:16.000 --> 00:01:19.000]  原來是飛蚊症
[00:01:19.000 --> 00:01:22.000]  人生有很多故事,有些起伏
[00:01:22.000 --> 00:01:25.000]  香港都面對一個大時代的變化
[00:01:25.000 --> 00:01:28.000]  我們對前面都有些感受,有些憂慮
[00:01:28.000 --> 00:01:31.000]  不如我和旁邊的人說說堂慶裡面的人
[00:01:31.000 --> 00:01:34.000]  提醒他們,有耶穌有彭王,不要怕
[00:01:34.000 --> 00:01:44.000]  在建道我們就說,我們無論憂慮或懼怕
[00:01:44.000 --> 00:01:47.000]  我們要用使命去代替憂慮
[00:01:47.000 --> 00:01:50.000]  不要有太多的過分的憂慮
[00:01:50.000 --> 00:01:54.000]  我自己就職的時候,剛好有登革熱
[00:01:54.000 --> 00:01:58.000]  後有山竹,當然這是一個例子
[00:01:58.000 --> 00:02:02.000]  在山竹裡面,其實建道也有被衝擊
[00:02:02.000 --> 00:02:05.000]  這裡是我們第一棟的雜貨文樓
[00:02:05.000 --> 00:02:09.000]  就被撞毀了,我們有其他等等的衝擊
[00:02:09.000 --> 00:02:12.000]  有棵很大很白的樹都被摘掉了
