
[00:00:00.000 --> 00:00:02.000]  頂尖的早安
[00:00:02.000 --> 00:00:05.440]  今天就預備這篇導
[00:00:05.440 --> 00:00:07.440]  稍後我講導我會短一點
[00:00:07.440 --> 00:00:09.440]  不然時間太長
[00:00:09.440 --> 00:00:13.440]  我今天預備這篇導的時候
[00:00:13.440 --> 00:00:15.440]  我相信大家看這篇導的時候會覺得
[00:00:15.440 --> 00:00:17.440]  咦 今天這麼特別
[00:00:17.440 --> 00:00:19.440]  原因是我想大家都知道
[00:00:19.440 --> 00:00:21.440]  接下來我要做一個手術
[00:00:21.440 --> 00:00:23.440]  其實這個手術裡面
[00:00:23.440 --> 00:00:25.440]  難又不是難
[00:00:25.440 --> 00:00:27.440]  你說有沒有危險
[00:00:27.440 --> 00:00:29.440]  又有危險
[00:00:29.440 --> 00:00:31.440]  所以在這種情況下
[00:00:31.440 --> 00:00:33.440]  當我思考的時候
[00:00:33.440 --> 00:00:35.440]  這篇導是從心裡浮出來的
[00:00:35.440 --> 00:00:37.440]  但當我講這篇導的時候
[00:00:37.440 --> 00:00:39.440]  我想強調
[00:00:39.440 --> 00:00:41.440]  當我看這篇導的時候
[00:00:41.440 --> 00:00:43.440]  坦白說我連保羅的十分之一都沒有
[00:00:43.440 --> 00:00:45.440]  他的勤奮
[00:00:45.440 --> 00:00:47.440]  他的盡力
[00:00:47.440 --> 00:00:49.440]  他的毀身
[00:00:49.440 --> 00:00:51.440]  坦白說我十分之一都沒有
[00:00:51.440 --> 00:00:53.440]  裡面他講的很多
[00:00:53.440 --> 00:00:55.440]  譬如他講他自己
[00:00:55.440 --> 00:00:57.440]  他說他打過了當拍的路
[00:00:57.440 --> 00:00:59.440]  我跑進了
[00:00:59.440 --> 00:01:01.440]  坦白說我不敢去這樣去講
[00:01:01.440 --> 00:01:03.440]  反而我裡面加了很多問號
[00:01:03.440 --> 00:01:05.440]  美好的象
[00:01:05.440 --> 00:01:07.440]  我打過了
[00:01:07.440 --> 00:01:09.440]  當跑的路我跑進了
[00:01:09.440 --> 00:01:11.440]  這個道我守住了
[00:01:11.440 --> 00:01:13.440]  但是
[00:01:13.440 --> 00:01:15.440]  我沒有保羅這一種
[00:01:15.440 --> 00:01:17.440]  這麼
[00:01:17.440 --> 00:01:19.440]  我形容是一種
[00:01:19.440 --> 00:01:21.440]  很強的素人生命
[00:01:21.440 --> 00:01:23.440]  我覺得我不是
[00:01:23.440 --> 00:01:25.440]  但我有和他同一個心情
[00:01:25.440 --> 00:01:27.440]  我都會去想
[00:01:27.440 --> 00:01:29.440]  坦白說如果問我面對手術的時候
[00:01:29.440 --> 00:01:31.440]  我不懼怕
[00:01:31.440 --> 00:01:33.440]  我經常和電影姐妹說
[00:01:33.440 --> 00:01:35.440]  坦白說在裡面如果上帝
[00:01:35.440 --> 00:01:37.440]  這麼恩待手術
[00:01:37.440 --> 00:01:39.440]  如果不成功
[00:01:39.440 --> 00:01:41.440]  他就帶我回天教
[00:01:41.440 --> 00:01:43.440]  對於我來說我一點都不懼怕
[00:01:43.440 --> 00:01:45.440]  但反過來其實我問了一個問題
[00:01:45.440 --> 00:01:47.440]  我作為一個傳導人
[00:01:47.440 --> 00:01:49.440]  我可以留下什麼
[00:01:49.440 --> 00:01:51.440]  我會重新再思考
[00:01:51.440 --> 00:01:53.440]  一個傳導人
[00:01:53.440 --> 00:01:55.440]  一個傳導人原來可以留下的
[00:01:55.440 --> 00:01:57.440]  是一個生命的見證
[00:01:57.440 --> 00:01:59.440]  和保羅在這裡一樣
[00:01:59.440 --> 00:02:01.440]  對電影姐妹的祝福
