
[00:00:00.000 --> 00:00:04.000]  經文是《耶利米書》第一章第十一至第十九節
[00:00:04.000 --> 00:00:06.000]  陳明忠牧師
[00:00:06.000 --> 00:00:12.000]  陳牧師是加拿大愛城宣道會城南堂主任牧師
[00:00:12.000 --> 00:00:15.000]  剛才我約莫跟陳牧師談過
[00:00:15.000 --> 00:00:17.000]  他也是香港人
[00:00:17.000 --> 00:00:19.000]  雖然離開香港一段時間
[00:00:19.000 --> 00:00:22.000]  他也覺得自己還是香港人的心
[00:00:22.000 --> 00:00:24.000]  耶和華的話臨到我
[00:00:24.000 --> 00:00:27.000]  說:耶利米,你看見什麼?
[00:00:27.000 --> 00:00:31.000]  我說:我看見一根杏樹枝
[00:00:31.000 --> 00:00:34.000]  耶和華對我說:你看得不錯
[00:00:34.000 --> 00:00:38.000]  因為我要看守我的華,使它實現
[00:00:38.000 --> 00:00:41.000]  耶和華的話第二次臨到我
[00:00:41.000 --> 00:00:44.000]  說:你看見什麼?
[00:00:44.000 --> 00:00:47.000]  我說:我看見一個水燒開的鍋
[00:00:47.000 --> 00:00:49.000]  從北而傾
[00:00:49.000 --> 00:00:54.000]  耶和華對我說:必有災禍從北方發出
[00:00:54.000 --> 00:00:57.000]  臨到這地所有的居民
[00:00:57.000 --> 00:01:01.000]  看呀,我要召北方列國的萬族
[00:01:01.000 --> 00:01:03.000]  這是耶和華說的
[00:01:03.000 --> 00:01:04.000]  他們要來
[00:01:04.000 --> 00:01:08.000]  國安保助在耶路撒冷的城門口
[00:01:08.000 --> 00:01:10.000]  周圍攻擊城牆
[00:01:10.000 --> 00:01:13.000]  又要攻擊猶大的一切城鎮
[00:01:13.000 --> 00:01:14.000]  第十六節
[00:01:14.000 --> 00:01:17.000]  這民離棄我,向別城燒香
[00:01:17.000 --> 00:01:20.000]  跪拜自己手所做的
[00:01:20.000 --> 00:01:22.000]  我要針對這一切惡行
[00:01:22.000 --> 00:01:25.000]  向他們宣讀我的判決
[00:01:25.000 --> 00:01:27.000]  所以,你當速邀
