
[00:00:00.000 --> 00:00:05.000]  好了,我想我們差不多可以一起簡單有一個祈禱先
[00:00:05.000 --> 00:00:11.000]  再一次多謝天父都給我們能夠可以又順利地過了一個星期
[00:00:11.000 --> 00:00:16.000]  又來到星期四晚,我們可以一起在家中,在教會
[00:00:16.000 --> 00:00:22.000]  來到去聚集,去聆聽一同的查考聖經的話語
[00:00:22.000 --> 00:00:27.000]  我們特別有機會去看秘魯的歸回的時代
[00:00:27.000 --> 00:00:33.000]  先知的預言,很盼望藉著撒加利亞八個的預言
[00:00:33.000 --> 00:00:38.000]  和往後有的經文都給我們對當時的世代
[00:00:38.000 --> 00:00:42.000]  當時的神的默示都有認識
[00:00:42.000 --> 00:00:47.000]  特別我們是在一個回望的時間,我們已經有耶穌的救恩
[00:00:47.000 --> 00:00:54.000]  我們已經是新約後代的人,盼望我們去追述這些歷史的時候
[00:00:54.000 --> 00:01:02.000]  都給我們有啟發,有學習,求主帶領我們奉耶穌基督的名,阿門
[00:01:02.000 --> 00:01:08.000]  再一次多謝各位,也有新朋友加入我們的查經班
[00:01:08.000 --> 00:01:18.000]  因為大家的程度不同,所以我們講到歸回的歷史書和歸回的先知
[00:01:18.000 --> 00:01:27.000]  相當複雜,因為大家能夠看的機會很少,未必很熟
[00:01:27.000 --> 00:01:34.000]  所以大家不要介意不厭其煩,將一些背景都跟大家重溫
[00:01:34.000 --> 00:01:40.000]  我們看看在以斯拉記第四章的經文
[00:01:40.000 --> 00:01:45.000]  這就是第一次他們重建聖殿的時候
[00:01:45.000 --> 00:01:54.000]  慶高采烈,所羅巴伯和大祭司約書亞帶著那些被老歸回的百姓
[00:01:54.000 --> 00:02:00.000]  其實總共只有五萬多人,所以不是多數,其實是很少數
[00:02:00.000 --> 00:02:05.000]  這樣來到上去,其實已經是某程度排除萬難
[00:02:05.000 --> 00:02:13.000]  也是一個新的時代,就是波斯王鼓勵大帝允許所有被老的人
[00:02:13.000 --> 00:02:17.000]  可以回到自己的原居地重建
[00:02:17.000 --> 00:02:25.000]  所以猶太人就會被神的靈激動,領取了這個聖旨
[00:02:25.000 --> 00:02:31.000]  上去耶路撒冷,輾轉在以斯拉記記載了他們上去的
[00:02:31.000 --> 00:02:36.000]  無論是人口、家譜、帶的物資等等
[00:02:36.000 --> 00:02:44.000]  但是今晚我們要看的是撒加利亞書,特別是我們看第三個遺像
[00:02:44.000 --> 00:02:50.000]  就更加要回去看這些歷史,有些背景,大家有一個觸覺
[00:02:50.000 --> 00:02:57.000]  第四章的以斯拉記提到他們開始面對相當大的
[00:02:57.000 --> 00:03:06.000]  那些已經駐紮在耶路撒冷猶太遍地的原居民,即是那些外邦人
[00:03:06.000 --> 00:03:12.000]  就會阻撓你們上來,說這個地是你們自己的,是你們猶太人的
[00:03:12.000 --> 00:03:18.000]  已經不可以了,因為由亞述,由巴比倫已經是亡了國
[00:03:18.000 --> 00:03:22.000]  被露了去外邦,那怎麼會還是你的呢?
[00:03:22.000 --> 00:03:30.000]  所以這就是主權的問題,第四章讀多一點給大家有個印象
[00:03:30.000 --> 00:03:36.000]  第四章第一節,以斯拉記,由大和變眼敏的敵人聽說
[00:03:36.000 --> 00:03:40.000]  被擄歸回的人為耶和華以色列的神建造殿宇
[00:03:40.000 --> 00:03:45.000]  就去見所羅巴伯和以色列的族長,對他們說
[00:03:45.000 --> 00:03:52.000]  請容我們與你們一同建造,因為我們尋求你們的神,與你們一樣
[00:03:52.000 --> 00:03:59.000]  自從亞述王以撒哈頓帶我們上這地以來,我們常常都是祭祀神的
[00:03:59.000 --> 00:04:06.000]  但是所羅巴伯就意識到,這些是外邦人,他們根本那個心都不是歸向神的
[00:04:06.000 --> 00:04:13.000]  只是想保住自己的地圖,利益等等,所以他們只是假意的來奉承
[00:04:13.000 --> 00:04:18.000]  所以他們就,所羅巴伯就很有這個警覺性
[00:04:18.000 --> 00:04:24.000]  但所羅巴伯耶穌就是大祭司,等下我們第三章會看
[00:04:24.000 --> 00:04:31.000]  和其餘的以色列族長對他們說,我們建造神的殿與你們無關
[00:04:31.000 --> 00:04:38.000]  我們自己為耶和華以色列的神協力建造,是照波斯王古列所吩咐
[00:04:38.000 --> 00:04:43.000]  就是那一位古列大帝,第四節
[00:04:43.000 --> 00:04:50.000]  那地的民就在猶大人建造的時候,使他們的手法軟,擾亂他們
[00:04:50.000 --> 00:04:56.000]  可能是危言聳聽,可能是威逼利誘,或者告官
[00:04:56.000 --> 00:05:06.000]  或者在那裏製造輿論等等,令到他們的軍心和民心不能夠合一
[00:05:06.000 --> 00:05:14.000]  第五節就這樣描述,從波斯王古列年間,直到波斯王大利烏登基的時候
[00:05:14.000 --> 00:05:21.000]  大利烏就是允許他們再一次重建,即是說有大概十四至十五年
[00:05:21.000 --> 00:05:27.000]  聖殿就爛了尾,就不能再重建
[00:05:27.000 --> 00:05:33.000]  即是有一些外力令到猶太人,所羅巴伯他們都不能夠重建
[00:05:33.000 --> 00:05:40.000]  甚至乎他們在這個期間,就賄賣一些謀士,即是可能是一些辯護
[00:05:40.000 --> 00:05:49.000]  法庭的一些律師等等,要敗壞他們的謀算,即是告官等等
[00:05:49.000 --> 00:06:01.000]  所以就令到他們不能夠再建造,所以那個工程就停頓了
[00:06:01.000 --> 00:06:08.000]  四章的廿四節,於是耶路撒冷神殿的工程就停止了
[00:06:08.000 --> 00:06:13.000]  一直停到波斯王大利烏的第二年
[00:06:13.000 --> 00:06:17.000]  這個就是那個歷史給大家有一個小小的了解
