
[00:00:00.000 --> 00:00:03.600]  講題是「如果命運能選擇」
[00:00:03.600 --> 00:00:08.000]  經文體記載在《馬太福音》第25章1至13節
[00:00:08.000 --> 00:00:10.000]  請大家聽我讀出
[00:00:10.000 --> 00:00:18.400]  那時天國好比十個童女拿著燈出去迎接新郎
[00:00:18.400 --> 00:00:21.200]  其中有五個是愚絕的
[00:00:21.200 --> 00:00:24.400]  五個是聰明的
[00:00:24.400 --> 00:00:27.800]  愚絕的拿著燈卻沒有油
[00:00:27.800 --> 00:00:32.600]  聰明的拿著燈又滴了油在氣泥裡
[00:00:32.600 --> 00:00:38.400]  新郎遲宴的時候他們都打頓睡著了
[00:00:38.400 --> 00:00:40.000]  半夜有人喊
[00:00:40.000 --> 00:00:44.800]  看!新郎來了!你們出來迎接他!
[00:00:44.800 --> 00:00:49.400]  那些童女就都起來跳亮他們的燈
[00:00:49.400 --> 00:00:51.800]  愚絕的對聰明的說
[00:00:51.800 --> 00:00:54.200]  請分些油給我們
[00:00:54.200 --> 00:00:57.600]  因為我們的燈要滅了
[00:00:57.600 --> 00:00:59.200]  聰明的回答
[00:00:59.200 --> 00:01:01.200]  恐怕不夠你我用
[00:01:01.200 --> 00:01:06.200]  你們還是自己那裡賣油的那裡去買吧
[00:01:06.200 --> 00:01:08.400]  他們去買的時候
[00:01:08.400 --> 00:01:10.000]  新郎到了
[00:01:10.000 --> 00:01:13.800]  那預備好了的就與他進去
[00:01:13.800 --> 00:01:15.600]  共赴婚宴
[00:01:15.600 --> 00:01:18.200]  門就關了
[00:01:18.200 --> 00:01:21.600]  其餘的童女隨後也來了
[00:01:21.600 --> 00:01:25.800]  說:主呀!主呀!給我開門!
[00:01:25.800 --> 00:01:27.400]  他卻回答
[00:01:27.400 --> 00:01:29.600]  我實在告訴你們
[00:01:29.600 --> 00:01:32.600]  我不認識你們
[00:01:32.600 --> 00:01:35.200]  所以你們要警醒
[00:01:35.200 --> 00:01:39.600]  因為那日子那時辰你們不知道
[00:01:39.600 --> 00:01:43.600]  我們請范國光牧師和我們分享訊息吧
[00:01:43.600 --> 00:01:54.000]  各位弟姐妹早晨
[00:01:54.000 --> 00:01:55.200]  我初來報到
[00:01:55.200 --> 00:01:58.200]  代表宣佈香港區聯會和大家打招呼
[00:01:58.200 --> 00:02:02.000]  我來自區聯會
[00:02:02.000 --> 00:02:05.200]  我住得很近大家
[00:02:05.200 --> 00:02:06.800]  今早我打算坐小巴來
[00:02:06.800 --> 00:02:11.600]  我知道加州花園的小巴是不招收外人的
[00:02:11.600 --> 00:02:14.600]  所以我就打算坐78號
[00:02:14.600 --> 00:02:17.600]  怎知等了半個小時都沒有小巴
[00:02:17.600 --> 00:02:18.400]  看Google
[00:02:18.400 --> 00:02:21.400]  Google說這段時間是這樣了
[00:02:21.400 --> 00:02:23.200]  接著去運輸處
[00:02:23.200 --> 00:02:25.200]  即是沒有說話
[00:02:25.200 --> 00:02:27.200]  結果坐的士過來
[00:02:27.200 --> 00:02:32.200]  我相信這段時間大家都不容易
[00:02:32.200 --> 00:02:37.600]  所以今早當我很早起身去錦田排隊
[00:02:37.600 --> 00:02:39.400]  打算投票的時候
[00:02:39.400 --> 00:02:41.600]  見到漫長的人龍
[00:02:41.600 --> 00:02:43.600]  其實我很早就去
[00:02:43.600 --> 00:02:45.600]  我估計到我排完隊
[00:02:45.600 --> 00:02:48.600]  可能這堂課也說完了
[00:02:48.600 --> 00:02:51.000]  不過我仍然鍥而不捨
[00:02:51.000 --> 00:02:53.800]  一會兒我又會再去排隊
[00:02:53.800 --> 00:02:56.200]  如果命運能選擇
[00:02:56.200 --> 00:02:59.000]  我們可以重新選擇
[00:02:59.000 --> 00:03:03.600]  所以今日很多人決定去選擇
[00:03:03.600 --> 00:03:05.400]  想起選擇
[00:03:05.400 --> 00:03:08.200]  想起幾年之前
[00:03:08.200 --> 00:03:11.400]  我遇到其中一件人生大事
[00:03:11.400 --> 00:03:13.200]  你知道我小時候
[00:03:13.200 --> 00:03:14.200]  我有兩個小孩子
[00:03:14.200 --> 00:03:18.400]  一個26歲一個24歲
[00:03:18.400 --> 00:03:19.800]  幾年之前
[00:03:19.800 --> 00:03:23.600]  我女兒DSE放榜
[00:03:23.600 --> 00:03:26.400]  DSE放榜是人生大事
[00:03:26.400 --> 00:03:28.000]  雖然女兒不覺得是人生大事
[00:03:28.000 --> 00:03:31.000]  不過爸爸媽媽一定覺得是人生大事
[00:03:31.000 --> 00:03:35.200]  一早起身就和女兒去放榜
[00:03:35.200 --> 00:03:37.800]  她在一間女校讀書
[00:03:37.800 --> 00:03:41.000]  有少少回書
[00:03:41.000 --> 00:03:43.800]  不用太大聲
[00:03:43.800 --> 00:03:46.000]  我記得一早去到
[00:03:46.000 --> 00:03:50.800]  所有家長和小朋友都在操場
[00:03:50.800 --> 00:03:55.600]  沒多久就宣佈可以拿成績表
[00:03:55.600 --> 00:03:58.000]  小朋友就上禮堂
[00:03:58.000 --> 00:04:00.200]  家長就在禮堂下面
[00:04:00.200 --> 00:04:01.200]  有蓋操場
[00:04:01.200 --> 00:04:03.200]  大家彼此鼓勵
[00:04:03.200 --> 00:04:05.000]  六年的日子
[00:04:05.000 --> 00:04:07.600]  轉眼就放榜了
[00:04:07.600 --> 00:04:09.400]  轉眼就決定這六年
[00:04:09.400 --> 00:04:11.800]  到底走什麼路
[00:04:11.800 --> 00:04:16.400]  我和女兒的幾個朋友的家長
[00:04:16.400 --> 00:04:18.400]  可能在家長會見得多
[00:04:18.400 --> 00:04:20.600]  你自己在家長會很親密
[00:04:20.600 --> 00:04:23.800]  都成為很好的朋友
[00:04:23.800 --> 00:04:25.400]  大家在那裏聊天
[00:04:25.400 --> 00:04:27.000]  雖然大家在那裏聊天很開心
[00:04:27.000 --> 00:04:28.800]  但其實心不在焉
[00:04:28.800 --> 00:04:32.000]  大家的眼都是看著禮堂的大門
[00:04:32.000 --> 00:04:34.600]  等候的時間很漫長
[00:04:34.600 --> 00:04:36.200]  等了很久
[00:04:36.200 --> 00:04:40.600]  其實應該等了六年
[00:04:40.600 --> 00:04:42.600]  等啊等啊
[00:04:42.600 --> 00:04:44.200]  終於大門打開了
[00:04:44.200 --> 00:04:49.200]  小朋友開始逐個下來
[00:04:49.200 --> 00:04:52.200]  有人快樂有人愁
[00:04:52.200 --> 00:04:56.400]  有個小朋友走到他爸爸面前
[00:04:56.400 --> 00:05:01.000]  小朋友一開口就對他爸爸說
[00:05:01.000 --> 00:05:03.400]  「爸爸,我以後會很努力
[00:05:03.400 --> 00:05:07.200]  很認真地讀書」
[00:05:07.200 --> 00:05:09.200]  「我以後會很努力
