
[00:00:00.000 --> 00:00:02.000]  各位大型姊妹平安
[00:00:02.000 --> 00:00:06.000]  很開心可以和大家一起在實體裏敬拜主
[00:00:06.000 --> 00:00:11.000]  很感謝曾牧師和富哥讓我來分享
[00:00:11.000 --> 00:00:13.000]  邀請我來分享整個說話
[00:00:13.000 --> 00:00:16.000]  每一次和富哥聊天的時候都說
[00:00:16.000 --> 00:00:19.000]  在監牢的大型姊妹是做幸福少祖
[00:00:19.000 --> 00:00:21.000]  在裏面做得很好
[00:00:21.000 --> 00:00:23.000]  在當中為大家感謝主
[00:00:23.000 --> 00:00:25.000]  大家加油
[00:00:25.000 --> 00:00:32.000]  今天我也很想和大家分享一個題目
[00:00:32.000 --> 00:00:38.000]  是事司的神隊友
[00:00:38.000 --> 00:00:42.000]  特別是在事司記的時候
[00:00:42.000 --> 00:00:44.000]  神在黑暗的時代
[00:00:44.000 --> 00:00:47.000]  正正興起了不同的事司
[00:00:47.000 --> 00:00:50.000]  或者當中的神隊友
[00:00:50.000 --> 00:00:57.000]  帶來拯救和幫助在罪裏受捆綁的很多以色列人
[00:00:57.000 --> 00:00:59.000]  所以今天特別的訊息裏
[00:00:59.000 --> 00:01:01.000]  我也很想和大型姊妹
[00:01:01.000 --> 00:01:03.000]  不好意思
[00:01:03.000 --> 00:01:05.000]  不好意思
[00:01:05.000 --> 00:01:07.000]  特別是在今天的訊息裏
[00:01:07.000 --> 00:01:12.000]  我很想能夠求神興起更多的
[00:01:12.000 --> 00:01:14.000]  在裏面傳福音
[00:01:14.000 --> 00:01:16.000]  特別是大型姊妹準備做幸福少祖的時候
[00:01:16.000 --> 00:01:18.000]  或者正在做幸福少祖的時候
[00:01:18.000 --> 00:01:20.000]  帶來更多的好處
[00:01:20.000 --> 00:01:22.000]  為家人相信主
[00:01:22.000 --> 00:01:26.000]  我不知道大型姊妹坐在一起的時候
[00:01:26.000 --> 00:01:28.000]  你是否願意有這個心
[00:01:28.000 --> 00:01:31.000]  一起在當中做這個工作
[00:01:31.000 --> 00:01:34.000]  在當中如果大家都認識事司記
[00:01:34.000 --> 00:01:36.000]  看到事司記的時候
[00:01:36.000 --> 00:01:40.000]  你會記得事司記經常被形容
[00:01:40.000 --> 00:01:43.000]  在一個極黑暗的時代
[00:01:43.000 --> 00:01:46.000]  在這個時間裏
[00:01:46.000 --> 00:01:50.000]  每個人都按照自己的心意去做神的事情
[00:01:50.000 --> 00:01:53.000]  所以形容他們怎樣離開神
[00:01:53.000 --> 00:01:56.000]  縱然在一個艱難的日子裏
[00:01:56.000 --> 00:02:02.000]  但你看到神仍然興起了三個很不同性格的神隊友
[00:02:02.000 --> 00:02:07.000]  來帶來整個當時以色列人的拯救
[00:02:07.000 --> 00:02:11.000]  還有在當中幫助他們離開敵人的欺壓
[00:02:11.000 --> 00:02:13.000]  我不知道坐在你旁邊的大型姊妹
[00:02:13.000 --> 00:02:17.000]  是不是神讓你在當中一起做工作的神隊友
[00:02:17.000 --> 00:02:19.000]  如果是的話
[00:02:19.000 --> 00:02:21.000]  家人裏面的可以鼓勵他
[00:02:21.000 --> 00:02:23.000]  可以拍拍他
[00:02:23.000 --> 00:02:28.000]  在事司記第四章第一到第十六節裏
[00:02:28.000 --> 00:02:31.000]  正正描述了這三個
[00:02:31.000 --> 00:02:33.000]  在不同地方
[00:02:33.000 --> 00:02:35.000]  來自不同地方的神隊友
[00:02:35.000 --> 00:02:37.000]  當你看聖經的時候
[00:02:37.000 --> 00:02:41.000]  你會發現在來自南部的時候
[00:02:41.000 --> 00:02:43.000]  有一個人叫做底波拉
[00:02:43.000 --> 00:02:45.000]  這個底波拉是一個事司
[00:02:45.000 --> 00:02:47.000]  他在橡樹下面
[00:02:47.000 --> 00:02:49.000]  去解答一些難題
[00:02:49.000 --> 00:02:51.000]  他雖然是一個婦人
[00:02:51.000 --> 00:02:53.000]  但在他的名字裏面
[00:02:53.000 --> 00:02:55.000]  已經告訴我他是一個拿著火炬
[00:02:55.000 --> 00:02:57.000]  很有信心的一個女性
[00:02:57.000 --> 00:03:02.000]  然後在東面那邊
[00:03:02.000 --> 00:03:05.000]  在左邊有一個婦人叫做瓦益
[00:03:05.000 --> 00:03:08.000]  她雖然是一個外邦平凡的婦人
[00:03:08.000 --> 00:03:10.000]  但神都會用她
[00:03:10.000 --> 00:03:12.000]  在裏面有很大的拯救
[00:03:12.000 --> 00:03:14.000]  同樣在北面裏面
[00:03:14.000 --> 00:03:16.000]  有一個將軍叫做巴拉的將軍
[00:03:16.000 --> 00:03:18.000]  待會你會看到
[00:03:18.000 --> 00:03:20.000]  雖然是一個將軍
[00:03:20.000 --> 00:03:22.000]  但他的信心是非常不夠的
[00:03:22.000 --> 00:03:24.000]  非常沒有能力
[00:03:24.000 --> 00:03:26.000]  很擔心做很多事情
[00:03:26.000 --> 00:03:28.000]  都沒有信心去完成
[00:03:28.000 --> 00:03:30.000]  各位弟兄姊妹
[00:03:30.000 --> 00:03:32.000]  當你看聖經的時候
[00:03:32.000 --> 00:03:34.000]  你會發現到一件事
[00:03:34.000 --> 00:03:36.000]  原來神要興起
