
[00:00:00.000 --> 00:00:07.000]  經文是記載在《馬太福音》第十三章44至46節
[00:00:07.000 --> 00:00:09.000]  請聽我讀出經文
[00:00:09.000 --> 00:00:37.000]  (中文)
[00:00:38.000 --> 00:00:41.000]  今日講題是喜樂之月
[00:00:41.000 --> 00:00:44.000]  我們恭請曾牧師
[00:00:44.000 --> 00:01:12.000]  (中文)
[00:01:12.000 --> 00:01:15.000]  剛才的師哥都不斷告訴我們
[00:01:15.000 --> 00:01:17.000]  你是永活的主
[00:01:17.000 --> 00:01:20.000]  今早我們一起在你面前等候
[00:01:20.000 --> 00:01:25.000]  雖然疫情仍然需要留心
[00:01:25.000 --> 00:01:27.000]  需要小心
[00:01:27.000 --> 00:01:32.000]  人與人之間要有足夠的衛生和隔離
[00:01:32.000 --> 00:01:36.000]  但我們知道主耶穌在聖靈裏面
[00:01:36.000 --> 00:01:37.000]  我們是合一
[00:01:37.000 --> 00:01:42.000]  我們能夠在敬拜裏面遇見主
[00:01:42.000 --> 00:01:48.000]  我們的心靈可以從主耶穌那裏得到一個很大的心靈更新
[00:01:48.000 --> 00:01:51.000]  和靈命的力量
[00:01:51.000 --> 00:01:56.000]  願主帶領我們今早再一次打開聖經
[00:01:56.000 --> 00:02:00.000]  透過這兩個比喻求主向我們開解
[00:02:00.000 --> 00:02:02.000]  讓我們能夠明白
[00:02:02.000 --> 00:02:07.000]  讓我們在生活裏面有一個這樣的決心
[00:02:07.000 --> 00:02:09.000]  去尋找
[00:02:09.000 --> 00:02:10.000]  要去得著
[00:02:10.000 --> 00:02:12.000]  願神帶領我們
[00:02:12.000 --> 00:02:14.000]  一起在你面前禱告
[00:02:14.000 --> 00:02:16.000]  奉耶穌基督的名
[00:02:16.000 --> 00:02:17.000]  阿們
[00:02:17.000 --> 00:02:22.000]  十三章的《馬太福音》有七個比喻
[00:02:22.000 --> 00:02:26.000]  你會看到一對一對的比喻
[00:02:26.000 --> 00:02:29.000]  今早我很想選取
[00:02:29.000 --> 00:02:34.000]  藏寶和尋珍珠的比喻
[00:02:34.000 --> 00:02:36.000]  是一對的
[00:02:36.000 --> 00:02:39.000]  來和大家彼此勉勵
[00:02:39.000 --> 00:02:41.000]  這個比喻
[00:02:41.000 --> 00:02:43.000]  其中一個重點
[00:02:43.000 --> 00:02:45.000]  當然有不同的解經家
[00:02:45.000 --> 00:02:47.000]  有不同的分析
[00:02:47.000 --> 00:02:50.000]  尤其是比較主流
[00:02:50.000 --> 00:02:51.000]  就會覺得
[00:02:51.000 --> 00:02:54.000]  那個人就是耶穌
[00:02:54.000 --> 00:02:56.000]  他來到這個世界
[00:02:56.000 --> 00:02:59.000]  他為了得到的
[00:02:59.000 --> 00:03:01.000]  當然就是教會
[00:03:01.000 --> 00:03:02.000]  所有弟兄姊妹
[00:03:02.000 --> 00:03:04.000]  古往今來在耶穌裏面的
[00:03:04.000 --> 00:03:06.000]  信耶穌的人
[00:03:06.000 --> 00:03:08.000]  他為了這個教會
[00:03:08.000 --> 00:03:09.000]  他犧牲他自己
[00:03:09.000 --> 00:03:11.000]  將他最大最寶貴的
[00:03:11.000 --> 00:03:12.000]  就是他的生命
[00:03:12.000 --> 00:03:13.000]  來犧牲
[00:03:13.000 --> 00:03:15.000]  其中因為是第二個比喻
[00:03:15.000 --> 00:03:19.000]  他們會用一個這樣的解釋
[00:03:19.000 --> 00:03:21.000]  就是珍珠是怎樣來的
[00:03:21.000 --> 00:03:23.000]  就是在那個棚裏面
[00:03:23.000 --> 00:03:24.000]  一路的孕育
[00:03:24.000 --> 00:03:26.000]  很多的日月精華等等
[00:03:26.000 --> 00:03:28.000]  就令到他變成珍珠
[00:03:28.000 --> 00:03:30.000]  所以主耶穌就付出
[00:03:30.000 --> 00:03:32.000]  最重最大的代價
[00:03:32.000 --> 00:03:34.000]  來孕育教會
[00:03:34.000 --> 00:03:36.000]  這樣的理解
[00:03:36.000 --> 00:03:38.000]  是一個比較主流的解釋
[00:03:38.000 --> 00:03:40.000]  但是這樣就衍生了
[00:03:40.000 --> 00:03:42.000]  一個很大的問題
[00:03:42.000 --> 00:03:44.000]  會被我帶來
[00:03:44.000 --> 00:03:47.000]  有時會解不通這兩個的比喻
[00:03:47.000 --> 00:03:48.000]  再加上就是
[00:03:48.000 --> 00:03:51.000]  在整個的七個的比喻裏面
[00:03:51.000 --> 00:03:55.000]  你就會帶來一個比較大的問題
