
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹你好
[00:00:02.000 --> 00:00:05.000]  我們今天一起來看一段經文
[00:00:05.000 --> 00:00:08.000]  是講關於一個嘉南的婦人
[00:00:08.000 --> 00:00:10.000]  來向耶穌請求
[00:00:10.000 --> 00:00:12.000]  我們一起低頭祈禱
[00:00:12.000 --> 00:00:15.000]  親愛的天父上
[00:00:15.000 --> 00:00:17.000]  我們要多謝你的恩典
[00:00:17.000 --> 00:00:18.000]  最後多謝你
[00:00:18.000 --> 00:00:20.000]  讓我們恩典可以祈求
[00:00:20.000 --> 00:00:22.000]  多謝你有時時對我們的祈求
[00:00:22.000 --> 00:00:24.000]  最後你有教導
[00:00:24.000 --> 00:00:26.000]  最後我們祈求你幫助我們
[00:00:26.000 --> 00:00:27.000]  讓我們今晚
[00:00:27.000 --> 00:00:30.000]  能夠從這位嘉南婦人的禱告當中
[00:00:30.000 --> 00:00:32.000]  我們無論聽的講的
[00:00:32.000 --> 00:00:34.000]  都能夠有學習
[00:00:34.000 --> 00:00:36.000]  能夠得到你賜給我們的功課
[00:00:36.000 --> 00:00:38.000]  又讓我們心裏的意念
[00:00:38.000 --> 00:00:40.000]  口中的言語
[00:00:40.000 --> 00:00:41.000]  都執毛你的保守
[00:00:41.000 --> 00:00:43.000]  求主紀念
[00:00:43.000 --> 00:00:44.000]  我們這樣仰望你
[00:00:44.000 --> 00:00:46.000]  奉主耶穌基督的聖名
[00:00:46.000 --> 00:00:47.000]  阿門
[00:00:47.000 --> 00:00:52.000]  各位今天我們來看這段經文
[00:00:52.000 --> 00:00:54.000]  但我又很想和大家
[00:00:54.000 --> 00:00:56.000]  一起去想一個題目
[00:00:57.000 --> 00:00:59.000]  就是你又想祈禱甚麼呢
[00:00:59.000 --> 00:01:01.000]  你又想祈求甚麼呢
[00:01:01.000 --> 00:01:03.000]  這兩年來
[00:01:03.000 --> 00:01:05.000]  是否你一直都在祈求
[00:01:05.000 --> 00:01:07.000]  平安
[00:01:07.000 --> 00:01:08.000]  健康
[00:01:08.000 --> 00:01:10.000]  賜福呢
[00:01:10.000 --> 00:01:12.000]  可能都很長時間
[00:01:12.000 --> 00:01:14.000]  圍著這方面去禱告
[00:01:14.000 --> 00:01:17.000]  我們今天看的這段經文
[00:01:17.000 --> 00:01:19.000]  這個嘉南的婦人
[00:01:19.000 --> 00:01:21.000]  她的請求
[00:01:21.000 --> 00:01:23.000]  都是祈求能夠平安
[00:01:23.000 --> 00:01:25.000]  可以進入她的家門
[00:01:25.000 --> 00:01:27.000]  她的女兒能夠被醫治
[00:01:27.000 --> 00:01:29.000]  這段聖經
[00:01:29.000 --> 00:01:31.000]  是發生在一個地方
[00:01:31.000 --> 00:01:33.000]  在聖地的北邊
[00:01:33.000 --> 00:01:35.000]  就是
[00:01:35.000 --> 00:01:37.000]  這個推羅
[00:01:37.000 --> 00:01:39.000]  推羅西頓
[00:01:39.000 --> 00:01:41.000]  離開加利利
[00:01:41.000 --> 00:01:43.000]  都頗遠的
[00:01:43.000 --> 00:01:45.000]  離開加利利湖
[00:01:45.000 --> 00:01:47.000]  或者叫加利利海
[00:01:47.000 --> 00:01:49.000]  距離大概48公里
[00:01:49.000 --> 00:01:53.000]  那是直線的距離
[00:01:53.000 --> 00:01:55.000]  但是如果要走過去的時候
[00:01:55.000 --> 00:01:57.000]  繞道而行
[00:01:57.000 --> 00:01:59.000]  甚至乎有些是曠野
[00:01:59.000 --> 00:02:01.000]  有些是山路的時候
[00:02:01.000 --> 00:02:03.000]  就要走得比較長的時間
[00:02:03.000 --> 00:02:05.000]  耶穌基督就帶著一班門徒
[00:02:05.000 --> 00:02:07.000]  就由加利利
[00:02:07.000 --> 00:02:11.000]  去到推羅西頓這個地方
[00:02:11.000 --> 00:02:13.000]  他先是去推羅的
[00:02:13.000 --> 00:02:15.000]  都是走了一段日子
[00:02:15.000 --> 00:02:17.000]  為甚麼會去呢
[00:02:17.000 --> 00:02:19.000]  這段時間
[00:02:19.000 --> 00:02:21.000]  也是耶穌基督
[00:02:21.000 --> 00:02:23.000]  在聖地
[00:02:23.000 --> 00:02:25.000]  在耶路撒冷 加利利
[00:02:25.000 --> 00:02:27.000]  走的神蹟都多了
[00:02:27.000 --> 00:02:29.000]  也引起了一些
[00:02:29.000 --> 00:02:31.000]  巴里塞人
[00:02:31.000 --> 00:02:33.000]  和猶太教的官員
[00:02:33.000 --> 00:02:35.000]  對他
[00:02:35.000 --> 00:02:37.000]  有一些嫉妒
[00:02:37.000 --> 00:02:39.000]  憤怒
[00:02:39.000 --> 00:02:41.000]  要危害耶穌的時候
[00:02:41.000 --> 00:02:43.000]  很近了
[00:02:43.000 --> 00:02:45.000]  在這個時候
[00:02:45.000 --> 00:02:47.000]  耶穌已經離開
[00:02:47.000 --> 00:02:49.000]  釘十字架的日子
[00:02:49.000 --> 00:02:51.000]  他就帶著一班門徒北上
[00:02:51.000 --> 00:02:53.000]  去到推羅西頓這個地方
[00:02:53.000 --> 00:02:55.000]  可能其中一個原因
[00:02:55.000 --> 00:02:57.000]  就是要
[00:02:57.000 --> 00:02:59.000]  有一段時間
[00:02:59.000 --> 00:03:01.000]  和門徒獨處
