
[00:00:00.000 --> 00:00:02.000]  各位大家好 各位大姐妹 早安
[00:00:02.000 --> 00:00:04.000]  今天是大年初一
[00:00:04.000 --> 00:00:08.000]  我看到很多人的面容都很寬恩
[00:00:08.000 --> 00:00:10.000]  雖然戴了口罩
[00:00:10.000 --> 00:00:14.000]  但是你們的眼神好像有些光彩
[00:00:14.000 --> 00:00:16.000]  那我們趁這個時候
[00:00:16.000 --> 00:00:18.000]  大家和隔壁的朋友
[00:00:18.000 --> 00:00:20.000]  來恭祝他們新年快樂
[00:00:20.000 --> 00:00:22.000]  大家打個招呼
[00:00:22.000 --> 00:00:26.000]  新年快樂
[00:00:26.000 --> 00:00:30.000]  在這裡我要向大家恭祝你們
[00:00:30.000 --> 00:00:32.000]  新年蒙福
[00:00:32.000 --> 00:00:35.000]  身體健康 精神奕奕
[00:00:35.000 --> 00:00:37.000]  就好像套年一樣
[00:00:37.000 --> 00:00:40.000]  套氣什麼 揚眉
[00:00:40.000 --> 00:00:43.000]  很感謝天父給我們錦書家
[00:00:43.000 --> 00:00:46.000]  有一個優良的傳統
[00:00:46.000 --> 00:00:49.000]  就是我們逢新春年初一
[00:00:49.000 --> 00:00:55.000]  我們都有敬拜的一個很好的行動
[00:00:55.000 --> 00:00:58.000]  提醒我們和人拜年之前
[00:00:58.000 --> 00:01:01.000]  我們先向神來什麼 敬拜
[00:01:01.000 --> 00:01:05.000]  因為我們要把握最佳的時間
[00:01:05.000 --> 00:01:08.000]  最好的光陰來親近神
[00:01:08.000 --> 00:01:10.000]  去敬拜上帝
[00:01:10.000 --> 00:01:12.000]  完了我們再去拜年
[00:01:12.000 --> 00:01:16.000]  就綽綽有餘了
[00:01:16.000 --> 00:01:21.000]  中國人有一句話叫做
[00:01:21.000 --> 00:01:24.000]  服從天國 大家認同嗎
[00:01:24.000 --> 00:01:30.000]  原來真福是真的從上天降下來
[00:01:30.000 --> 00:01:33.000]  證明粵曲對唱粵曲的時候
[00:01:33.000 --> 00:01:35.000]  都有一句說話叫做
[00:01:35.000 --> 00:01:37.000]  因澤門庭
[00:01:37.000 --> 00:01:42.000]  因福臨到你的門口 從上而下
[00:01:42.000 --> 00:01:47.000]  我就很快想起亞國書這樣說
[00:01:47.000 --> 00:01:48.000]  亞國書說什麼呢
[00:01:48.000 --> 00:01:51.000]  他說一切美好的賞賜
[00:01:51.000 --> 00:01:57.000]  和完備的恩賜都是從上頭來的
[00:01:57.000 --> 00:01:58.000]  有印象嗎
[00:01:58.000 --> 00:02:03.000]  都是從重光之父那裡降下來的
[00:02:03.000 --> 00:02:05.000]  這裡特別用了一個降下來
[00:02:05.000 --> 00:02:09.000]  就是說服從天國
[00:02:09.000 --> 00:02:11.000]  所以弟兄姊妹們
[00:02:11.000 --> 00:02:16.000]  我們有一位是天上的爸爸
[00:02:16.000 --> 00:02:19.000]  他是真福的源頭
[00:02:19.000 --> 00:02:21.000]  我們做他的子女
[00:02:21.000 --> 00:02:23.000]  有沒有福氣
[00:02:23.000 --> 00:02:24.000]  大有福氣了
[00:02:24.000 --> 00:02:25.000]  為什麼呢
[00:02:25.000 --> 00:02:27.000]  因為我們享受的真福
[00:02:27.000 --> 00:02:32.000]  是真的從重光之父
[00:02:32.000 --> 00:02:35.000]  重福的源頭賜給我們的
[00:02:35.000 --> 00:02:39.000]  所以我們在新春一開始的時候
[00:02:39.000 --> 00:02:41.000]  去敬拜上帝
[00:02:41.000 --> 00:02:44.000]  是非常非常之有意義的
[00:02:44.000 --> 00:02:47.000]  是不是
[00:02:47.000 --> 00:02:52.000]  當我們想起這個福的時候
[00:02:52.000 --> 00:02:55.000]  今早牧師就和大家分享一個題目
[00:02:55.000 --> 00:02:58.000]  都離不開那個福了
[00:02:58.000 --> 00:02:59.000]  是一個什麼呢
[00:02:59.000 --> 00:03:01.000]  蒙福的途徑
[00:03:01.000 --> 00:03:03.000]  大家想不想知道
[00:03:03.000 --> 00:03:06.000]  蒙福的途徑是怎樣可以得到的呢
[00:03:06.000 --> 00:03:09.000]  又或者上帝
[00:03:09.000 --> 00:03:11.000]  我們天上的父親
[00:03:11.000 --> 00:03:13.000]  怎樣將一個真福
[00:03:13.000 --> 00:03:19.000]  一個重大的福賜給我們呢
[00:03:19.000 --> 00:03:23.000]  其實真是有跡可尋的
[00:03:23.000 --> 00:03:27.000]  大家今早聽完主席
[00:03:27.000 --> 00:03:29.000]  來讀了一段經文
[00:03:29.000 --> 00:03:31.000]  所羅門王這個名字
[00:03:31.000 --> 00:03:33.000]  你們都很熟悉的
[00:03:33.000 --> 00:03:36.000]  在以色列人的歷史當中
[00:03:36.000 --> 00:03:40.000]  他們感覺到這麼多個皇朝裡面
[00:03:40.000 --> 00:03:42.000]  最興旺的皇朝
[00:03:42.000 --> 00:03:44.000]  莫過於是所羅門
[00:03:44.000 --> 00:03:47.000]  當然他爸爸大衛的皇朝
[00:03:47.000 --> 00:03:49.000]  一樣都是這麼鼎盛的
[00:03:49.000 --> 00:03:52.000]  在所羅門王做皇的時候
[00:03:52.000 --> 00:03:54.000]  國家富庶
[00:03:54.000 --> 00:03:55.000]  興盛
[00:03:55.000 --> 00:03:57.000]  國泰民安
[00:03:57.000 --> 00:04:00.000]  得到的福大不大
[00:04:00.000 --> 00:04:01.000]  非常之大
[00:04:01.000 --> 00:04:05.000]  但是他蒙福的原因在哪裡呢
[00:04:05.000 --> 00:04:07.000]  途徑在哪裡算呢
[00:04:07.000 --> 00:04:11.000]  今早我們不妨在經文當中
[00:04:11.000 --> 00:04:14.000]  來看一看
[00:04:14.000 --> 00:04:18.000]  這些經文剛才都讀了
[00:04:18.000 --> 00:04:24.000]  第三節告訴我們
[00:04:24.000 --> 00:04:26.000]  所羅門之所以蒙福
[00:04:26.000 --> 00:04:30.000]  是因為他遵行上帝的律例
[00:04:30.000 --> 00:04:33.000]  即是現在來說
[00:04:33.000 --> 00:04:34.000]  我們聽話
[00:04:34.000 --> 00:04:36.000]  聽神的話
[00:04:36.000 --> 00:04:39.000]  遵行神的話語
[00:04:39.000 --> 00:04:41.000]  這個遵行神的話語
[00:04:41.000 --> 00:04:45.000]  和愛是有些關係的
[00:04:45.000 --> 00:04:48.000]  我不知道你們會不會感覺到
[00:04:48.000 --> 00:04:52.000]  和愛的表現是有密切關係
[00:04:52.000 --> 00:04:55.000]  即是說如果你愛一個人
[00:04:55.000 --> 00:04:58.000]  你重不重視他的說話
[00:04:58.000 --> 00:04:59.000]  重視的
[00:04:59.000 --> 00:05:01.000]  如果有一天
[00:05:01.000 --> 00:05:02.000]  媽媽跟你說
[00:05:02.000 --> 00:05:03.000]  兒子
[00:05:03.000 --> 00:05:05.000]  現在通關了
[00:05:05.000 --> 00:05:10.000]  你拿駕陪我回家鄉走走吧
[00:05:10.000 --> 00:05:12.000]  兒子聽完之後
[00:05:12.000 --> 00:05:15.000]  如果他愛他媽媽
[00:05:15.000 --> 00:05:19.000]  他考不考慮媽媽這個要求
[00:05:19.000 --> 00:05:20.000]  他會的
[00:05:20.000 --> 00:05:21.000]  為什麼呢
[00:05:21.000 --> 00:05:25.000]  因為他重視他媽媽的提議
[00:05:25.000 --> 00:05:26.000]  又或者有一天
[00:05:26.000 --> 00:05:28.000]  你太太跟你說
[00:05:28.000 --> 00:05:32.000]  老公現在疫情放緩了
[00:05:32.000 --> 00:05:34.000]  不如我們去日本旅行吧
[00:05:34.000 --> 00:05:36.000]  Happy嗎
[00:05:36.000 --> 00:05:37.000]  Happy
[00:05:37.000 --> 00:05:38.000]  可能你們都在計劃
[00:05:38.000 --> 00:05:40.000]  還未定
[00:05:40.000 --> 00:05:42.000]  或者去完回來都未定
[00:05:42.000 --> 00:05:45.000]  如果你愛你太太
[00:05:45.000 --> 00:05:48.000]  你考不考慮她的提議
[00:05:48.000 --> 00:05:50.000]  你會考慮的
[00:05:50.000 --> 00:05:52.000]  你開始上網
[00:05:52.000 --> 00:05:54.000]  看看哪些機票是最便宜的
[00:05:54.000 --> 00:05:55.000]  為什麼
[00:05:55.000 --> 00:05:57.000]  因為你重視她
[00:05:57.000 --> 00:05:59.000]  你愛她
[00:05:59.000 --> 00:06:01.000]  你就重視她的說話
[00:06:01.000 --> 00:06:03.000]  所以各位頂尖的節目
[00:06:03.000 --> 00:06:08.000]  今天我們為什麼會成為蒙福的兒女
[00:06:08.000 --> 00:06:11.000]  是因為我們對上帝的話語
[00:06:11.000 --> 00:06:14.000]  是極度的重視
[00:06:14.000 --> 00:06:17.000]  人的說話都有時候很有道理
[00:06:17.000 --> 00:06:20.000]  很有文腦
[00:06:20.000 --> 00:06:24.000]  不過當比起神的話語
[00:06:24.000 --> 00:06:26.000]  始終差很大
[00:06:26.000 --> 00:06:29.000]  今天我們有上帝的話
[00:06:29.000 --> 00:06:32.000]  透過聖經啟迪我們的時候
[00:06:32.000 --> 00:06:34.000]  提醒我們的時候
[00:06:34.000 --> 00:06:36.000]  各位頂尖的節目
[00:06:36.000 --> 00:06:39.000]  我們有沒有像所羅門一樣
[00:06:39.000 --> 00:06:43.000]  去遵行上帝的話語
[00:06:43.000 --> 00:06:45.000]  如果你發覺過去一年
[00:06:45.000 --> 00:06:47.000]  你都很聽上帝的話
