
[00:00:00.000 --> 00:00:02.000]  我們兄弟姐妹晚安
[00:00:02.000 --> 00:00:04.000]  好 感恩大家中間
[00:00:04.000 --> 00:00:07.000]  一個感恩節的日子
[00:00:07.000 --> 00:00:10.000]  跟著我們迎向聖誕的一個
[00:00:10.000 --> 00:00:12.000]  將臨期的時間
[00:00:12.000 --> 00:00:14.000]  我們能夠聚集在上帝面前
[00:00:14.000 --> 00:00:16.000]  去一起敬拜
[00:00:16.000 --> 00:00:18.000]  一起去聆聽祂的話
[00:00:18.000 --> 00:00:20.000]  這個都是難得
[00:00:20.000 --> 00:00:22.000]  能夠得到我們能夠享有的
[00:00:22.000 --> 00:00:25.000]  上帝賜給我們的恩典
[00:00:25.000 --> 00:00:27.000]  如果問大家
[00:00:27.000 --> 00:00:29.000]  在這段日子生活
[00:00:29.000 --> 00:00:32.000]  我們會有什麼聖經
[00:00:32.000 --> 00:00:35.000]  大家多讀一點
[00:00:35.000 --> 00:00:38.000]  或者對於你來說很有幫助
[00:00:38.000 --> 00:00:39.000]  很有啟發
[00:00:39.000 --> 00:00:41.000]  我不知道你會選擇什麼聖經
[00:00:41.000 --> 00:00:43.000]  或者你馬上腦裡浮起什麼經文
[00:00:43.000 --> 00:00:45.000]  或者哪本書
[00:00:45.000 --> 00:00:47.000]  對我來說我是浮起《啟示錄》的
[00:00:47.000 --> 00:00:51.000]  特別是自己
[00:00:51.000 --> 00:00:55.000]  也有學生的工作
[00:00:55.000 --> 00:00:58.000]  最近跟他們一起查
[00:00:58.000 --> 00:01:00.000]  《啟示錄》的第一章
[00:01:00.000 --> 00:01:02.000]  逐章逐章地查
[00:01:02.000 --> 00:01:03.000]  查了七天
[00:01:03.000 --> 00:01:05.000]  剛剛學期結束了
[00:01:05.000 --> 00:01:08.000]  查到第六章七章那段經文
[00:01:08.000 --> 00:01:12.000]  都是一個很深刻的體會
[00:01:12.000 --> 00:01:18.000]  當時的《啟示錄》的背景
[00:01:18.000 --> 00:01:20.000]  對於我們今天的生活
[00:01:20.000 --> 00:01:22.000]  可能我們今天都會
[00:01:22.000 --> 00:01:24.000]  常常都有一種狀態
[00:01:24.000 --> 00:01:26.000]  可能都好像是
[00:01:26.000 --> 00:01:28.000]  不知道明天會是怎麼樣
[00:01:28.000 --> 00:01:30.000]  有時候都要見步行步
[00:01:30.000 --> 00:01:33.000]  一路計劃一路再籌算
[00:01:33.000 --> 00:01:35.000]  可能我們的人生前路
[00:01:35.000 --> 00:01:37.000]  家庭的方向等等
[00:01:37.000 --> 00:01:42.000]  都會是一種這樣的心態去處理
[00:01:42.000 --> 00:01:44.000]  接著可能我們都會問
[00:01:44.000 --> 00:01:46.000]  我們的未來
[00:01:46.000 --> 00:01:47.000]  我們的將來
[00:01:47.000 --> 00:01:48.000]  未來會怎樣走下去呢
[00:01:48.000 --> 00:01:50.000]  未來有什麼想像呢
[00:01:50.000 --> 00:01:53.000]  這些都是我們有時候今天都會
[00:01:53.000 --> 00:01:58.000]  不禁地去推敲和思想
[00:01:58.000 --> 00:02:00.000]  我們多數在這樣的狀態的時候
[00:02:00.000 --> 00:02:03.000]  可能去讀《啟示錄》
[00:02:03.000 --> 00:02:07.000]  都是一個能夠對應到我們的心境
[00:02:07.000 --> 00:02:10.000]  來去在上帝的道當中
[00:02:10.000 --> 00:02:14.000]  去尋找到一些安慰
[00:02:14.000 --> 00:02:15.000]  尋找到一些鼓勵
[00:02:15.000 --> 00:02:17.000]  尋找到一些方向
[00:02:17.000 --> 00:02:19.000]  我們常常都會問
[00:02:19.000 --> 00:02:22.000]  《啟示錄》究竟是講將來
[00:02:22.000 --> 00:02:24.000]  還是講現在呢
[00:02:24.000 --> 00:02:25.000]  這個都是在
[00:02:25.000 --> 00:02:27.000]  可能我們特別是橫教會
[00:02:27.000 --> 00:02:31.000]  我們在不同的發展過程當中
[00:02:31.000 --> 00:02:34.000]  可能都因應著不同的學者
[00:02:34.000 --> 00:02:36.000]  或者聖經的學者等等
[00:02:36.000 --> 00:02:37.000]  對我們的影響
[00:02:37.000 --> 00:02:39.000]  當我們體會到《啟示錄》
[00:02:39.000 --> 00:02:41.000]  放在整本書的最後的時候
[00:02:41.000 --> 00:02:44.000]  我就自然覺得它當然是講將來
[00:02:44.000 --> 00:02:47.000]  最後的將來的事
[00:02:47.000 --> 00:02:48.000]  這個都很重要
