
[00:00:00.000 --> 00:00:02.000]  好了 各位姐妹晚安
[00:00:02.000 --> 00:00:06.080]  能夠和大家開一本新的書卷
[00:00:06.080 --> 00:00:08.180]  我們一起禱告
[00:00:08.180 --> 00:00:09.680]  親愛的天父
[00:00:09.680 --> 00:00:13.400]  晚上我們能夠將一個新的時段
[00:00:13.400 --> 00:00:17.800]  盼望帶來一個新的學習、新的發現
[00:00:17.800 --> 00:00:22.440]  特別《春艾讀記》裡面有一些資料
[00:00:22.440 --> 00:00:24.560]  是相當沉悶的
[00:00:24.560 --> 00:00:29.360]  求主讓我們能夠從一個宏觀去看這本書
[00:00:29.360 --> 00:00:33.640]  因為它是佈局在整個摩西五經
[00:00:33.640 --> 00:00:35.760]  一個新的時代
[00:00:35.760 --> 00:00:37.480]  願神幫助我們
[00:00:37.480 --> 00:00:40.040]  也讓我們透過看《春艾讀記》
[00:00:40.040 --> 00:00:45.640]  不單純是字面裡面的上文下理我們要明白
[00:00:45.640 --> 00:00:48.600]  但是在整個五經的佈局裡面
[00:00:48.600 --> 00:00:52.880]  都讓我們能夠掌握、認識、求主帶領
[00:00:52.880 --> 00:00:55.760]  也讓我們可以有更多弟兄姐妹
[00:00:55.760 --> 00:01:00.440]  都能夠透過這本書得到那個鼓勵、幫助
[00:01:00.440 --> 00:01:02.040]  我們仰望神
[00:01:02.040 --> 00:01:05.760]  我們這樣禱告奉耶穌基督的名
[00:01:05.760 --> 00:01:07.480]  阿們
[00:01:07.480 --> 00:01:13.640]  也感恩能夠和大家有機會去看不同的書卷
[00:01:13.640 --> 00:01:19.520]  選取一本相對比較簡單的經文、經卷
[00:01:19.520 --> 00:01:24.520]  需要用的時間去準備又不算很多
[00:01:24.520 --> 00:01:27.240]  因為它的分段都相當清晰
[00:01:27.240 --> 00:01:30.040]  主要有三個大段落
[00:01:30.040 --> 00:01:34.200]  不過我們看羅馬書
[00:01:34.200 --> 00:01:37.040]  因為是一些書信的格式
[00:01:37.040 --> 00:01:40.080]  是一些神學的宣告
[00:01:40.080 --> 00:01:45.120]  和我們在舊約一些的敘事文體
[00:01:45.120 --> 00:01:46.880]  是有些不相同的
[00:01:46.880 --> 00:01:50.840]  這裡更加是一個歷史的敘事文體
[00:01:50.840 --> 00:01:54.400]  如果再簡單、再清楚一點
[00:01:54.400 --> 00:01:57.040]  就是很清楚告訴我們
[00:01:57.040 --> 00:02:00.360]  神曾經在歷史裏面
[00:02:00.360 --> 00:02:03.400]  他進入人類的歷史
[00:02:03.400 --> 00:02:08.320]  藉著摩西、藉著以色列這個民族
[00:02:08.320 --> 00:02:11.680]  來進行那個拯救
[00:02:11.680 --> 00:02:14.080]  而這個拯救就是他的計劃
