
[00:00:00.000 --> 00:00:02.000]  請主妹平安
[00:00:02.000 --> 00:00:06.600]  因為現在要教浸禮班
[00:00:06.600 --> 00:00:09.160]  所以只能夠在第一個星期
[00:00:09.160 --> 00:00:12.200]  可以跟大家見面、講道、分享
[00:00:12.200 --> 00:00:16.480]  其他時間都會在隔壁房間教主一學
[00:00:16.480 --> 00:00:17.680]  浸禮班的
[00:00:17.680 --> 00:00:20.920]  所以這個時間比較少見到大家
[00:00:20.920 --> 00:00:25.880]  在主裡面我們彼此都是來經歷神的恩典
[00:00:25.880 --> 00:00:28.440]  跟大家有一個簡單祈禱
[00:00:28.440 --> 00:00:32.800]  再一次將聚會要釋放的訊息
[00:00:32.800 --> 00:00:36.080]  來仰望主的聖靈
[00:00:36.080 --> 00:00:37.840]  你在我們中間
[00:00:37.840 --> 00:00:40.800]  你運行在我們的心裡
[00:00:40.800 --> 00:00:45.160]  基督的平安來管治我們的心靈
[00:00:45.160 --> 00:00:47.680]  使我們能夠追求
[00:00:47.680 --> 00:00:51.320]  讓我們更加像我們的主
[00:00:51.320 --> 00:00:53.240]  這樣的感恩禱告
[00:00:53.240 --> 00:00:55.640]  奉耶穌基督的名
[00:00:55.640 --> 00:00:56.720]  阿們
[00:00:56.720 --> 00:00:58.520]  這個月十月份
[00:00:58.520 --> 00:01:01.040]  這個月的主題
[00:01:01.040 --> 00:01:05.080]  都很想環繞教會的信徒
[00:01:05.080 --> 00:01:06.880]  是要合一的
[00:01:06.880 --> 00:01:11.040]  或者說教會本身就是一個合一的見證
[00:01:11.040 --> 00:01:12.720]  在耶穌的裡面
[00:01:12.720 --> 00:01:14.880]  選取的經文
[00:01:14.880 --> 00:01:18.200]  哥羅西書相當具代表性的
[00:01:18.200 --> 00:01:21.840]  這一段聖經剛才主席已經讀了
[00:01:21.840 --> 00:01:25.600]  講到基督徒怎樣追求和睦
[00:01:25.600 --> 00:01:29.760]  更重要的是在主的管理下
[00:01:29.760 --> 00:01:31.520]  祂是一切
[00:01:31.520 --> 00:01:34.880]  也是住在我們眾人的心裡
[00:01:34.880 --> 00:01:38.760]  不過這段聖經的優美
[00:01:38.760 --> 00:01:40.760]  那個重要
[00:01:40.760 --> 00:01:44.080]  就是有兩個清單
[00:01:44.080 --> 00:01:47.280]  剛才只是讀了那個很正面的
[00:01:47.280 --> 00:01:49.960]  善行德行的清單
[00:01:49.960 --> 00:01:52.600]  其實還有另外一個清單
[00:01:52.600 --> 00:01:54.840]  就是罪惡的清單
[00:01:54.840 --> 00:01:56.680]  不好的行為
[00:01:56.680 --> 00:01:58.080]  惡事的清單
[00:01:58.080 --> 00:01:59.240]  第五節
[00:01:59.240 --> 00:02:03.840]  所以你們要致死你們在地上的肢體
[00:02:03.840 --> 00:02:05.600]  就如淫亂
[00:02:05.600 --> 00:02:06.600]  污穢
[00:02:06.600 --> 00:02:07.560]  邪情
[00:02:07.560 --> 00:02:08.640]  惡慾
[00:02:08.640 --> 00:02:10.000]  和貪婪
[00:02:10.000 --> 00:02:14.360]  全部是心思裡面的動機
[00:02:14.360 --> 00:02:16.160]  惡的意念
[00:02:16.160 --> 00:02:20.360]  骯髒的念頭
[00:02:20.360 --> 00:02:23.720]  然後就說貪婪就是拜偶像
[00:02:23.720 --> 00:02:26.560]  這裡特別聯想貪婪
[00:02:26.560 --> 00:02:28.720]  是你貪心貪念
[00:02:28.720 --> 00:02:32.720]  第十節
[00:02:32.720 --> 00:02:36.720]  就是說不要貪戀別人的什麼什麼
[00:02:36.720 --> 00:02:38.840]  和這裡一樣
[00:02:38.840 --> 00:02:44.040]  就是以自我自己做神為中心
[00:02:44.040 --> 00:02:48.000]  而不是以上帝耶穌為中心
[00:02:48.000 --> 00:02:51.200]  所以這兩個清單
[00:02:51.200 --> 00:02:54.720]  是一個個人主義的追求自己
[00:02:54.720 --> 00:02:56.400]  滿足
[00:02:56.400 --> 00:02:58.720]  相信第五節
[00:02:58.720 --> 00:03:01.600]  這些心靈上的罪
[00:03:01.600 --> 00:03:06.400]  是很近的
[00:03:06.400 --> 00:03:12.160]  自我最大的滿足
[00:03:12.160 --> 00:03:15.120]  但是追求神
[00:03:15.120 --> 00:03:18.640]  就是新心靈的那種滿足
[00:03:18.640 --> 00:03:20.880]  對一個基督徒
[00:03:20.880 --> 00:03:22.160]  就要學習
[00:03:22.160 --> 00:03:24.640]  相當重的要學
[00:03:24.640 --> 00:03:29.840]  所以貪婪就好像拜偶像一樣
[00:03:29.840 --> 00:03:30.800]  第六節
[00:03:30.800 --> 00:03:32.400]  因為這些事情
[00:03:32.400 --> 00:03:33.760]  神的憤怒
[00:03:33.760 --> 00:03:36.560]  就必定會淋到這些背影的人
[00:03:36.560 --> 00:03:38.800]  然後再說一些
[00:03:38.800 --> 00:03:40.000]  不是內心
[00:03:40.000 --> 00:03:42.160]  不是意念這麼簡單
[00:03:42.160 --> 00:03:43.760]  第八節
[00:03:43.760 --> 00:03:47.240]  但是你們現在要記住這一切的事
[00:03:47.240 --> 00:03:48.560]  什麼事
[00:03:48.560 --> 00:03:52.160]  惱恨憤怒惡毒
[00:03:52.160 --> 00:03:58.280]  毀謗和口中污糟邋遢的污穢的言語
[00:03:58.280 --> 00:04:02.400]  和不可以彼此的來講謊話
[00:04:02.400 --> 00:04:06.320]  因為你們已經脫去了你的舊人
