
[00:00:00.000 --> 00:00:02.000]  (陳志全) 各位節目早安
[00:00:02.000 --> 00:00:04.000]  今天跟大家分享
[00:00:04.000 --> 00:00:08.000]  其實這是最近一份很大的感動
[00:00:08.000 --> 00:00:10.000]  而出來的講章
[00:00:10.000 --> 00:00:12.000]  是一篇很簡單的講章
[00:00:12.000 --> 00:00:16.000]  在聖經裡也很直白的講章
[00:00:16.000 --> 00:00:18.000]  在近幾年的時候
[00:00:18.000 --> 00:00:20.000]  其實在教會當中
[00:00:20.000 --> 00:00:22.000]  特別是一些我們去思想
[00:00:22.000 --> 00:00:24.000]  教會突破的時候
[00:00:24.000 --> 00:00:26.000]  其中有一個經常出現的字
[00:00:26.000 --> 00:00:30.000]  叫做無牆教會
[00:00:30.000 --> 00:00:32.000]  所以你會發覺
[00:00:32.000 --> 00:00:34.000]  當我們講到教會要無牆
[00:00:34.000 --> 00:00:36.000]  其實是一個很具體化的
[00:00:36.000 --> 00:00:38.000]  告訴大家為什麼
[00:00:38.000 --> 00:00:40.000]  平時給人的印象就是
[00:00:40.000 --> 00:00:42.000]  堂會一個教會就是四縫牆
[00:00:42.000 --> 00:00:44.000]  一個崇拜地方
[00:00:44.000 --> 00:00:46.000]  人家要進來
[00:00:46.000 --> 00:00:48.000]  人家要來到我這個地方
[00:00:48.000 --> 00:00:50.000]  但我不知道大家知不知道
[00:00:50.000 --> 00:00:52.000]  其實有一個觀念
[00:00:52.000 --> 00:00:54.000]  其實這是一個跨文化
[00:00:54.000 --> 00:00:58.000]  是人家不是你的文化
[00:00:58.000 --> 00:01:02.000]  然後人家要走進來你的文化
[00:01:02.000 --> 00:01:04.000]  你明不明白這個分別
[00:01:04.000 --> 00:01:08.000]  最近有很多人都會講移民
[00:01:08.000 --> 00:01:10.000]  你移民到去其他地方
[00:01:10.000 --> 00:01:12.000]  你需不需要適應
[00:01:12.000 --> 00:01:16.000]  適應容易嗎
[00:01:16.000 --> 00:01:18.000]  所以我想強調的就是
[00:01:18.000 --> 00:01:20.000]  在過去我們經常有一個觀念
[00:01:20.000 --> 00:01:22.000]  就是怎樣
[00:01:22.000 --> 00:01:24.000]  我想大家留意
[00:01:24.000 --> 00:01:26.000]  不是錯的
[00:01:26.000 --> 00:01:28.000]  我想說這是一個歷史的進程
[00:01:28.000 --> 00:01:30.000]  過去我們教會
[00:01:30.000 --> 00:01:32.000]  或者是普遍香港的教會
[00:01:32.000 --> 00:01:34.000]  我們都會講一件事
[00:01:34.000 --> 00:01:36.000]  我們開報道會
[00:01:36.000 --> 00:01:38.000]  然後大家邀請朋友來到當中
[00:01:38.000 --> 00:01:40.000]  去參加報道會
[00:01:40.000 --> 00:01:42.000]  然後我們跟他們講一些訊息
[00:01:42.000 --> 00:01:44.000]  但其實在這個過程裏
[00:01:44.000 --> 00:01:46.000]  他們要跨過這道牆
[00:01:46.000 --> 00:01:48.000]  是一點都不容易的
[00:01:48.000 --> 00:01:50.000]  第一
[00:01:50.000 --> 00:01:52.000]  要跟你有多友好
[00:01:52.000 --> 00:01:54.000]  他才肯來
[00:01:54.000 --> 00:01:56.000]  有些人都說
[00:01:56.000 --> 00:01:58.000]  認識了很多年
[00:01:58.000 --> 00:02:00.000]  很多次回教會他都不想回
[00:02:00.000 --> 00:02:02.000]  通常有兩個情況
[00:02:02.000 --> 00:02:04.000]  第一是給面子派對
[00:02:04.000 --> 00:02:06.000]  我真的給你面子
[00:02:06.000 --> 00:02:08.000]  認識了你這麼多年
[00:02:08.000 --> 00:02:10.000]  你叫了我很多次
