
[00:00:00.000 --> 00:00:05.520]  我們今天依然有我們的顧問牧師陳一華牧師在我們當中正道
[00:00:05.520 --> 00:00:09.400]  今天的講題是《逆境中的堅持》
[00:00:09.400 --> 00:00:15.920]  經文就是在約翰福音21章1至11節和第19節
[00:00:15.920 --> 00:00:20.400]  在手上是《聖經》新約第176頁
[00:00:20.400 --> 00:00:25.920]  約翰福音21章1至11節和第19節
[00:00:25.920 --> 00:00:28.400]  找到的時候請聽我讀出
[00:00:28.400 --> 00:00:30.400]  21章第一節
[00:00:31.200 --> 00:00:37.680]  「這些事以後,耶穌在提比利亞海邊又向門徒顯現
[00:00:37.680 --> 00:00:41.200]  他怎樣顯現,記在下面
[00:00:41.200 --> 00:00:44.400]  西門彼得叫底圖瑪的多瑪
[00:00:44.400 --> 00:00:47.200]  加利利的加拿人拿丹葉
[00:00:47.200 --> 00:00:52.480]  西皮帶的兩個兒子和另外兩個門徒都在一起
[00:00:52.480 --> 00:00:56.320]  西門彼得對他們說:我打預去
[00:00:56.320 --> 00:01:00.240]  他們對他說:我們也和你一起去
[00:01:00.240 --> 00:01:03.120]  他們就出去上了船
[00:01:03.120 --> 00:01:06.480]  那一夜並沒有打著什麼
[00:01:06.480 --> 00:01:08.480]  天剛亮的時候
[00:01:08.480 --> 00:01:10.720]  耶穌站在岸上
[00:01:10.720 --> 00:01:13.680]  門徒卻不知道他是耶穌
[00:01:13.680 --> 00:01:16.880]  耶穌就對他們說:孩子們
[00:01:16.880 --> 00:01:19.280]  你們有吃的沒有
[00:01:19.280 --> 00:01:21.760]  他們回答他:沒有
[00:01:21.760 --> 00:01:28.000]  耶穌對他們說:你們把網撒在船的右邊就會得到
[00:01:28.000 --> 00:01:30.560]  於是他們撒下網去
[00:01:30.560 --> 00:01:32.560]  竟拉不上來了
[00:01:32.560 --> 00:01:34.560]  因為雨很多
[00:01:34.560 --> 00:01:37.840]  耶穌所愛的那門徒對彼得說:
[00:01:37.840 --> 00:01:42.080]  事主!那時西門彼得赤著身子
[00:01:42.080 --> 00:01:46.960]  一聽見事主就速上外衣跳進海裡
[00:01:46.960 --> 00:01:49.760]  其餘的門徒因離岸不遠
[00:01:49.760 --> 00:01:56.160]  若有二百爪就坐著小船把那網如拉過來
[00:01:56.160 --> 00:01:58.160]  他們上了岸
[00:01:58.160 --> 00:02:00.400]  看見那裡有炭火
[00:02:00.400 --> 00:02:02.400]  上面有雨和冰
[00:02:02.400 --> 00:02:07.440]  耶穌對他們說:把剛才打的雨拿幾條來
[00:02:07.440 --> 00:02:09.840]  西門彼得就上船
[00:02:09.840 --> 00:02:11.840]  把網拉到岸上
[00:02:11.840 --> 00:02:14.080]  網裡滿了大雨
[00:02:14.080 --> 00:02:16.080]  共一百五十三條
[00:02:16.080 --> 00:02:18.400]  雖然雨這麼多
[00:02:18.400 --> 00:02:20.400]  網卻沒有破
[00:02:20.400 --> 00:02:22.400]  第二十一章第十九節
[00:02:22.400 --> 00:02:27.600]  耶穌說者說:是指彼得會怎樣死來榮耀神
[00:02:27.600 --> 00:02:32.400]  說了者說:耶穌對他說:你跟從我吧
[00:02:32.400 --> 00:02:34.400]  請陳牧師
[00:02:34.400 --> 00:02:44.400]  陳牧師:多謝主席幫我讀出一段頗長的經文
[00:02:44.400 --> 00:02:46.400]  各位姐妹早晨
[00:02:46.400 --> 00:02:49.400]  今早我們很感恩
[00:02:49.400 --> 00:02:52.400]  因為我們有個暖笠笠的崇拜
[00:02:52.400 --> 00:02:54.400]  一方面天氣暖和
[00:02:54.400 --> 00:02:58.400]  另一方面大家坐的時候都並肩而坐
[00:02:58.400 --> 00:03:02.400]  所以感覺到有一種溫暖的感覺在當中
[00:03:02.400 --> 00:03:05.400]  我們很希望我們的崇拜
[00:03:05.400 --> 00:03:07.400]  今天能夠更加的專注
