
[00:00:00.000 --> 00:00:03.000]  我們同心一起祈禱
[00:00:03.000 --> 00:00:10.000]  多謝天父,我們再一次在晚上恢復茶經時間
[00:00:10.000 --> 00:00:15.000]  今晚我們開一卷新的《被老歸回》書卷
[00:00:15.000 --> 00:00:19.000]  但很特別的地方是這卷《以斯帖記》
[00:00:19.000 --> 00:00:23.000]  完全沒有提到耶路撒冷的事情
[00:00:23.000 --> 00:00:27.000]  和我們之前看的《以斯拉記》和《尼希米記》
[00:00:27.000 --> 00:00:29.000]  有一個明顯的分別
[00:00:29.000 --> 00:00:33.000]  但又是確確實實是在說被老的時期
[00:00:33.000 --> 00:00:39.000]  在波斯帝國書山城所發生的事情
[00:00:39.000 --> 00:00:45.000]  而且更重要的是關乎猶太人整個民族的命運
[00:00:45.000 --> 00:00:48.000]  所以這卷書其實都是相當重要
[00:00:48.000 --> 00:00:53.000]  幫助我們如何在一個極大的民族苦難
[00:00:53.000 --> 00:00:55.000]  看到神的看顧
[00:00:55.000 --> 00:01:00.000]  和我們能夠看到主是掌管萬有
[00:01:00.000 --> 00:01:03.000]  掌管著微小事情的主
[00:01:03.000 --> 00:01:07.000]  叫我們大家都來到去有一個敏銳的心靈
[00:01:07.000 --> 00:01:11.000]  不是一種我們普通人的疑神疑鬼
[00:01:11.000 --> 00:01:15.000]  而是敏銳、神同在的心靈
[00:01:15.000 --> 00:01:17.000]  這個很需要我們一起學習
[00:01:17.000 --> 00:01:19.000]  求主帶領我們
[00:01:19.000 --> 00:01:21.000]  也可能有一些弟兄姊妹
[00:01:21.000 --> 00:01:25.000]  未必是在現場去聽
[00:01:25.000 --> 00:01:28.000]  透過Zoom來聽到
[00:01:28.000 --> 00:01:33.000]  但我們盼望成為了一個六濟之後
[00:01:33.000 --> 00:01:35.000]  可以成為不同的弟兄姊妹
[00:01:35.000 --> 00:01:37.000]  在不同的地方
[00:01:37.000 --> 00:01:40.000]  在他們最方便的時候去聽這些訊息
[00:01:40.000 --> 00:01:42.000]  主的聖靈來工作
[00:01:42.000 --> 00:01:44.000]  叫我們明白真理
[00:01:44.000 --> 00:01:47.000]  和有一個實踐的心靈
[00:01:47.000 --> 00:01:49.000]  奉主耶穌基督的名
[00:01:49.000 --> 00:01:51.000]  阿們
[00:01:51.000 --> 00:01:54.000]  很感恩我們開始了晚上的茶經班
[00:01:54.000 --> 00:01:57.000]  因為上個星期是暑期遊樂園
[00:01:57.000 --> 00:02:00.000]  所以禮堂不方便設置
[00:02:00.000 --> 00:02:05.000]  因為音響禮堂會比較方便
[00:02:05.000 --> 00:02:08.000]  整個彌興禮記完了
[00:02:08.000 --> 00:02:10.000]  我們很簡單說過
[00:02:10.000 --> 00:02:12.000]  一到第六章
[00:02:12.000 --> 00:02:18.000]  就是由他起義要重建耶路撒冷的聖場
[00:02:18.000 --> 00:02:22.000]  完成一到第六章
[00:02:22.000 --> 00:02:25.000]  第七章就是
[00:02:25.000 --> 00:02:29.000]  不是重建聖場之後
[00:02:29.000 --> 00:02:36.000]  而是準備走聖門的奉獻禮
[00:02:36.000 --> 00:02:40.000]  即是整個耶路撒冷是屬神的
[00:02:40.000 --> 00:02:43.000]  但更重要的不是那些磚頭是屬神
[00:02:43.000 --> 00:02:46.000]  而是耶路撒冷的居民是屬神
[00:02:46.000 --> 00:02:49.000]  所以第七章很重要的訊息
[00:02:49.000 --> 00:02:51.000]  特別是一到第五節
[00:02:51.000 --> 00:02:55.000]  就是利米早就知道人丁稀少
[00:02:55.000 --> 00:02:58.000]  如何能讓百姓的心
[00:02:58.000 --> 00:03:00.000]  甘心樂意感到榮譽
