
[00:00:00.000 --> 00:00:08.000]  (主持人:今天講到的主題是「生命同行與使命傳承」)
[00:00:08.000 --> 00:00:11.000]  (主持人:由蔣文宗傳道話我們是正道)
[00:00:11.000 --> 00:00:15.000]  (主持人:經文出處在《獵王記》下第二章七至十五節)
[00:00:15.000 --> 00:00:17.000]  (主持人:請聽我讀)
[00:00:17.000 --> 00:00:22.000]  (主持人:有五十個先知的門徒同去)
[00:00:22.000 --> 00:00:25.000]  (主持人:遠遠地站在他們對面)
[00:00:25.000 --> 00:00:28.000]  (主持人:他們二人在約旦河邊站住)
[00:00:28.000 --> 00:00:33.000]  (主持人:以利亞捲起自己的外衣用來打水)
[00:00:33.000 --> 00:00:38.000]  (主持人:水就左右分開二人就乾地過去)
[00:00:38.000 --> 00:00:41.000]  (主持人:去之後以利亞對以利莎說)
[00:00:41.000 --> 00:00:44.000]  (主持人:我未被接去離開你以前)
[00:00:44.000 --> 00:00:49.000]  (主持人:你要我為你做什麼只管求)
[00:00:49.000 --> 00:00:54.000]  (主持人:以利莎說願感動你的靈相陪感動我)
[00:00:54.000 --> 00:00:58.000]  (主持人:以利亞說你求的是一件難事)
[00:00:58.000 --> 00:01:01.000]  (主持人:我被接去離開你的時候)
[00:01:01.000 --> 00:01:06.000]  (主持人:你若看見我就必得著若不然就得不著了)
[00:01:06.000 --> 00:01:09.000]  (主持人:他們邊走邊說話的時候)
[00:01:09.000 --> 00:01:12.000]  (主持人:看啊有火馬和火焰車出現)
[00:01:12.000 --> 00:01:17.000]  (主持人:把二人隔開以利亞就乘船風升天去了)
[00:01:17.000 --> 00:01:20.000]  (主持人:以利莎看見就呼叫說)
[00:01:20.000 --> 00:01:25.000]  (主持人:我富亞我富亞以色列的戰車騎兵啊)
[00:01:25.000 --> 00:01:28.000]  (主持人:以利莎不再看見他的時候)
[00:01:28.000 --> 00:01:32.000]  (主持人:就把自己的衣服撕為兩片)
[00:01:32.000 --> 00:01:36.000]  (主持人:她拾起以利亞身上掉下來的外衣)
[00:01:36.000 --> 00:01:39.000]  (主持人:回去站在約旦河邊)
[00:01:39.000 --> 00:01:43.000]  (主持人:她用以利亞身上掉下來的外衣打水說)
[00:01:43.000 --> 00:01:47.000]  (主持人:耶和華以利亞的神在哪裡呢)
[00:01:47.000 --> 00:01:50.000]  (主持人:打水之後水也左右分開)
[00:01:50.000 --> 00:01:53.000]  (主持人:以利莎就過去了)
[00:01:53.000 --> 00:01:58.000]  (主持人:在耶利哥的先知的門徒從對面看見她說)
[00:01:58.000 --> 00:02:02.000]  (主持人:感動以利亞的靈臨到以利莎身上了)
[00:02:02.000 --> 00:02:04.000]  (主持人:他們就來迎接她)
[00:02:04.000 --> 00:02:07.000]  (主持人:俯伏於地向她下拜)
[00:02:07.000 --> 00:02:09.000]  (主持人:讀經完畢)
[00:02:09.000 --> 00:02:11.000]  (字幕:張超)
[00:02:11.000 --> 00:02:13.000]  (字幕:張超)
[00:02:13.000 --> 00:02:15.000]  (字幕:張超)
[00:02:15.000 --> 00:02:34.000]  各位姐妹平安
[00:02:34.000 --> 00:02:39.000]  感謝神再有機會和大家分享
[00:02:39.000 --> 00:02:44.000]  關於生命同行的一個港道的系列
[00:02:44.000 --> 00:02:47.000]  不知道大家是否記得上次在二月的時候
[00:02:47.000 --> 00:02:51.000]  大家分享過耶穌和兩個門徒在二媽五師路上的同行
[00:02:51.000 --> 00:02:53.000]  不知道大家有沒有印象
[00:02:53.000 --> 00:02:57.000]  或者是否記得這個港道的內容
[00:02:57.000 --> 00:03:02.000]  上次講的時候是關於耶穌陪伴兩個門徒
[00:03:02.000 --> 00:03:07.000]  其實是兩個人剛剛離開耶路撒冷
[00:03:07.000 --> 00:03:10.000]  心情很低落、眼睛模糊
[00:03:10.000 --> 00:03:12.000]  看不到自己人生的方向
[00:03:12.000 --> 00:03:16.000]  耶穌在同行的過程中讓他們重新得力
[00:03:16.000 --> 00:03:22.000]  重新心裡火熱,找到人生的方向等等
[00:03:22.000 --> 00:03:28.000]  這次大家回到舊約去看另外一個生命同行的故事
[00:03:28.000 --> 00:03:33.000]  相信大家對以利亞、以利莎應該不會陌生
[00:03:33.000 --> 00:03:39.000]  由獵王記上十七章至獵王記下十三章
[00:03:39.000 --> 00:03:44.000]  總共二十章經文
[00:03:44.000 --> 00:03:48.000]  其實是關於兩個先知的故事
[00:03:48.000 --> 00:03:52.000]  兩個很重要的人物
[00:03:52.000 --> 00:03:55.000]  可能你會說這和我有什麼關係呢?
[00:03:55.000 --> 00:03:58.000]  譬如上次提到兩個門徒的狀態
[00:03:58.000 --> 00:04:01.000]  可能也類近我們生命的狀況
[00:04:01.000 --> 00:04:04.000]  今天想起的問題是
[00:04:04.000 --> 00:04:11.000]  這是一個領袖交接的課題
[00:04:11.000 --> 00:04:13.000]  在今天的教會裡
[00:04:13.000 --> 00:04:15.000]  特別是在香港環教時
[00:04:15.000 --> 00:04:17.000]  也和一些牧師分享過
[00:04:17.000 --> 00:04:19.000]  也說到很頭痛
