
[00:00:00.000 --> 00:00:08.700]  記者:可能有很多弟兄姊妹聽過和我說
[00:00:08.700 --> 00:00:12.600]  記者:讀新約比較容易些
[00:00:12.600 --> 00:00:16.800]  記者:不知道大家在座有沒有看過舊約
[00:00:16.800 --> 00:00:23.100]  記者:或者看新約的次數都是會比舊約多些些
[00:00:23.100 --> 00:00:28.300]  記者:但我自己覺得舊約都好容易讀
[00:00:28.300 --> 00:00:34.400]  記者:有時候可能不太了解到有某些背景
[00:00:34.400 --> 00:00:36.700]  記者:可能了解了之後
[00:00:36.700 --> 00:00:43.400]  記者:你知道連貫性會容易些
[00:00:43.400 --> 00:00:46.200]  記者:又或者我們今天所讀到的
[00:00:46.200 --> 00:00:48.400]  記者:我們稱為歷史書
[00:00:48.400 --> 00:00:54.800]  記者:歷史書如果你當它好像故事一樣看
[00:00:54.800 --> 00:00:57.000]  記者:都有很多故事性在裏面
[00:00:57.000 --> 00:01:01.800]  記者:但當然我們明白不是單單好像一個故事
[00:01:01.800 --> 00:01:06.700]  記者:而是當中神都透過以色列人的歷史
[00:01:06.700 --> 00:01:10.000]  記者:讓我們看到一些史實之外
[00:01:10.000 --> 00:01:14.400]  記者:神都要藉著放在聖經當中
[00:01:14.400 --> 00:01:17.800]  記者:讓我們明白當中的屬靈意義
[00:01:17.800 --> 00:01:20.400]  記者:給我們一些屬靈的教訓
[00:01:20.400 --> 00:01:28.600]  記者:今天我們先跟大家去看《獵王記》
[00:01:28.600 --> 00:01:32.400]  記者:我都有一個PowerPoint
[00:01:32.400 --> 00:01:36.000]  記者:在我們上半年
[00:01:36.000 --> 00:01:40.600]  記者:上半年的港島內容裏面
[00:01:40.600 --> 00:01:46.400]  記者:我們都會有不同的童工會涉獵到《獵王記》上
[00:01:46.400 --> 00:01:52.800]  記者:因此今晚都跟大家有少少的分享
[00:01:52.800 --> 00:01:54.600]  記者:當我們看到《獵王記》
[00:01:54.600 --> 00:01:57.600]  記者:其實這個歷史書可以說是
[00:01:57.600 --> 00:02:03.600]  記者:接續著神帶領他的民
[00:02:03.600 --> 00:02:06.600]  記者:將他們揀選成為神的子民
[00:02:06.600 --> 00:02:08.200]  記者:這一班的以色列
[00:02:08.200 --> 00:02:11.000]  記者:在約書亞記
[00:02:11.000 --> 00:02:14.400]  記者:他們進入到加南地的時候
[00:02:14.400 --> 00:02:16.400]  記者:繼而在史詩記
[00:02:16.400 --> 00:02:17.800]  記者:薩姆爾記
[00:02:17.800 --> 00:02:20.800]  記者:當他們從這個史詩
[00:02:20.800 --> 00:02:23.400]  記者:祭司的時代
[00:02:23.400 --> 00:02:26.600]  記者:轉移到王國的時代
[00:02:26.600 --> 00:02:31.400]  記者:當中在一個很大的轉變裏面
[00:02:31.400 --> 00:02:35.400]  記者:當我們今天去看這個《獵王記》
[00:02:35.400 --> 00:02:39.000]  記者:其實它那個內容的分佈
[00:02:39.000 --> 00:02:40.400]  記者:都是很簡單的
[00:02:40.400 --> 00:02:45.000]  記者:你會看到在第一章開始的時候
[00:02:45.000 --> 00:02:47.000]  記者:就是戴威
[00:02:47.000 --> 00:02:50.200]  記者:接續在薩姆爾記裏面對他的記載
[00:02:50.200 --> 00:02:53.000]  記者:他作為王
[00:02:53.000 --> 00:02:56.000]  記者:但去到《獵王記》就是一個結束
[00:02:56.000 --> 00:02:59.400]  記者:戴威作王大概是四十年
[00:02:59.400 --> 00:03:02.800]  記者:一開始第一章的記載就是他年紀老邁
[00:03:02.800 --> 00:03:05.600]  記者:要將他的王位
