
[00:00:00.000 --> 00:00:03.800]  (主席)今天我們有曾鈺桂牧師在我們當中靜悟
[00:00:03.800 --> 00:00:05.800]  曾鈺牧師是我們本堂的堂主任
[00:00:05.800 --> 00:00:09.300]  他今天的講題是「釘十價者的榮耀」
[00:00:09.300 --> 00:00:14.500]  經文是記載在《馬太福音》八章一至十七節
[00:00:14.500 --> 00:00:18.500]  新約聖經的第十三頁
[00:00:18.500 --> 00:00:22.300]  《馬太福音》八章一至十七節
[00:00:22.300 --> 00:00:24.300]  新約聖經的第十三頁
[00:00:24.300 --> 00:00:27.300]  找到的請聽我讀出
[00:00:27.300 --> 00:00:31.300]  耶穌下了山,有一大群人跟著他
[00:00:31.300 --> 00:00:35.300]  這時一個麻風病人前來拜他,說:
[00:00:35.300 --> 00:00:39.300]  主啊,祢若肯,祢能使我潔淨
[00:00:39.300 --> 00:00:42.300]  耶穌伸手摸他說:
[00:00:42.300 --> 00:00:44.300]  「我肯,祢潔淨了吧」
[00:00:44.300 --> 00:00:47.300]  他的麻風病立刻就潔淨了
[00:00:47.300 --> 00:00:49.300]  耶穌對他說:
[00:00:49.300 --> 00:00:53.300]  「你要注意,不可告訴任何人,只要去
[00:00:53.300 --> 00:00:56.300]  讓祭司為你檢查
[00:00:56.300 --> 00:01:00.300]  並獻上摩西所吩咐的祭物
[00:01:00.300 --> 00:01:03.300]  作為證據給眾人看」
[00:01:03.300 --> 00:01:06.300]  耶穌進了加伯隆
[00:01:06.300 --> 00:01:10.300]  有一個白夫長進前來求他,說:
[00:01:10.300 --> 00:01:15.300]  主啊,我的同僕癱瘓了,躲在家裡非常痛苦
[00:01:15.300 --> 00:01:18.300]  耶穌說:我去醫治他
[00:01:18.300 --> 00:01:20.300]  第八節
[00:01:20.300 --> 00:01:25.300]  白夫長回答:主啊,你到社下來我不敢當
[00:01:25.300 --> 00:01:29.300]  只要你說一句話,我的同僕就會痊癒
[00:01:29.300 --> 00:01:33.300]  因為我在人的權下,也有兵在我耳下
[00:01:33.300 --> 00:01:36.300]  我對這個說「去」,他就去
[00:01:36.300 --> 00:01:39.300]  對那個說「來」,他就來
[00:01:39.300 --> 00:01:44.300]  對我的僕人說「這做事就做去了」,他就去做
[00:01:44.300 --> 00:01:46.300]  耶穌聽了就很驚訝
[00:01:46.300 --> 00:01:48.300]  對跟從他的人說:
[00:01:48.300 --> 00:01:50.300]  「我實在告訴你們
[00:01:50.300 --> 00:01:55.300]  這樣大的信心就是在以色列,我也沒有見過
[00:01:55.300 --> 00:01:58.300]  我又告訴你們,從東從西
[00:01:58.300 --> 00:02:02.300]  將有許多人來,在天國裡住阿伯拉罕
[00:02:02.300 --> 00:02:05.300]  以撒、雅各一同坐直
[00:02:05.300 --> 00:02:09.300]  本國的子民反而被趕到外邊黑暗裡去
[00:02:09.300 --> 00:02:12.300]  在那裡要哀哭切齒了」
[00:02:12.300 --> 00:02:14.300]  第十三節
[00:02:14.300 --> 00:02:16.300]  耶穌對白夫長說:
[00:02:16.300 --> 00:02:20.300]  「你回去吧,照你的信心成全你了
[00:02:20.300 --> 00:02:23.300]  就在那時,他的同僕好了」
[00:02:23.300 --> 00:02:25.300]  耶穌到了彼得加里
[00:02:25.300 --> 00:02:29.300]  見彼得的岳母正發燒躺著
[00:02:29.300 --> 00:02:32.300]  耶穌一摸他的手,燒就退了
[00:02:32.300 --> 00:02:35.300]  於是他起來服侍耶穌
[00:02:35.300 --> 00:02:41.300]  傍晚的時候,有人帶著許多被鬼扶的來到耶穌的庚前
[00:02:41.300 --> 00:02:45.300]  他只用一句話就把邪靈都趕出去
[00:02:45.300 --> 00:02:49.300]  而且治好了一切所有的病人
[00:02:49.300 --> 00:02:53.300]  「這是要應驗以賽亞先知所說的話
[00:02:53.300 --> 00:02:58.300]  他代替了我的軟弱,擔當了我們的疾病」
[00:02:58.300 --> 00:03:00.300]  奉勸將時間交給曾牧師
[00:03:01.300 --> 00:03:05.300]  各位弟兄姊妹,早安
[00:03:05.300 --> 00:03:07.300]  我們一起同心祈禱
[00:03:07.300 --> 00:03:11.300]  耶穌基督,我們感謝讚美你
[00:03:11.300 --> 00:03:13.300]  你是全地的主宰
[00:03:13.300 --> 00:03:16.300]  是我們生命的救贖
[00:03:16.300 --> 00:03:18.300]  我們能夠來到你的面前
[00:03:18.300 --> 00:03:21.300]  我們可以來到去用詩歌敬拜你
[00:03:21.300 --> 00:03:25.300]  我們可以來到去一起的中讀經文
[00:03:25.300 --> 00:03:32.300]  來將神的話語放在我們的心靈裏面去思想去實踐
[00:03:32.300 --> 00:03:35.300]  我們更加能夠藉著奉獻
[00:03:35.300 --> 00:03:39.300]  將我們所對於主的尊榮
[00:03:39.300 --> 00:03:44.300]  藉著金錢,藉著我們擺上的時間,我們的心力
[00:03:44.300 --> 00:03:48.300]  我們很想來到去在福音,在神的國度裏面有份
[00:03:48.300 --> 00:03:50.300]  我們感謝主
[00:03:50.300 --> 00:03:53.300]  多謝你讓我們能夠有生命平安
[00:03:53.300 --> 00:03:56.300]  過去的日子,蒙你的保守
[00:03:56.300 --> 00:03:58.300]  無論是身體,家庭
[00:03:58.300 --> 00:04:01.300]  都是能夠蒙主的恩典憐憫
[00:04:01.300 --> 00:04:05.300]  我們盼望今早在這三個的神蹟
[00:04:05.300 --> 00:04:08.300]  來到去凸顯你是依著我們
[00:04:08.300 --> 00:04:12.300]  顧念我們軟弱的這位耶和華的僕人
[00:04:12.300 --> 00:04:15.300]  讓我們能夠從這段聖經
[00:04:15.300 --> 00:04:18.300]  我們可以梳理到我們自己的人生
[00:04:18.300 --> 00:04:22.300]  我們自己去盤點一下我們那個信心的程度
[00:04:22.300 --> 00:04:25.300]  在主面前我們謙卑等候
[00:04:25.300 --> 00:04:31.300]  讓聖靈可以在我們的心裏面感動,引導和光照
[00:04:31.300 --> 00:04:33.300]  我們一起在你面前等候禱告
[00:04:33.300 --> 00:04:37.300]  奉耶穌基督的名,阿們
[00:04:37.300 --> 00:04:41.300]  馬太福音是有相當講究的編排
