
[00:00:00.000 --> 00:00:02.540]  好 我們一起又祈禱
[00:00:02.540 --> 00:00:06.320]  多謝天父讓我們又可以來到第七講
[00:00:06.320 --> 00:00:09.200]  關於這個嘉爾文
[00:00:09.200 --> 00:00:14.120]  今晚我們會想思想一下他的神學的主張
[00:00:14.120 --> 00:00:20.160]  和對當時這個宗教改革所帶來的影響
[00:00:20.160 --> 00:00:25.340]  我們都盼望我們吸取到裡面一些很重要的原則
[00:00:25.340 --> 00:00:32.120]  和方向使我們能夠對屬靈的事情有一個認識
[00:00:32.120 --> 00:00:37.500]  盼望我們都能夠在整個過去宗教改革
[00:00:37.500 --> 00:00:39.280]  和一路的發展
[00:00:39.280 --> 00:00:42.540]  我們一方面明白了一些歷史之後
[00:00:42.540 --> 00:00:49.360]  我們自己都能夠秉承著前人他們一些的思想
[00:00:49.360 --> 00:00:54.580]  他們的主張來去學習
[00:00:54.580 --> 00:01:00.540]  和我們真是有一個對自己的信仰的深化的認識
[00:01:00.540 --> 00:01:03.300]  我們今天晚上都等候在神面前
[00:01:03.300 --> 00:01:06.840]  我們這樣禱告奉耶穌基督的名
[00:01:06.840 --> 00:01:08.140]  阿們
[00:01:08.140 --> 00:01:17.160]  上一次我們提到這個宗教的組織法
[00:01:17.160 --> 00:01:25.380]  和因為它排除了一些反對的人之後
[00:01:25.380 --> 00:01:29.660]  很自然地就在日內瓦這個城邦
[00:01:29.660 --> 00:01:34.060]  或者當時的國家瑞士這裡
[00:01:34.060 --> 00:01:40.300]  就來到可以很順利開展它一些神學的主張
[00:01:40.300 --> 00:01:45.360]  它從來都沒有想過要將天堂、神國
[00:01:45.360 --> 00:01:49.920]  要付諸於實行在瑞士、日內瓦
[00:01:49.920 --> 00:01:53.680]  日內瓦就成為了人間的天堂
[00:01:53.680 --> 00:01:55.080]  它沒有這樣想的
[00:01:55.080 --> 00:02:00.720]  不過一直看一些不同的文章和一些著作
[00:02:00.720 --> 00:02:03.240]  特別它自己的基督教要義
[00:02:03.240 --> 00:02:12.680]  它提到地上的政府是有一個很重要的責任
[00:02:12.680 --> 00:02:20.920]  特別因為當時日內瓦全部都是基督教信主
[00:02:20.920 --> 00:02:24.700]  他們也是在1541年的時候
[00:02:24.700 --> 00:02:29.740]  極力地邀請加爾文回去帶領他們
[00:02:29.740 --> 00:02:31.620]  大概三萬多人
[00:02:31.620 --> 00:02:33.280]  你可以想像得到
[00:02:33.280 --> 00:02:38.280]  既然大家都承諾要遵守聖經
[00:02:38.280 --> 00:02:47.960]  所以就在整個日內瓦就制定了這些公民的約章
[00:02:47.960 --> 00:02:55.360]  和在社會上去實踐基督教的教義真理
[00:02:55.360 --> 00:02:59.720]  所以很自然地它會有很多地方
[00:02:59.720 --> 00:03:01.640]  它會有一個管理
[00:03:01.640 --> 00:03:03.440]  稍後我們會說
[00:03:03.440 --> 00:03:08.960]  會分成兩級的教會的管理
[00:03:08.960 --> 00:03:11.600]  就是由牧師和傳道人
[00:03:11.600 --> 00:03:19.880]  地上的治理就是由長老和這些的執事
[00:03:19.880 --> 00:03:23.280]  這樣去分開去治理的
[00:03:23.280 --> 00:03:25.600]  當然和我們今天一定不同
[00:03:25.600 --> 00:03:29.600]  因為我們不是整個錦繡 整個元朗是基督教
[00:03:29.600 --> 00:03:36.760]  我們只能夠在個別的教會裡面去實踐這個治理
[00:03:36.760 --> 00:03:41.760]  所以它現在就擴大了整個日內瓦這個地方
[00:03:41.760 --> 00:03:44.760]  成為了好像一個大的教會那樣
[00:03:44.760 --> 00:03:52.960]  在整個城邦裡面去推行教會的一些聖經的教導
[00:03:52.960 --> 00:03:58.520]  所以連那些比如借貸要多少利息
[00:03:58.520 --> 00:04:04.040]  他們都定了不可以高過某一個數
[00:04:04.040 --> 00:04:07.360]  還有如果是借給一些窮人
[00:04:07.360 --> 00:04:11.400]  那個利息又不可以好像借給一些做生意的人那樣
[00:04:11.400 --> 00:04:18.280]  政府當時嘉爾文和他們那個日內瓦的長老團
[00:04:18.280 --> 00:04:25.080]  都有制定這些稅制的責任和權威
[00:04:25.080 --> 00:04:31.480]  所以你可以想像得到等同於整個城邦
[00:04:31.480 --> 00:04:34.360]  都是要實踐基督教的教義
[00:04:34.360 --> 00:04:37.960]  所以我們上一次最後講的就是
[00:04:37.960 --> 00:04:43.480]  有一位神學家其實某程度上和嘉爾文是熟的
[00:04:43.480 --> 00:04:49.360]  英文就是Swertis 塞維塔斯
[00:04:49.360 --> 00:04:55.640]  他原先在法國都被天主教驅逐
[00:04:55.640 --> 00:05:00.000]  說他不相信三一神論
[00:05:00.000 --> 00:05:03.960]  就是聖父聖子聖靈同尊同榮同等
[00:05:03.960 --> 00:05:07.480]  今天我們都大概知道
