
[00:00:00.000 --> 00:00:04.000]  吳美詩姑娘在當中為我們靜悟
[00:00:04.000 --> 00:00:09.000]  吳姑娘今日的講題是「讓我愛」
[00:00:09.000 --> 00:00:14.000]  經過在路加福音十章二十五至三十七節
[00:00:14.000 --> 00:00:18.000]  有一個律法師起來試探耶穌
[00:00:18.000 --> 00:00:24.000]  說:老師,我該做什麼才可以承受永生?
[00:00:24.000 --> 00:00:27.000]  耶穌對他說:
[00:00:27.000 --> 00:00:30.000]  律法上寫的是什麼?
[00:00:30.000 --> 00:00:33.000]  你是怎樣念的呢?
[00:00:33.000 --> 00:00:35.000]  他回答說:
[00:00:35.000 --> 00:00:41.000]  你要盡心盡性盡力盡義愛主你的神
[00:00:41.000 --> 00:00:44.000]  又要愛倫如己
[00:00:44.000 --> 00:00:46.000]  耶穌對他說:
[00:00:46.000 --> 00:00:48.000]  你回答得正確
[00:00:48.000 --> 00:00:51.000]  你這樣做就會得永生
[00:00:51.000 --> 00:00:55.000]  那人要證明自己有理就對耶穌說:
[00:00:55.000 --> 00:00:58.000]  誰是我的倫社?
[00:00:58.000 --> 00:01:00.000]  耶穌回答:
[00:01:00.000 --> 00:01:05.000]  有一個人從耶路撒冷下耶利哥斯去
[00:01:05.000 --> 00:01:07.000]  落在強盜手中
[00:01:07.000 --> 00:01:10.000]  他們剝去他的衣裳
[00:01:10.000 --> 00:01:12.000]  把他打個半死
[00:01:12.000 --> 00:01:15.000]  雕下他走了
[00:01:15.000 --> 00:01:19.000]  偶然有一個祭司從那條路下來
[00:01:19.000 --> 00:01:22.000]  看見他就從另一邊過去了
[00:01:22.000 --> 00:01:26.000]  又有一個利美人來到那裡
[00:01:26.000 --> 00:01:30.000]  看見他也照樣從另一邊過去了
[00:01:30.000 --> 00:01:35.000]  可惜有一個撒馬尼亞人路過那裡
[00:01:35.000 --> 00:01:38.000]  看見他就動了慈心
[00:01:38.000 --> 00:01:42.000]  上前用柚和酒倒在他的傷處
[00:01:42.000 --> 00:01:44.000]  包裹好了
[00:01:44.000 --> 00:01:47.000]  扶他騎上自己的身後
[00:01:47.000 --> 00:01:50.000]  帶他到旅店去照應他
[00:01:50.000 --> 00:01:52.000]  第二天
[00:01:52.000 --> 00:01:54.000]  他拿出兩個錢幣來
[00:01:54.000 --> 00:01:57.000]  交給店主說:
[00:01:57.000 --> 00:01:59.000]  請你照應他
[00:01:59.000 --> 00:02:03.000]  額外的費用我會來還你
[00:02:03.000 --> 00:02:10.000]  你想這三個人哪一個是落在強盜手中那人的倫社呢?
[00:02:10.000 --> 00:02:11.000]  他說:
