
[00:00:00.000 --> 00:00:05.300]  今日我們會有本堂的陳勵喬牧師在我們中間宣講神的話語
[00:00:05.300 --> 00:00:08.000]  他的講題是「王者宣告」
[00:00:08.000 --> 00:00:13.000]  經文是記載在《馬太福音》第五章一至十節
[00:00:13.000 --> 00:00:22.000]  「耶穌看見這一群人就上了山,坐下後門徒到他跟前來,
[00:00:22.000 --> 00:00:29.500]  他開口教導他們說:心靈貧窮的人有福了,因為天國是他們的。
[00:00:29.500 --> 00:00:34.000]  哀悼的人有福了,因為他們必得安慰。
[00:00:34.000 --> 00:00:39.000]  謙和的人有福了,因為他們必承受土地。
[00:00:39.000 --> 00:00:44.000]  饑渴無意的人有福了,因為他們必得飽足。
[00:00:44.000 --> 00:00:48.000]  憐憫人的人有福了,因為他們必蒙憐憫。
[00:00:48.000 --> 00:00:53.000]  清心的人有福了,因為他們必得見神。
[00:00:53.000 --> 00:00:58.000]  締造和平的人有福了,因為他們必稱為神的兒子。
[00:00:58.000 --> 00:01:03.000]  為義受迫害的人有福了,因為天國是他們的。」
[00:01:03.000 --> 00:01:06.000]  現在恭請陳麗雪牧師靜悟
[00:01:06.000 --> 00:01:35.000]  陳麗雪牧師:剛才明仔幫我們讀的是馬太福音八福,我想很多人都認識的了。
[00:01:35.000 --> 00:01:43.000]  先講馬太福音,在第一章開始有加譜,
[00:01:43.000 --> 00:01:50.000]  加譜裏面證實耶穌基督是大衛的後裔,
[00:01:50.000 --> 00:01:58.000]  即是耶穌基督是以色列國的合法繼承人,
[00:01:58.000 --> 00:02:00.000]  即是以色列國的合法繼承人,
[00:02:01.000 --> 00:02:09.000]  所以在馬太福音裏面特別強調王所做的事情。
[00:02:09.000 --> 00:02:14.000]  為何他用這個題目叫王者的宣告呢?
[00:02:14.000 --> 00:02:18.000]  就是以耶穌基督就是王的身份,
[00:02:18.000 --> 00:02:23.000]  他在山上高宣布一些事情,
[00:02:23.000 --> 00:02:30.000]  就是在他的國度裏面的人應該有甚麼特質。
[00:02:31.000 --> 00:02:37.000]  我們再看馬太福音第四章,
[00:02:37.000 --> 00:02:40.000]  即是第五章之前的第四章的部分,
[00:02:40.000 --> 00:02:46.000]  當時有很多人跟著耶穌基督,
[00:02:46.000 --> 00:02:49.000]  一直看他行甚麼神蹟,
[00:02:49.000 --> 00:02:51.000]  又治好甚麼人,
[00:02:51.000 --> 00:02:56.000]  甚至看有沒有甚麼免費餐可以吃。
[00:02:56.000 --> 00:02:58.000]  當時有甚麼人跟著他呢?
[00:02:58.000 --> 00:03:03.000]  有些人從加利利,
[00:03:03.000 --> 00:03:06.000]  有些人從底加玻利亞,
[00:03:06.000 --> 00:03:08.000]  耶路撒冷,
[00:03:08.000 --> 00:03:10.000]  猶太或約旦河,
[00:03:10.000 --> 00:03:15.000]  總之從四方八面的人都跟著耶穌。
[00:03:15.000 --> 00:03:17.000]  他們的目的是甚麼呢?
[00:03:17.000 --> 00:03:24.000]  就是看耶穌基督從裏面有甚麼好處,
[00:03:24.000 --> 00:03:28.000]  有病的又可以免費得到醫病,
[00:03:28.000 --> 00:03:33.000]  又或者沒有食物的又可以得到免費的食物。
[00:03:33.000 --> 00:03:36.000]  所以這班人跟著耶穌,
[00:03:36.000 --> 00:03:41.000]  他只是想看看有甚麼東西可以得到。
[00:03:41.000 --> 00:03:44.000]  但到五章的第一節,
[00:03:44.000 --> 00:03:49.000]  他就說:耶穌看見這群人上鳥山,
[00:03:49.000 --> 00:03:52.000]  他見到很大班很大班人,
[00:03:52.000 --> 00:03:56.000]  但他的目的不是想那麼大班人跟著他,
[00:03:56.000 --> 00:03:58.000]  因為他真的要訓練一些人出來,
[00:03:58.000 --> 00:04:01.000]  所以他就上了山,
[00:04:01.000 --> 00:04:03.000]  就坐下了,
[00:04:03.000 --> 00:04:07.000]  門徒到他跟前來,
[00:04:07.000 --> 00:04:11.000]  就是一些肯跟隨耶穌基督的人,
[00:04:11.000 --> 00:04:15.000]  那時究竟出了十二個門徒,
[00:04:15.000 --> 00:04:19.000]  還是有七十二個密切跟著他的人呢?
[00:04:19.000 --> 00:04:20.000]  我們不知道,
[00:04:20.000 --> 00:04:27.000]  不過特別提到門徒跟著他,
[00:04:27.000 --> 00:04:31.000]  去到他面前聽他教導。
[00:04:31.000 --> 00:04:34.000]  所以在這裡,
[00:04:34.000 --> 00:04:39.000]  第一講到國道裏面的子民,
[00:04:39.000 --> 00:04:42.000]  國道裏面的子民就是一班門徒,
[00:04:42.000 --> 00:04:46.000]  就跟第四章尾講的那些加利利人,
[00:04:46.000 --> 00:04:49.000]  耶路撒冷人,猶太人,約旦河那些,
[00:04:49.000 --> 00:04:51.000]  有少許分別,
[00:04:51.000 --> 00:04:54.000]  這些人有一個特別的身份,
[00:04:54.000 --> 00:04:57.000]  他願意跟著耶穌的時候,
[00:04:57.000 --> 00:05:00.000]  他就要來聽他的話,
[00:05:00.000 --> 00:05:05.000]  並且學校耶穌一個去寫出,
[00:05:05.000 --> 00:05:07.000]  去付出一些東西,
[00:05:07.000 --> 00:05:11.000]  所以我們看到這一班門徒,
[00:05:11.000 --> 00:05:12.000]  我們一直看到,
[00:05:12.000 --> 00:05:13.000]  這一班門徒,
[00:05:13.000 --> 00:05:16.000]  過往有他們自己固定的職業,
[00:05:16.000 --> 00:05:17.000]  可能是打魚,
[00:05:17.000 --> 00:05:19.000]  可能是瑞利,
[00:05:19.000 --> 00:05:22.000]  但當耶穌呼召他們的時候,
[00:05:22.000 --> 00:05:24.000]  要跟隨他們的時候,
[00:05:24.000 --> 00:05:26.000]  第一件事要做的,
[00:05:26.000 --> 00:05:30.000]  就是放下他們自己固有的職業,
[00:05:30.000 --> 00:05:32.000]  還有我們再看下去的時候,
[00:05:32.000 --> 00:05:34.000]  這一班門徒,
[00:05:34.000 --> 00:05:36.000]  同樣要放下他們的性情,
[00:05:36.000 --> 00:05:38.000]  我們看到這一班門徒,
[00:05:38.000 --> 00:05:42.000]  過往可能有些很暴躁的,
[00:05:42.000 --> 00:05:45.000]  或者有些很驕傲的,
[00:05:45.000 --> 00:05:47.000]  很喜歡威風的,
[00:05:47.000 --> 00:05:49.000]  但這一班門徒,
[00:05:49.000 --> 00:05:51.000]  一直跟著耶穌的時候,
[00:05:51.000 --> 00:05:55.000]  這些東西他們都要放下,
